Epoch, l_theta, l_f, l_top, l_bottom
0, 8.341169089179213e-05, 7.433867159478329e-07, 3.466060942323755e-05, 1.4220979605467168e-05
1, 8.339714369527904e-05, 5.606218929823568e-07, 3.468930755020936e-05, 1.4330353090779498e-05
2, 8.328540487600241e-05, 4.6829638924046086e-07, 3.47121165816087e-05, 1.4321190602455162e-05
3, 8.320453686330061e-05, 4.6303851792667153e-07, 3.471586184582461e-05, 1.38206210592481e-05
4, 8.318148453524416e-05, 4.634844112326226e-07, 3.471597301680466e-05, 1.3614405996660923e-05
5, 8.313244537856288e-05, 4.6427916730202894e-07, 3.4713412347256815e-05, 1.3232308023987365e-05
6, 8.30920144625224e-05, 4.6340016263227387e-07, 3.470230693117265e-05, 1.3178853335713079e-05
7, 8.296720743994453e-05, 4.647957238071255e-07, 3.467195127526595e-05, 1.3303860339956135e-05
8, 8.277092636772654e-05, 4.6761270740100955e-07, 3.460250983750303e-05, 1.4197858344198215e-05
9, 8.249703413324814e-05, 4.788683930776533e-07, 3.454005254684972e-05, 1.4207899459466816e-05
10, 8.236923340047111e-05, 4.79589450901235e-07, 3.4502196091813234e-05, 1.359119970013019e-05
11, 8.222326159029778e-05, 4.80656777334351e-07, 3.4469171383648245e-05, 1.2816192586530472e-05
12, 8.202142299332618e-05, 4.837786440158033e-07, 3.443131450726311e-05, 1.2426812631073272e-05
13, 8.171426638656759e-05, 4.889710177718906e-07, 3.4375578070254596e-05, 1.2854578122396893e-05
14, 8.135389530398762e-05, 4.95098311490155e-07, 3.4314854772289045e-05, 1.5680285431005724e-05
15, 8.110989615796439e-05, 5.015391049130345e-07, 3.4268744440122195e-05, 1.7647839810644812e-05
16, 8.105652609542575e-05, 5.005370892306534e-07, 3.426477818126372e-05, 1.826761674173074e-05
17, 8.105584450264231e-05, 4.984870327900539e-07, 3.426649120474114e-05, 1.7289942012310015e-05
18, 8.1039038565415e-05, 4.963766149071772e-07, 3.42586508351883e-05, 1.447445423087666e-05
19, 8.097978845756313e-05, 4.951867219562779e-07, 3.422003320636451e-05, 9.89231811958462e-06
20, 8.085192886260681e-05, 5.02856607147231e-07, 3.4191504873258446e-05, 8.140966752286316e-06
21, 8.081220943961773e-05, 5.016474783906574e-07, 3.413952151042004e-05, 8.216517963509002e-06
22, 8.079123966008693e-05, 5.010210022174873e-07, 3.4125181689806615e-05, 8.15049262117992e-06
23, 8.074444404729366e-05, 5.01803171614859e-07, 3.410864140711055e-05, 8.159647779004539e-06
24, 8.068133678008817e-05, 5.03348793412037e-07, 3.409032961493177e-05, 8.663360852383346e-06
25, 8.054252783642455e-05, 5.083981553918804e-07, 3.405230003874186e-05, 1.1664063110267533e-05
26, 8.044003122891467e-05, 5.121868437853848e-07, 3.4030953705197644e-05, 1.58181662904795e-05
27, 8.03730185688225e-05, 5.154528420388206e-07, 3.4020932900536135e-05, 1.8100146498634136e-05
28, 8.034235098585107e-05, 5.166746178472314e-07, 3.4017847107150664e-05, 1.813099315386611e-05
29, 8.03229665784728e-05, 5.171838406033016e-07, 3.401386560332799e-05, 1.7184613277425876e-05
30, 8.028751805577875e-05, 5.184809921553587e-07, 3.400320296033693e-05, 1.5378177720854012e-05
31, 8.020019856202209e-05, 5.227681346827299e-07, 3.3976908586845824e-05, 1.2884656347147641e-05
32, 8.004746090419403e-05, 5.319657992557842e-07, 3.393624963004461e-05, 1.2551316468238563e-05
33, 7.987947459367092e-05, 5.423316740559127e-07, 3.390475899830295e-05, 1.507145900268381e-05
34, 7.979358321502528e-05, 5.474293672951895e-07, 3.388936189502976e-05, 1.564590665202484e-05
35, 7.970848648797037e-05, 5.523621614990785e-07, 3.387950908428565e-05, 1.5228241727815841e-05
36, 7.960638010073165e-05, 5.578916125645649e-07, 3.387665736497597e-05, 1.5176331369058078e-05
37, 7.94615509749059e-05, 5.661598106782054e-07, 3.387893408873947e-05, 1.6210351450687433e-05
38, 7.93065022680052e-05, 5.73582302004375e-07, 3.38854584733412e-05, 1.873908892502268e-05
39, 7.90682268971685e-05, 5.859021546159981e-07, 3.3928320520536196e-05, 2.589085161832193e-05
40, 7.903182979306111e-05, 5.83384682592854e-07, 3.394464223625352e-05, 2.83413655737624e-05
41, 7.903118843560239e-05, 5.794061557434093e-07, 3.396100787362725e-05, 2.9637893260726787e-05
42, 7.900174254247904e-05, 5.779470388503005e-07, 3.397468802284677e-05, 3.10665898650004e-05
43, 7.885040944912773e-05, 5.811107536430225e-07, 3.398983772124218e-05, 3.524115424083661e-05
44, 7.865400300035293e-05, 5.910321393172098e-07, 3.4005530246534415e-05, 3.9485572262453704e-05
45, 7.857308299091715e-05, 5.949245892081129e-07, 3.3999093146064034e-05, 4.049299606447093e-05
46, 7.843022931434951e-05, 5.99821783086101e-07, 3.398197981869311e-05, 4.231186309295017e-05
47, 7.826310065192328e-05, 6.042634947865154e-07, 3.397422026275224e-05, 4.5310421544439625e-05
48, 7.811311167344512e-05, 6.082484120750879e-07, 3.3986554436102914e-05, 4.925029735557165e-05
49, 7.79663486469641e-05, 6.125370934059442e-07, 3.402810277557417e-05, 4.959646185421805e-05
50, 7.784365860069782e-05, 6.176857027793161e-07, 3.406677697230744e-05, 4.717724285652058e-05
51, 7.775223765933786e-05, 6.209874580348425e-07, 3.407526494723961e-05, 4.36409466333745e-05
52, 7.756869225410591e-05, 6.284780659512596e-07, 3.40828770039342e-05, 3.598976840573966e-05
