Epoch, l_theta, l_f, l_top, l_bottom
0, 4.021732026708291e-05, 5.071113063967104e-06, 2.1145211719570083e-05, 0.740632349950205
1, 4.019128044111565e-05, 5.045530302373665e-06, 2.1126763426791155e-05, 0.7406307982871072
2, 4.018616297330088e-05, 5.0124140778718635e-06, 2.1113402629602072e-05, 0.7406126403172238
3, 4.018971993081554e-05, 4.9959256373480565e-06, 2.111633237403496e-05, 0.7405939523546666
4, 4.018699251436773e-05, 4.99661428896946e-06, 2.1113423946013456e-05, 0.740580033335439
5, 4.018473742029091e-05, 4.9977040788225835e-06, 2.1112746002364358e-05, 0.7405726346815615
6, 4.0174470344708716e-05, 5.004866447129473e-06, 2.11082659893343e-05, 0.7405486265724094
7, 4.015791824876752e-05, 5.0171430535800244e-06, 2.110073877838285e-05, 0.7405114302203424
8, 4.011933147604647e-05, 5.045831241350755e-06, 2.1085723921099538e-05, 0.7404012197498311
9, 4.006071293802288e-05, 5.092506056631702e-06, 2.1060691882277373e-05, 0.7401699243801495
10, 4.003784958789483e-05, 5.104622834344585e-06, 2.1055260515199495e-05, 0.7400411076420164
11, 4.00154140171136e-05, 5.11259075489706e-06, 2.104930933907232e-05, 0.739821591781983
12, 4.001020156913843e-05, 5.109240108910019e-06, 2.104895757763743e-05, 0.7396738650366214
13, 4.000287469944083e-05, 5.104301413064856e-06, 2.1048759013626882e-05, 0.7394651490089761
14, 4.000481673301035e-05, 5.095100398017624e-06, 2.1055950735267512e-05, 0.73933936147893
15, 4.0003951069534864e-05, 5.092046528995161e-06, 2.105732464576217e-05, 0.739290770846825
16, 4.0000328882612086e-05, 5.091590770573979e-06, 2.105886192418856e-05, 0.7392681967691108
17, 3.9981999689474e-05, 5.099195278213978e-06, 2.1058038954840554e-05, 0.7391904896421481
18, 3.9934911176668304e-05, 5.127526691186386e-06, 2.1053644734698372e-05, 0.7390112743983424
19, 3.9853282518982485e-05, 5.184378093840925e-06, 2.1047865710876483e-05, 0.7386596093069697
20, 3.9764858225356336e-05, 5.247583390549508e-06, 2.1034126123202562e-05, 0.7382888296411311
21, 3.969711889839735e-05, 5.292255841915898e-06, 2.1022855040129164e-05, 0.7379106950282459
22, 3.9625447414165925e-05, 5.333379966324717e-06, 2.1008569031532454e-05, 0.7373881225435607
23, 3.952608659150299e-05, 5.389951922731895e-06, 2.100310334770952e-05, 0.7364709067452436
24, 3.94491197565455e-05, 5.434712940536784e-06, 2.0985889711177074e-05, 0.7356800923786188
25, 3.942148560247838e-05, 5.4419996745353935e-06, 2.0989565345605923e-05, 0.7352397559135947
26, 3.940064690647469e-05, 5.440833685766621e-06, 2.09880828210634e-05, 0.7348892635065056
27, 3.934690718032978e-05, 5.449908249480264e-06, 2.0983530524535553e-05, 0.7341140008198146
28, 3.923124041541589e-05, 5.495031976361049e-06, 2.09701466131081e-05, 0.7327341929228637
