Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10774881457534054, 1.3168574613035796e-05, 14.404741294849353, 1.0228767811183463, 2000.0, 0.5, 1.0, 1.0
1, 0.10081603245019723, 4.00808188754017e-06, 14.472645086680025, 1.0226647513797185, 2000.0, 0.5, 1.0, 1.0
2, 0.09435709188980496, 8.19926157314001e-07, 14.516549052140821, 1.0223754358356394, 2000.0, 0.5, 1.0, 1.0
3, 0.08802162129060963, 2.2244195457633883e-06, 14.525346222926844, 1.0219853906385672, 2000.0, 0.5, 1.0, 1.0
4, 0.08181058837145545, 7.477587086472719e-06, 14.505871416817389, 1.021474816513972, 2000.0, 0.5, 1.0, 1.0
5, 0.07575191183424441, 1.6324145052316673e-05, 14.46635378813415, 1.0208210055809632, 2000.0, 0.5, 1.0, 1.0
6, 0.0698617672953509, 2.8723437965216098e-05, 14.412585301946251, 1.0199995875487855, 2000.0, 0.5, 1.0, 1.0
7, 0.06415210050351618, 4.480853347635494e-05, 14.347842962355944, 1.0189838420763204, 2000.0, 0.5, 1.0, 1.0
8, 0.05863573380573681, 6.491821139384788e-05, 14.273619389625743, 1.0177433216530507, 2000.0, 0.5, 1.0, 1.0
9, 0.05332782950574, 8.967933795593118e-05, 14.190252030714046, 1.0162426897586778, 2000.0, 0.5, 1.0, 1.0
10, 0.0482454252265338, 0.00012016975782015219, 14.097180507873604, 1.0144412686858768, 2000.0, 0.5, 1.0, 1.0
11, 0.04340643199298557, 0.0001582102026771382, 13.992963773030525, 1.0122932307752834, 2000.0, 0.5, 1.0, 1.0
12, 0.03882833289232631, 0.00020684894640247593, 13.875165398622089, 1.0097485107723785, 2000.0, 0.5, 1.0, 1.0
13, 0.03452687402945941, 0.00027115557337141597, 13.740184865903265, 1.0067545439000576, 2000.0, 0.5, 1.0, 1.0
14, 0.03051497132304901, 0.00035954182861429535, 13.583262419691081, 1.0032587320997697, 2000.0, 0.5, 1.0, 1.0
15, 0.02680191368347953, 0.000485961277552443, 13.398749636935275, 0.9992114196079724, 2000.0, 0.5, 1.0, 1.0
16, 0.023392954108134394, 0.0006735613585446767, 13.180696169723916, 0.9945692260015639, 2000.0, 0.5, 1.0, 1.0
17, 0.02028929135858815, 0.0009606530784079748, 12.923760049950129, 0.9892985831289522, 2000.0, 0.5, 1.0, 1.0
18, 0.01748833154411127, 0.0014101898146924342, 12.62436785673699, 0.9833792654981435, 2000.0, 0.5, 1.0, 1.0
19, 0.014984089728870699, 0.0021243385259863976, 12.282173086987008, 0.9768076477419748, 2000.0, 0.5, 1.0, 1.0
20, 0.012767631892610059, 0.003266072899519086, 11.901914416159363, 0.9695994559360288, 2000.0, 0.5, 1.0, 1.0
21, 0.010827508271274563, 0.00508984683936424, 11.49573270717191, 0.9617920081850398, 2000.0, 0.5, 1.0, 1.0
22, 0.009150155476778893, 0.007982882744552684, 11.085929933664733, 0.953446243472627, 2000.0, 0.5, 1.0, 1.0
23, 0.0077202537843954755, 0.012516477234684424, 10.707796066431975, 0.94464897846385, 2000.0, 0.5, 1.0, 1.0
24, 0.006521032777670624, 0.01950154967226994, 10.411163417035194, 0.9355158975080027, 2000.0, 0.5, 1.0, 1.0
25, 0.005534520438186638, 0.030030620736571194, 10.257257208433057, 0.9261956692679089, 2000.0, 0.5, 1.0, 1.0
26, 0.004741716746105305, 0.045461494095689205, 10.304242898257113, 0.9168755945320987, 2000.0, 0.5, 1.0, 1.0
27, 0.004122636487393153, 0.06723504758546306, 10.573582026267061, 0.9077898682503812, 2000.0, 0.5, 1.0, 1.0
28, 0.0036561330617543176, 0.09630252114899217, 10.999234831411114, 0.8992271937328455, 2000.0, 0.5, 1.0, 1.0
29, 0.003319516538169684, 0.13194194877819218, 11.393190444451909, 0.8915111284692997, 2000.0, 0.5, 1.0, 1.0
30, 0.003088563670812155, 0.17073997221460122, 11.504627017510463, 0.884911937413614, 2000.0, 0.5, 1.0, 1.0
31, 0.002939021984787063, 0.20808632620461878, 11.20137446069764, 0.8795356946985976, 2000.0, 0.5, 1.0, 1.0
32, 0.00284919714310152, 0.24107566452146992, 10.579780038083378, 0.8753078964018313, 2000.0, 0.5, 1.0, 1.0
33, 0.0028016488176901017, 0.26939786458995335, 9.86138117542931, 0.8720517982623475, 2000.0, 0.5, 1.0, 1.0
34, 0.002783327867251692, 0.2946954882369542, 9.232603083609751, 0.8695727719943517, 2000.0, 0.5, 1.0, 1.0
35, 0.0027848718835387677, 0.3194691316458392, 8.773364095241547, 0.8677062822613623, 2000.0, 0.5, 1.0, 1.0
36, 0.0027997245361901534, 0.3460089795880211, 8.474662806289766, 0.8663329867062822, 2000.0, 0.5, 1.0, 1.0
37, 0.0028233485553459206, 0.37589402796427906, 8.283516178715946, 0.8653758221283439, 2000.0, 0.5, 1.0, 1.0
38, 0.0028525843112030204, 0.41005902336468764, 8.136096400528174, 0.864791075383192, 2000.0, 0.5, 1.0, 1.0
39, 0.0028851475221487524, 0.4490201230805043, 7.975168748970016, 0.8645592985760646, 2000.0, 0.5, 1.0, 1.0
40, 0.0029192599121566094, 0.49307830587499374, 7.758050262969651, 0.864678070365285, 2000.0, 0.5, 1.0, 1.0
41, 0.0029534036800060344, 0.5424963336279415, 7.4595440848237295, 0.8651561104413715, 2000.0, 0.5, 1.0, 1.0
