Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10774881457534054, 8.58340633268921e-06, 14.404741294849353, 1.0228767811183463, 100.0, 1.0, 1.0, 1.0
1, 0.1008878714187892, 3.346196144424152e-06, 14.456490688498889, 1.0227162321842507, 100.0, 1.0, 1.0, 1.0
2, 0.09452418262395187, 1.3130220041278801e-06, 14.49078740315573, 1.0225109849292962, 100.0, 1.0, 1.0, 1.0
3, 0.08826487776266724, 1.8996011699517325e-06, 14.50022594346316, 1.0222298001446075, 100.0, 1.0, 1.0, 1.0
4, 0.08208554075816554, 4.349652060297322e-06, 14.487643653136741, 1.021843541574059, 100.0, 1.0, 1.0, 1.0
5, 0.07602135609051101, 8.213529135967073e-06, 14.456310279705509, 1.0213232918994464, 100.0, 1.0, 1.0, 1.0
6, 0.0700999362169507, 1.3300319904837258e-05, 14.409365491845579, 1.0206359985938542, 100.0, 1.0, 1.0, 1.0
7, 0.06434466207896909, 1.9668576749121e-05, 14.349098160032913, 1.0197452813447467, 100.0, 1.0, 1.0, 1.0
8, 0.05877682534469646, 2.762903883898878e-05, 14.27673435469088, 1.0186132816589735, 100.0, 1.0, 1.0, 1.0
9, 0.053414861555564616, 3.780246778204378e-05, 14.192505246786366, 1.017201267245348, 100.0, 1.0, 1.0, 1.0
10, 0.048274918563072096, 5.1304279753583e-05, 14.095570050514544, 1.0154686578967118, 100.0, 1.0, 1.0, 1.0
11, 0.043372704074695165, 7.01097909330127e-05, 13.98370727085241, 1.013372501752337, 100.0, 1.0, 1.0, 1.0
12, 0.038723976234895895, 9.771695983200242e-05, 13.852788631261225, 1.0108679335093094, 100.0, 1.0, 1.0, 1.0
13, 0.03434396993517227, 0.00014037215336104377, 13.696140672523727, 1.007908436182738, 100.0, 1.0, 1.0, 1.0
14, 0.030246692854723534, 0.00020937858334305022, 13.504121446210041, 1.0044474477803864, 100.0, 1.0, 1.0, 1.0
15, 0.02644431114040371, 0.00032544586763525845, 13.26417306388518, 1.0004431061213357, 100.0, 1.0, 1.0, 1.0
16, 0.02294662746048348, 0.000526864799478294, 12.961949157429547, 0.9958648093641054, 100.0, 1.0, 1.0, 1.0
17, 0.019760577288458293, 0.0008846028851860927, 12.584436659365647, 0.9906990021101915, 100.0, 1.0, 1.0, 1.0
18, 0.01688990950346335, 0.0015288482088137202, 12.12638309006771, 0.9849522684514354, 100.0, 1.0, 1.0, 1.0
19, 0.014335211053349797, 0.002691390150889151, 11.601826431792, 0.9786528782121036, 100.0, 1.0, 1.0, 1.0
20, 0.012094037741429019, 0.00476143871017592, 11.061383921002314, 0.9718541184178401, 100.0, 1.0, 1.0, 1.0
21, 0.010162863263357792, 0.008321278859916076, 10.610543584817965, 0.9646635195466018, 100.0, 1.0, 1.0, 1.0
22, 0.008545887087730348, 0.013995285737349332, 10.396582319143818, 0.9574043662637144, 100.0, 1.0, 1.0, 1.0
23, 0.007276906532343508, 0.0215232721361687, 10.431326179941369, 0.9512678880720707, 100.0, 1.0, 1.0, 1.0
24, 0.006378898845217713, 0.028596857022398676, 10.31665907611431, 0.9482844681020067, 100.0, 1.0, 1.0, 1.0
25, 0.005761369606111781, 0.033388777626486, 9.776393053853374, 0.948568713720138, 100.0, 1.0, 1.0, 1.0
26, 0.00532549201556191, 0.03584137731687779, 9.003537304284931, 0.9511053299114859, 100.0, 1.0, 1.0, 1.0
27, 0.00500425279683177, 0.03671809306006111, 8.331554127721567, 0.9548729438315814, 100.0, 1.0, 1.0, 1.0
28, 0.004735426426173769, 0.03721795624672004, 7.90906484575258, 0.9586788884071409, 100.0, 1.0, 1.0, 1.0
29, 0.0044579831396390195, 0.03867622051788988, 7.537356106541214, 0.9612943664452942, 100.0, 1.0, 1.0, 1.0
30, 0.0041525745516777235, 0.04191489030298898, 6.932414431202072, 0.9622811276533602, 100.0, 1.0, 1.0, 1.0
31, 0.003839771693652373, 0.047241885606228405, 6.024344590538341, 0.961832717041188, 100.0, 1.0, 1.0, 1.0
32, 0.003552866850997491, 0.054622662709427526, 5.016556428617995, 0.9604273243527174, 100.0, 1.0, 1.0, 1.0
33, 0.00332514874549672, 0.06306221040774439, 4.292530363968344, 0.9590096292343552, 100.0, 1.0, 1.0, 1.0
34, 0.0031847799016550674, 0.06903253802659894, 3.813134122310662, 0.9593851273346137, 100.0, 1.0, 1.0, 1.0
35, 0.003130468908748838, 0.06892722239441201, 2.9593092433743666, 0.9627057240821945, 100.0, 1.0, 1.0, 1.0
36, 0.00313378729715494, 0.06418192079225614, 2.0713361172244005, 0.9679224495720349, 100.0, 1.0, 1.0, 1.0
37, 0.0031538160285681806, 0.059706833189482625, 1.858237848624864, 0.9728529922377896, 100.0, 1.0, 1.0, 1.0
38, 0.0031272308367305546, 0.06135367810434114, 1.6513357345712107, 0.9751205896837608, 100.0, 1.0, 1.0, 1.0
39, 0.0030594583088907738, 0.06978162497550756, 1.1507682023726693, 0.9750671232555489, 100.0, 1.0, 1.0, 1.0
40, 0.0030111306504149826, 0.07928847574979304, 1.3235839264069416, 0.9750196103027453, 100.0, 1.0, 1.0, 1.0
41, 0.003035846176785662, 0.07539132097886425, 1.1964561982216368, 0.9784382836346152, 100.0, 1.0, 1.0, 1.0
42, 0.003126617802864945, 0.06173190844993837, 0.8729163599206682, 0.984434461362512, 100.0, 1.0, 1.0, 1.0
43, 0.003237180746112601, 0.05171901870661891, 0.9587089163913792, 0.9899949240422641, 100.0, 1.0, 1.0, 1.0
44, 0.0032979667449916754, 0.04988593838886894, 0.559484984637525, 0.9933029353928801, 100.0, 1.0, 1.0, 1.0
45, 0.0033398338617274597, 0.051464255339952594, 0.5576470558434005, 0.9955951757457052, 100.0, 1.0, 1.0, 1.0
46, 0.003411714583328585, 0.048274421220720155, 0.5489647112537926, 0.9982633143232408, 100.0, 1.0, 1.0, 1.0
47, 0.00349848479227239, 0.041363004342950836, 0.3440784157904497, 1.0008719741693417, 100.0, 1.0, 1.0, 1.0
48, 0.003530100752728491, 0.038038091348085626, 0.46414896658626853, 1.0020678314212172, 100.0, 1.0, 1.0, 1.0
49, 0.0034704488932426657, 0.0408408805942899, 0.2602372241309042, 1.001408972839676, 100.0, 1.0, 1.0, 1.0
50, 0.003382377908499913, 0.04718339562603714, 0.21546473583149622, 0.9997082606746763, 100.0, 1.0, 1.0, 1.0
51, 0.0033180182017519826, 0.050619006026650266, 0.2321791982293499, 0.9983165717277542, 100.0, 1.0, 1.0, 1.0
52, 0.003277053816845044, 0.04898456680525303, 0.1153279492074516, 0.9978274213509662, 100.0, 1.0, 1.0, 1.0
53, 0.003250010276042626, 0.04719235145137621, 0.2265000862869498, 0.9976729414399298, 100.0, 1.0, 1.0, 1.0
54, 0.0032366941872963126, 0.04828774661202457, 0.1433448517532418, 0.9973875467513875, 100.0, 1.0, 1.0, 1.0
55, 0.0032447212920647148, 0.05042271071902972, 0.09790840789651199, 0.9973351732373863, 100.0, 1.0, 1.0, 1.0
56, 0.0032688943948325807, 0.04917904839615177, 0.11477944193391845, 0.998174331964479, 100.0, 1.0, 1.0, 1.0
57, 0.003296076513514667, 0.04415364475734276, 0.019191809676547374, 0.9997072664110488, 100.0, 1.0, 1.0, 1.0
58, 0.0033205687416325716, 0.0396710780447752, 0.07163687176070362, 1.0010483529071823, 100.0, 1.0, 1.0, 1.0
59, 0.0033343057318856247, 0.03829760658444819, 0.05880875955059143, 1.001596092151899, 100.0, 1.0, 1.0, 1.0
60, 0.0033344756806122896, 0.03924292966089296, 0.033607524151664056, 1.0014141489858854, 100.0, 1.0, 1.0, 1.0
61, 0.0033193725137071013, 0.03992365856513602, 0.07415078272494861, 1.0009069408782625, 100.0, 1.0, 1.0, 1.0
62, 0.003287551558194183, 0.038813183522989965, 0.028206194726341626, 1.000368789526685, 100.0, 1.0, 1.0, 1.0
63, 0.0032484807889132873, 0.037412920528551295, 0.04531195445175027, 0.9997099500211765, 100.0, 1.0, 1.0, 1.0
64, 0.0032156728278242524, 0.037481152335725874, 0.05747947567187682, 0.9987585266388881, 100.0, 1.0, 1.0, 1.0
65, 0.0031963005034411815, 0.03879973217283204, 0.03469322009494308, 0.9976682149193804, 100.0, 1.0, 1.0, 1.0
66, 0.003185337873561485, 0.03941358817823378, 0.06479683725806375, 0.996916190481897, 100.0, 1.0, 1.0, 1.0
67, 0.0031734182248865004, 0.03778441568941642, 0.04462534312265362, 0.9968505813856978, 100.0, 1.0, 1.0, 1.0
68, 0.003163160682364764, 0.0349938191274246, 0.036335481919041276, 0.9972627784513568, 100.0, 1.0, 1.0, 1.0
69, 0.0031612330973453248, 0.03292321720638947, 0.04225280732158648, 0.9976736149846371, 100.0, 1.0, 1.0, 1.0
70, 0.0031658768921599707, 0.03204283292595484, 0.017013016051337832, 0.997835365300005, 100.0, 1.0, 1.0, 1.0
71, 0.0031685486241395024, 0.03145648663463268, 0.025032550940169776, 0.9978403358417793, 100.0, 1.0, 1.0, 1.0
72, 0.0031610349486426294, 0.030158422633412174, 0.02348040565643428, 0.9978538916100691, 100.0, 1.0, 1.0, 1.0
73, 0.003143886902964826, 0.028398227628113032, 0.013448144394331245, 0.9978133663378888, 100.0, 1.0, 1.0, 1.0
74, 0.0031234302374920763, 0.02720191566158962, 0.02226144905931674, 0.9974761119605665, 100.0, 1.0, 1.0, 1.0
75, 0.003104062879137662, 0.027003558253142667, 0.010889760249989274, 0.996735220533477, 100.0, 1.0, 1.0, 1.0
76, 0.003086316257026108, 0.027256984515010067, 0.008798777759111961, 0.9957982882456818, 100.0, 1.0, 1.0, 1.0
77, 0.0030675951441499556, 0.026988713449029287, 0.015124194244372257, 0.9950432669322578, 100.0, 1.0, 1.0, 1.0
78, 0.003047645623985909, 0.025903506398398713, 0.008835166517324244, 0.9946527944890524, 100.0, 1.0, 1.0, 1.0
79, 0.0030308119394611643, 0.024659288044254435, 0.014820618478146006, 0.99446213150523, 100.0, 1.0, 1.0, 1.0
80, 0.003019983185904244, 0.023875686549719576, 0.012870052189827971, 0.9942339496986496, 100.0, 1.0, 1.0, 1.0
81, 0.0030136319425226334, 0.023470971638328363, 0.006044989073850859, 0.9939534107417206, 100.0, 1.0, 1.0, 1.0
82, 0.0030078004043376664, 0.022896584846326774, 0.008874041289066123, 0.9937975893762702, 100.0, 1.0, 1.0, 1.0
83, 0.002999945978413656, 0.021871038591819752, 0.004632201072932821, 0.9938499825286348, 100.0, 1.0, 1.0, 1.0
84, 0.0029908614780881216, 0.02076232796466542, 0.005199375786068214, 0.9939294045958954, 100.0, 1.0, 1.0, 1.0
85, 0.0029815702936879496, 0.020074479694200075, 0.0076830591584297805, 0.9937714988942925, 100.0, 1.0, 1.0, 1.0
86, 0.002971812390748352, 0.019885382358487365, 0.003820729558059056, 0.993305943856876, 100.0, 1.0, 1.0, 1.0
87, 0.002960943927180674, 0.01983954246706268, 0.005369035451806514, 0.992707343300439, 100.0, 1.0, 1.0, 1.0
88, 0.0029484948351733717, 0.019560019276877665, 0.0049075451154108945, 0.9921919906627107, 100.0, 1.0, 1.0, 1.0
89, 0.0029353770674460477, 0.019075536202984696, 0.003597653177926861, 0.9917853416419393, 100.0, 1.0, 1.0, 1.0
90, 0.002923365120339351, 0.01870741719998002, 0.006425243207717403, 0.9913450696450172, 100.0, 1.0, 1.0, 1.0
91, 0.0029134388180753587, 0.018621477494105608, 0.005400024271452086, 0.990788381681754, 100.0, 1.0, 1.0, 1.0
92, 0.002905354899854755, 0.018646019410383848, 0.005572065127440946, 0.9902187933989531, 100.0, 1.0, 1.0, 1.0
93, 0.0028979951039136585, 0.01848312472555596, 0.006456126224465623, 0.9898121550855287, 100.0, 1.0, 1.0, 1.0
94, 0.002890787865743926, 0.018071193172292468, 0.004709166421696954, 0.9896029825731003, 100.0, 1.0, 1.0, 1.0
95, 0.0028842306999525, 0.017642749708409153, 0.005348168412845763, 0.989441285913905, 100.0, 1.0, 1.0, 1.0
96, 0.002878652169252093, 0.017417817320073106, 0.004931446705577761, 0.989167725207063, 100.0, 1.0, 1.0, 1.0
97, 0.0028736368867553364, 0.017375133620896252, 0.0038890478446563514, 0.9887731685888693, 100.0, 1.0, 1.0, 1.0
98, 0.0028682756024059953, 0.01731922389777245, 0.004611515434400753, 0.9883702592987647, 100.0, 1.0, 1.0, 1.0
99, 0.002861943705989931, 0.017128232072843558, 0.0038850554219809126, 0.9880338984436723, 100.0, 1.0, 1.0, 1.0
100, 0.0028550235901808247, 0.016895279442930573, 0.00374803987189494, 0.9877062296564938, 100.0, 1.0, 1.0, 1.0
101, 0.0028483573175009202, 0.016790831400771578, 0.004008729498427527, 0.9872769752454089, 100.0, 1.0, 1.0, 1.0
102, 0.0028423613191527536, 0.01685372055812923, 0.0030705941862095095, 0.9867239552676834, 100.0, 1.0, 1.0, 1.0
103, 0.0028367264313790205, 0.016954378596937686, 0.0031597440757889983, 0.986143998830811, 100.0, 1.0, 1.0, 1.0
104, 0.0028308525023311684, 0.016944281135371764, 0.003118446007991063, 0.9856480126781976, 100.0, 1.0, 1.0, 1.0
105, 0.0028247697977816927, 0.016821928443830108, 0.0027966632615129034, 0.9852451261567968, 100.0, 1.0, 1.0, 1.0
106, 0.002819174909605071, 0.0167119359230948, 0.003180209761234319, 0.9848527307053535, 100.0, 1.0, 1.0, 1.0
107, 0.002814534150407056, 0.016699927477949753, 0.0027974485700245637, 0.9844087538436205, 100.0, 1.0, 1.0, 1.0
