Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09506456114150086, 3.4100875318097897e-06, 0.00014425533325281614, 0.01022637318780327, 100.0, 100.0, 1e-05, 0.01
1, 0.0898037132613128, 7.844715118178493e-06, 0.0001442240051177504, 0.01022396545705057, 100.0, 100.0, 1e-05, 0.01
2, 0.08449028852416333, 1.3919220769246668e-05, 0.0001441688252615624, 0.010221203475283458, 100.0, 100.0, 1e-05, 0.01
3, 0.07904282771103247, 2.1658499242059367e-05, 0.00014409783605468958, 0.010217900914704118, 100.0, 100.0, 1e-05, 0.01
4, 0.07345062745759089, 3.093664567018931e-05, 0.00014400692160036632, 0.01021385080838148, 100.0, 100.0, 1e-05, 0.01
5, 0.0677567381391807, 4.140987021980287e-05, 0.00014389374154531116, 0.010208818435727145, 100.0, 100.0, 1e-05, 0.01
6, 0.06202212334047943, 5.262518554909405e-05, 0.00014375632006594305, 0.010202493027592206, 100.0, 100.0, 1e-05, 0.01
7, 0.05631267631822492, 6.407138260168394e-05, 0.00014359273110826226, 0.010194458268410273, 100.0, 100.0, 1e-05, 0.01
8, 0.05069595712477691, 7.521798302020463e-05, 0.000143400430417165, 0.010184164254403483, 100.0, 100.0, 1e-05, 0.01
9, 0.04523887764644605, 8.554363545886751e-05, 0.00014317444214242194, 0.01017089677451667, 100.0, 100.0, 1e-05, 0.01
10, 0.04000499402017948, 9.456755824023199e-05, 0.00014290754986459586, 0.010153744172492405, 100.0, 100.0, 1e-05, 0.01
11, 0.0350516169908217, 0.00010188903051193186, 0.0001425996759064539, 0.010131568443836477, 100.0, 100.0, 1e-05, 0.01
12, 0.030426886834564397, 0.00010724759804651282, 0.00014225630008225706, 0.010102985935015699, 100.0, 100.0, 1e-05, 0.01
13, 0.026167464958874755, 0.00011060727185494109, 0.00014188349292260628, 0.010066364593398514, 100.0, 100.0, 1e-05, 0.01
14, 0.02229748126640959, 0.00011226692504080162, 0.00014148775831173357, 0.010019846808001815, 100.0, 100.0, 1e-05, 0.01
15, 0.01882880789009656, 0.00011299278704857988, 0.00014107616318915283, 0.00996140615711901, 100.0, 100.0, 1e-05, 0.01
16, 0.015762320709670725, 0.00011416421784260715, 0.00014065665628719447, 0.009888943281519678, 100.0, 100.0, 1e-05, 0.01
17, 0.013089691148442495, 0.00011791117946335778, 0.00014024180106853238, 0.009800421968774179, 100.0, 100.0, 1e-05, 0.01
18, 0.010795295121398596, 0.00012716564304538532, 0.00013985948025481234, 0.00969404211451556, 100.0, 100.0, 1e-05, 0.01
19, 0.008857955331359944, 0.0001456386546133405, 0.00013952169535771505, 0.009568441540289394, 100.0, 100.0, 1e-05, 0.01
20, 0.007252390379914216, 0.00017774527490649946, 0.0001392306368032159, 0.009422914231280513, 100.0, 100.0, 1e-05, 0.01
21, 0.0059503665190777134, 0.0002282373736451942, 0.00013899544547597338, 0.00925762829410027, 100.0, 100.0, 1e-05, 0.01
22, 0.004921610343088556, 0.00030155615920070467, 0.00013882660676936144, 0.009073822551113624, 100.0, 100.0, 1e-05, 0.01
23, 0.0041345598791048, 0.0004009238085558789, 0.00013873038122224238, 0.008873956959534907, 100.0, 100.0, 1e-05, 0.01
24, 0.0035570239653758364, 0.0005271748081796014, 0.00013870796628826082, 0.008661788753359625, 100.0, 100.0, 1e-05, 0.01
25, 0.0031568034297725775, 0.0006773910993477167, 0.0001387580542062285, 0.008442343289620456, 100.0, 100.0, 1e-05, 0.01
26, 0.002902313889988065, 0.000843746476436436, 0.00013887812691215068, 0.008221746392913468, 100.0, 100.0, 1e-05, 0.01
27, 0.0027632403488689022, 0.0010131919960618785, 0.00013906510812585905, 0.00800688629884418, 100.0, 100.0, 1e-05, 0.01
28, 0.0027112355805449287, 0.0011686852449976988, 0.0001393153464571632, 0.0078048890554533725, 100.0, 100.0, 1e-05, 0.01
29, 0.0027206367888008114, 0.0012921359900320173, 0.0001396251859401396, 0.007622446442788421, 100.0, 100.0, 1e-05, 0.01
30, 0.002769120839594752, 0.0013683322401962725, 0.00013999287882883083, 0.007465123378202761, 100.0, 100.0, 1e-05, 0.01
31, 0.0028381779202640766, 0.0013886443574286482, 0.00014041911442378213, 0.007336821906361775, 100.0, 100.0, 1e-05, 0.01
32, 0.0029133001593240723, 0.0013529875410996444, 0.0001409065480894102, 0.007239534809805075, 100.0, 100.0, 1e-05, 0.01
33, 0.0029838578435253415, 0.0012691840962558458, 0.00014145963411031593, 0.007173408148273018, 100.0, 100.0, 1e-05, 0.01
34, 0.0030427212208849657, 0.0011503114714659104, 0.00014208395587494554, 0.007137030458457336, 100.0, 100.0, 1e-05, 0.01
35, 0.003085730011793803, 0.001011344127992855, 0.00014278460776993957, 0.00712783221004714, 100.0, 100.0, 1e-05, 0.01
36, 0.003111109052310207, 0.0008662500229175626, 0.0001435639574408999, 0.007142500315911503, 100.0, 100.0, 1e-05, 0.01
37, 0.003118900518448982, 0.0007261456390331548, 0.00014441945732161343, 0.007177350366947492, 100.0, 100.0, 1e-05, 0.01
38, 0.0031104532541421973, 0.0005985707110269128, 0.00014534218928606953, 0.0072286295700802776, 100.0, 100.0, 1e-05, 0.01
39, 0.003087987344957522, 0.00048761842602162303, 0.00014631679615598046, 0.007292741717219627, 100.0, 100.0, 1e-05, 0.01
40, 0.0030542378335756083, 0.00039457622343887656, 0.00014732284941935633, 0.007366396021457437, 100.0, 100.0, 1e-05, 0.01
41, 0.0030121729500768722, 0.00031876303076915633, 0.0001483372341455649, 0.007446688565524516, 100.0, 100.0, 1e-05, 0.01
42, 0.0029647775186593677, 0.0002583350901726115, 0.00014933691236315193, 0.007531129701607331, 100.0, 100.0, 1e-05, 0.01
43, 0.0029148903077060024, 0.000210934493788714, 0.0001503014005311207, 0.007617632804053377, 100.0, 100.0, 1e-05, 0.01
44, 0.0028650843710381017, 0.00017413944962032022, 0.00015121447337552646, 0.007704479263080288, 100.0, 100.0, 1e-05, 0.01
45, 0.0028175812119955604, 0.00014573065775015095, 0.00015206490937080737, 0.007790272135206008, 100.0, 100.0, 1e-05, 0.01
46, 0.0027741921239279464, 0.00012381529293374607, 0.00015284638216286458, 0.007873887448078652, 100.0, 100.0, 1e-05, 0.01
47, 0.0027362825980551658, 0.00010685611067143299, 0.00015355677227558523, 0.00795442875164905, 100.0, 100.0, 1e-05, 0.01
48, 0.0027047577115386317, 9.364673721228363e-05, 0.00015419720517751667, 0.008031187724436714, 100.0, 100.0, 1e-05, 0.01
49, 0.00268006763636238, 8.326281467126361e-05, 0.00015477106004374472, 0.00810361169987029, 100.0, 100.0, 1e-05, 0.01
50, 0.0026622327874145776, 7.500741392502507e-05, 0.00015528309869422197, 0.008171277811457187, 100.0, 100.0, 1e-05, 0.01
51, 0.002650887754817824, 6.836040598493369e-05, 0.0001557387789234324, 0.008233872877326976, 100.0, 100.0, 1e-05, 0.01
52, 0.002645342232034881, 6.29357643018515e-05, 0.00015614375835013312, 0.00829117794916182, 100.0, 100.0, 1e-05, 0.01
53, 0.0026446558986611226, 5.844753495606577e-05, 0.0001565035640330845, 0.008343056471843786, 100.0, 100.0, 1e-05, 0.01
54, 0.002647722909044157, 5.46836663988543e-05, 0.00015682339194322207, 0.008389445125463045, 100.0, 100.0, 1e-05, 0.01
55, 0.002653360537618373, 5.148634012338678e-05, 0.00015710800068650629, 0.00843034658316927, 100.0, 100.0, 1e-05, 0.01
56, 0.002660395872051689, 4.873740260276669e-05, 0.00015736166939566828, 0.00846582358080187, 100.0, 100.0, 1e-05, 0.01
57, 0.002667744396056743, 4.634767445519073e-05, 0.00015758819665944747, 0.008495993840344345, 100.0, 100.0, 1e-05, 0.01
58, 0.0026744749406020546, 4.4249149667695015e-05, 0.00015779092383037404, 0.008521025512028624, 100.0, 100.0, 1e-05, 0.01
59, 0.00267985676606305, 4.23893241204351e-05, 0.00015797277132022642, 0.008541132897058433, 100.0, 100.0, 1e-05, 0.01
60, 0.00268338631506581, 4.0727082340628434e-05, 0.0001581362804518227, 0.008556572284413663, 100.0, 100.0, 1e-05, 0.01
61, 0.002684793204269721, 3.922972007340293e-05, 0.00015828365625424184, 0.0085676377828493, 100.0, 100.0, 1e-05, 0.01
