Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
13400, 0.0001300924745063623, 0.012058563384652849, 0.011646936351250302, 0.000431373662929687, 10.0, 1.0, 1.0, 1.0
13401, 0.00013013015772184782, 0.012066070785901706, 0.011594115377159517, 0.00043116532650602947, 10.0, 1.0, 1.0, 1.0
13402, 0.0001301555404527076, 0.012066702543929983, 0.011556568257500368, 0.0004309636616647113, 10.0, 1.0, 1.0, 1.0
13403, 0.0001302268182190502, 0.012056023813740588, 0.011452713464120159, 0.0004302200322166354, 10.0, 1.0, 1.0, 1.0
13404, 0.00013018796716292197, 0.012056512411003573, 0.011435930133776997, 0.0004298485545635605, 10.0, 1.0, 1.0, 1.0
13405, 0.00012985500284572475, 0.012095070298945909, 0.011481095698456087, 0.00042919272911342177, 10.0, 1.0, 1.0, 1.0
13406, 0.00012920381453767772, 0.012144057313086456, 0.011791849654919915, 0.0004303316213561762, 10.0, 1.0, 1.0, 1.0
13407, 0.00012841525140307492, 0.012233274320888924, 0.012194109166905602, 0.00043337346434702445, 10.0, 1.0, 1.0, 1.0
13408, 0.00012752033556270336, 0.012229486266799193, 0.012747647145702415, 0.00043920267033760045, 10.0, 1.0, 1.0, 1.0
13409, 0.00012746711775941618, 0.012281868973526533, 0.01259544194310533, 0.0004405667599557029, 10.0, 1.0, 1.0, 1.0
13410, 0.00012729229175656654, 0.012308406009103885, 0.012696842080746748, 0.00044294097850972036, 10.0, 1.0, 1.0, 1.0
13411, 0.00012731220896147497, 0.012301464454174418, 0.012649486281799377, 0.0004434759324420746, 10.0, 1.0, 1.0, 1.0
13412, 0.00012723411278296243, 0.012268107914723082, 0.012687242193796156, 0.00044530540005705764, 10.0, 1.0, 1.0, 1.0
13413, 0.00012706920611507143, 0.012219297847749314, 0.012803888230525258, 0.0004471843254676315, 10.0, 1.0, 1.0, 1.0
13414, 0.00012706242639661403, 0.01218130898995012, 0.01280831934940067, 0.00044716912267376115, 10.0, 1.0, 1.0, 1.0
13415, 0.00012710681677654157, 0.01214441493024201, 0.01276153054051406, 0.00044646356147148684, 10.0, 1.0, 1.0, 1.0
13416, 0.00012719372254866714, 0.012111384332764668, 0.01265280729569269, 0.0004456609180191906, 10.0, 1.0, 1.0, 1.0
13417, 0.00012733848627840343, 0.012080366877372723, 0.012433231152141865, 0.0004453552798231666, 10.0, 1.0, 1.0, 1.0
13418, 0.00012754856119895995, 0.012068049812281262, 0.012054819372194001, 0.0004466498135533171, 10.0, 1.0, 1.0, 1.0
13419, 0.00012779590540908564, 0.012093137922027061, 0.011536482556717291, 0.0004510955994201443, 10.0, 1.0, 1.0, 1.0
13420, 0.00012797200771242338, 0.012151165683633803, 0.011025890553124463, 0.00045957695858423223, 10.0, 1.0, 1.0, 1.0
13421, 0.0001279045828645679, 0.012222018778235057, 0.010668046523836964, 0.0004750080842212757, 10.0, 1.0, 1.0, 1.0
13422, 0.00012780638140963015, 0.0123530469511908, 0.010125122697437431, 0.0005015467171909102, 10.0, 1.0, 1.0, 1.0
13423, 0.00012767631520167578, 0.012365167907562206, 0.010139807155483906, 0.0005120857427062924, 10.0, 1.0, 1.0, 1.0
13424, 0.0001275591649069691, 0.012372819352281619, 0.010146827296733484, 0.0005175085775251807, 10.0, 1.0, 1.0, 1.0
13425, 0.00012755962860312245, 0.012367431953587894, 0.010109162083534205, 0.0005165325656077744, 10.0, 1.0, 1.0, 1.0
13426, 0.0001276157198409993, 0.012355116926694517, 0.009959132170377402, 0.0005132353535700963, 10.0, 1.0, 1.0, 1.0
13427, 0.00012778816090310295, 0.01233326841920693, 0.009674807911778344, 0.0005065291658530219, 10.0, 1.0, 1.0, 1.0
13428, 0.00012803813028959823, 0.012313265407708832, 0.009330952328587166, 0.0005018972749891797, 10.0, 1.0, 1.0, 1.0
13429, 0.0001282562566622337, 0.012301235694917072, 0.009026124561375514, 0.0005006404873283028, 10.0, 1.0, 1.0, 1.0
13430, 0.00012841216087355528, 0.012291555418638704, 0.008753893105271963, 0.0005013472553570912, 10.0, 1.0, 1.0, 1.0
13431, 0.00012848462116654737, 0.012274687952253147, 0.008496588751298578, 0.0005030388155411658, 10.0, 1.0, 1.0, 1.0
13432, 0.0001284700056843971, 0.01224352742104314, 0.008102527783188467, 0.0005053968125024593, 10.0, 1.0, 1.0, 1.0
13433, 0.00012847908747202328, 0.01220570083011053, 0.007295772560404216, 0.0005455354939222156, 10.0, 1.0, 1.0, 1.0
13434, 0.00012875193645453601, 0.01219478915944705, 0.0068692622750066695, 0.0006607240108768115, 10.0, 1.0, 1.0, 1.0
13435, 0.00012872136303098046, 0.012202737580272937, 0.0062071481297745245, 0.0007324629676807305, 10.0, 1.0, 1.0, 1.0
13436, 0.00012873714648457932, 0.012288004964698394, 0.005821321534513416, 0.0006512930250303814, 10.0, 1.0, 1.0, 1.0
13437, 0.00012875013387437492, 0.012338248864074669, 0.0054735747804955, 0.0006560761149300353, 10.0, 1.0, 1.0, 1.0
13438, 0.00012836303841035337, 0.012473404705059048, 0.004928879188773627, 0.0007066195737170884, 10.0, 1.0, 1.0, 1.0
13439, 0.00012770733453518773, 0.012505585549406957, 0.0047149066738729276, 0.0008706901029323498, 10.0, 1.0, 1.0, 1.0
13440, 0.0001262970971370845, 0.012578867915003383, 0.00515482811969122, 0.0010685035428058796, 10.0, 1.0, 1.0, 1.0
13441, 0.00012620189979536595, 0.012478409096646749, 0.0049937785878387, 0.0011913961290913537, 10.0, 1.0, 1.0, 1.0
13442, 0.00012632277904518836, 0.01241893263343835, 0.004850830527930217, 0.0011123629112804905, 10.0, 1.0, 1.0, 1.0
13443, 0.00012625037811549324, 0.012331940833535459, 0.004767524665409392, 0.00108912513489734, 10.0, 1.0, 1.0, 1.0
13444, 0.00012587433343254074, 0.012066345990839647, 0.004407862155916616, 0.0010194156277180846, 10.0, 1.0, 1.0, 1.0
13445, 0.000124797131745341, 0.011488311482580227, 0.004632755902965537, 0.0008818789656989373, 10.0, 1.0, 1.0, 1.0
13446, 0.00012474467380816046, 0.011186980647981357, 0.0037574225193533987, 0.0006343682056095014, 10.0, 1.0, 1.0, 1.0
13447, 0.0001231365726848438, 0.011188618369283877, 0.004402763366844773, 0.0006641274844039783, 10.0, 1.0, 1.0, 1.0
13448, 0.00012259919380451826, 0.011313677858734602, 0.004338558827934277, 0.0007076759727802757, 10.0, 1.0, 1.0, 1.0
13449, 0.0001222429789421787, 0.011289221027631103, 0.004274849703489695, 0.000736810309999249, 10.0, 1.0, 1.0, 1.0
13450, 0.00012125930960239775, 0.011195145868387248, 0.004135658043068216, 0.0007578441606504964, 10.0, 1.0, 1.0, 1.0
13451, 0.00011991286734291957, 0.01111251854890656, 0.004778041304363553, 0.0008149739428251044, 10.0, 1.0, 1.0, 1.0
13452, 0.00011968051924576195, 0.011160013295186589, 0.003908414238747258, 0.0007846025300027466, 10.0, 1.0, 1.0, 1.0
13453, 0.00011878442483836035, 0.011033154213542309, 0.004335554782785331, 0.0007970677273852199, 10.0, 1.0, 1.0, 1.0
13454, 0.00011821498548702344, 0.011184814369492658, 0.004225677483959675, 0.0007550992316744445, 10.0, 1.0, 1.0, 1.0
13455, 0.00011756026361592944, 0.011256846817165612, 0.004570440993548247, 0.0007730789162059758, 10.0, 1.0, 1.0, 1.0
13456, 0.00011722454843392638, 0.011370145819537634, 0.004676572454628577, 0.0007776927680350493, 10.0, 1.0, 1.0, 1.0
13457, 0.0001171688867806043, 0.011404664723539007, 0.004581944705025075, 0.0007827510638302369, 10.0, 1.0, 1.0, 1.0
13458, 0.0001170141330706688, 0.011462161703936675, 0.004273885505098372, 0.0008386898678258122, 10.0, 1.0, 1.0, 1.0
13459, 0.00011683039714916519, 0.011482025785529475, 0.0038137865026547147, 0.0009702196511786859, 10.0, 1.0, 1.0, 1.0
13460, 0.00011599680184838763, 0.01140824046374672, 0.0034781872245325677, 0.0014581163674132604, 10.0, 1.0, 1.0, 1.0
13461, 0.00011535210315367565, 0.011290031181498591, 0.0037892078675764197, 0.0015809265389576843, 10.0, 1.0, 1.0, 1.0
13462, 0.00011488748056419337, 0.011095943886857763, 0.004026322372337407, 0.0018744372906211568, 10.0, 1.0, 1.0, 1.0
