Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.1050323453507075, 1.0128332982864339e-06, 14.730148941365801, 10.228766894285258, 10000.0, 1.0, 1.0, 10.0
1, 0.10285679067703696, 2.859577701342038e-07, 14.752391594446957, 10.226581152871736, 10000.0, 1.0, 1.0, 10.0
2, 0.10080941593458678, 6.357196314554766e-08, 14.770533518191153, 10.223573093245967, 10000.0, 1.0, 1.0, 10.0
3, 0.09863074553677419, 1.880524367050898e-07, 14.781403089948581, 10.219506220199818, 10000.0, 1.0, 1.0, 10.0
4, 0.0962873063983375, 6.814453100643657e-07, 14.784440622732044, 10.214160771674877, 10000.0, 1.0, 1.0, 10.0
5, 0.09377417752756982, 1.6457951252028445e-06, 14.779737252058103, 10.207276962321894, 10000.0, 1.0, 1.0, 10.0
6, 0.09108751808347065, 3.2400861078899714e-06, 14.767544974681638, 10.198570003158917, 10000.0, 1.0, 1.0, 10.0
7, 0.08822438380427154, 5.701691486199159e-06, 14.7480947660121, 10.187716331463864, 10000.0, 1.0, 1.0, 10.0
8, 0.08518427285658303, 9.388645209006483e-06, 14.721454317501115, 10.174327318792624, 10000.0, 1.0, 1.0, 10.0
9, 0.08196996078464165, 1.484962717749276e-05, 14.687420241221504, 10.157930065050627, 10000.0, 1.0, 1.0, 10.0
10, 0.07858787841758078, 2.2946557563020334e-05, 14.645474346620933, 10.137953431590743, 10000.0, 1.0, 1.0, 10.0
11, 0.07504860008720399, 3.5064459668907526e-05, 14.594787276694417, 10.113714555056282, 10000.0, 1.0, 1.0, 10.0
12, 0.071367292160483, 5.3464841076158876e-05, 14.534279868051378, 10.084410496926175, 10000.0, 1.0, 1.0, 10.0
13, 0.06756390923437951, 8.188172493003532e-05, 14.462772935894332, 10.049122123863867, 10000.0, 1.0, 1.0, 10.0
14, 0.06366273140199147, 0.00012652719391091446, 14.379219703895657, 10.006823526709232, 10000.0, 1.0, 1.0, 10.0
15, 0.05969128184358067, 0.00019778744331799036, 14.282984046397198, 9.956393046225212, 10000.0, 1.0, 1.0, 10.0
16, 0.05567917790488382, 0.00031306365339628123, 14.174120786409201, 9.896631738276199, 10000.0, 1.0, 1.0, 10.0
17, 0.0516573619929307, 0.0005014398644904977, 14.053639078114346, 9.82630193226622, 10000.0, 1.0, 1.0, 10.0
18, 0.04765747542390191, 0.0008111975093801528, 13.923741116336638, 9.744183089485384, 10000.0, 1.0, 1.0, 10.0
19, 0.043711045466244935, 0.0013217487678003682, 13.787997666374125, 9.649125185737873, 10000.0, 1.0, 1.0, 10.0
20, 0.0398486195635386, 0.0021624019121548256, 13.65142238751859, 9.54008867805771, 10000.0, 1.0, 1.0, 10.0
21, 0.036099017316507005, 0.0035416260817962473, 13.52041957488354, 9.416169345622095, 10000.0, 1.0, 1.0, 10.0
22, 0.032488757554613716, 0.005792266023342547, 13.402574602980083, 9.276619432493344, 10000.0, 1.0, 1.0, 10.0
23, 0.029041732790038147, 0.009440586495303858, 13.306317489101536, 9.120896735028627, 10000.0, 1.0, 1.0, 10.0
24, 0.025779116133754325, 0.015310347900887037, 13.24054062215575, 8.948765902702945, 10000.0, 1.0, 1.0, 10.0
25, 0.022719323404452416, 0.024677591718239286, 13.21416907250568, 8.760444205977638, 10000.0, 1.0, 1.0, 10.0
26, 0.019877858184272, 0.03949704652355483, 13.23555128163471, 8.556765073567803, 10000.0, 1.0, 1.0, 10.0
27, 0.017266999482802532, 0.06272459223217099, 13.31142773510414, 8.339329049243222, 10000.0, 1.0, 1.0, 10.0
28, 0.014895398331501213, 0.09875143424100698, 13.445150735073955, 8.110609637998557, 10000.0, 1.0, 1.0, 10.0
29, 0.01276769296496061, 0.15390186713942725, 13.633756846927122, 7.8739787249924555, 10000.0, 1.0, 1.0, 10.0
30, 0.010884245735425409, 0.23668094686390623, 13.863331682433984, 7.633615480514873, 10000.0, 1.0, 1.0, 10.0
31, 0.009241066966287405, 0.35666825905296473, 14.101940050121469, 7.3942738003030986, 10000.0, 1.0, 1.0, 10.0
32, 0.00782994319698392, 0.5203026348526263, 14.293504806089713, 7.160918908019378, 10000.0, 1.0, 1.0, 10.0
33, 0.006638761682669067, 0.7263892706757412, 14.373533240296505, 6.938303173562881, 10000.0, 1.0, 1.0, 10.0
34, 0.005652058302165468, 0.9679177822381598, 14.312071449095283, 6.7306269270158205, 10000.0, 1.0, 1.0, 10.0
35, 0.0048518057207052575, 1.2354081882426304, 14.130526211590446, 6.5414589692065075, 10000.0, 1.0, 1.0, 10.0
36, 0.004218325992702723, 1.5182039324377188, 13.88045484891368, 6.374043140526805, 10000.0, 1.0, 1.0, 10.0
37, 0.0037311757117317363, 1.8057018706417383, 13.616245267262235, 6.232000464884143, 10000.0, 1.0, 1.0, 10.0
38, 0.00336991433526582, 2.0880613190452437, 13.378480534382591, 6.1201446824266785, 10000.0, 1.0, 1.0, 10.0
39, 0.0031147241266479284, 2.3551696587751416, 13.189337898576367, 6.044732208747895, 10000.0, 1.0, 1.0, 10.0
40, 0.0029468824937376958, 2.5949576770179172, 13.055530005028233, 6.0124296954428775, 10000.0, 1.0, 1.0, 10.0
41, 0.0028491024827553358, 2.79376307392542, 12.973812571245873, 6.027987452439476, 10000.0, 1.0, 1.0, 10.0
42, 0.002805761787605642, 2.939355364036863, 12.935985999772967, 6.091600056468474, 10000.0, 1.0, 1.0, 10.0
43, 0.0028030387400514102, 3.0241976485424193, 12.932325424050841, 6.197279958640399, 10000.0, 1.0, 1.0, 10.0
44, 0.0028289696590046293, 3.046610501111839, 12.953517652730254, 6.333010812790146, 10000.0, 1.0, 1.0, 10.0
45, 0.002873439286989937, 3.009786550454594, 12.991551870619073, 6.482544098786213, 10000.0, 1.0, 1.0, 10.0
46, 0.0029281154283380675, 2.9199835567110926, 13.039990893157615, 6.628062018863922, 10000.0, 1.0, 1.0, 10.0
47, 0.0029863391086858934, 2.7849893972647783, 13.093919466525529, 6.7527847214759955, 10000.0, 1.0, 1.0, 10.0
48, 0.0030429816553374277, 2.6131994843323, 13.149746562344149, 6.8428552344394244, 10000.0, 1.0, 1.0, 10.0
49, 0.0030942797752451737, 2.413184857985125, 13.20495871494602, 6.888246409001609, 10000.0, 1.0, 1.0, 10.0
50, 0.0031376589187507736, 2.193515392620973, 13.257874766345614, 6.882787387836856, 10000.0, 1.0, 1.0, 10.0
51, 0.0031715539375143653, 1.962629466433513, 13.307426500524759, 6.823607067551389, 10000.0, 1.0, 1.0, 10.0
52, 0.0031952343729399805, 1.7285949473513111, 13.352975933090752, 6.71033814161876, 10000.0, 1.0, 1.0, 10.0
53, 0.003208639882040967, 1.4987095093792095, 13.39417371855114, 6.544358434770699, 10000.0, 1.0, 1.0, 10.0
54, 0.0032122295562339418, 1.2790662689564751, 13.43086113120454, 6.32822291778905, 10000.0, 1.0, 1.0, 10.0
55, 0.003206847315555925, 1.0743395065772612, 13.463017448752023, 6.06532582807196, 10000.0, 1.0, 1.0, 10.0
