Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10558039204888901, 2.34904603977143e-06, 14.730148941365801, 13.690263702778205, 100.0, 1.0, 1.0, 1.0
1, 0.1020979089386904, 6.602698420957906e-07, 14.747076579704515, 13.687914506625535, 100.0, 1.0, 1.0, 1.0
2, 0.09885604046431198, 1.3715553158712704e-07, 14.75998261392715, 13.68484284157125, 100.0, 1.0, 1.0, 1.0
3, 0.09536712723996062, 4.13022258166461e-07, 14.767141809176268, 13.680682475796937, 100.0, 1.0, 1.0, 1.0
4, 0.09155419241688188, 1.5627070696465703e-06, 14.768336830970588, 13.67508605116404, 100.0, 1.0, 1.0, 1.0
5, 0.08740186793610807, 3.84147508809168e-06, 14.763218645007045, 13.667653957971392, 100.0, 1.0, 1.0, 1.0
6, 0.08290254865357405, 7.643558213560546e-06, 14.751398340918744, 13.657902577048906, 100.0, 1.0, 1.0, 1.0
7, 0.07805769471350783, 1.3568724624689995e-05, 14.732430147510705, 13.645267480218118, 100.0, 1.0, 1.0, 1.0
8, 0.07287972256645098, 2.252050499943174e-05, 14.705777782944436, 13.629118425512596, 100.0, 1.0, 1.0, 1.0
9, 0.067392438214853, 3.5850192713594625e-05, 14.670779682640443, 13.60874775976326, 100.0, 1.0, 1.0, 1.0
10, 0.06163344631357373, 5.560400392396924e-05, 14.626557702490148, 13.583350154165604, 100.0, 1.0, 1.0, 1.0
11, 0.05565764159500072, 8.49211613794944e-05, 14.571862324007927, 13.552001821924845, 100.0, 1.0, 1.0, 1.0
12, 0.049539540166860775, 0.00012867709313614463, 14.505033209969595, 13.513625286632575, 100.0, 1.0, 1.0, 1.0
13, 0.04337392969484028, 0.0001945287156344406, 14.424115327033663, 13.466958617792336, 100.0, 1.0, 1.0, 1.0
14, 0.037273594723246956, 0.000294503864759692, 14.327074035480603, 13.410540126597658, 100.0, 1.0, 1.0, 1.0
15, 0.03136407386742017, 0.0004473535046515428, 14.212176337981829, 13.342704574968757, 100.0, 1.0, 1.0, 1.0
