Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
7750, 3.066182926226355e-06, 0.0014638792196802323, 0.0004595361651104041, 1.4566182194522948e-05, 500.0, 1.0, 1.0, 1.0
7751, 3.0661390108260244e-06, 0.0014640081218820888, 0.0004594031886754557, 1.4556687311232394e-05, 500.0, 1.0, 1.0, 1.0
7752, 3.066050408593087e-06, 0.0014641806289249102, 0.0004592295159345599, 1.4522749987348344e-05, 500.0, 1.0, 1.0, 1.0
7753, 3.0659180415974376e-06, 0.0014643934395660726, 0.000458991583950531, 1.4425934308495298e-05, 500.0, 1.0, 1.0, 1.0
7754, 3.0657714771023852e-06, 0.0014646041097691037, 0.0004586557378263683, 1.417357128119629e-05, 500.0, 1.0, 1.0, 1.0
7755, 3.065970703749912e-06, 0.0014645925005143039, 0.00045819574551699807, 1.3691981958532268e-05, 500.0, 1.0, 1.0, 1.0
7756, 3.0673215026575044e-06, 0.001464145560278967, 0.00045742925111574194, 1.3116271371451863e-05, 500.0, 1.0, 1.0, 1.0
7757, 3.06822059201916e-06, 0.0014641639232916529, 0.00045625211914636555, 1.2660650390524343e-05, 500.0, 1.0, 1.0, 1.0
7758, 3.068292781023812e-06, 0.0014642778365074624, 0.0004556992754866339, 1.2469764256272344e-05, 500.0, 1.0, 1.0, 1.0
7759, 3.0677855073622037e-06, 0.001464399771736471, 0.0004557279523522023, 1.2461116396967275e-05, 500.0, 1.0, 1.0, 1.0
7760, 3.0672195420236055e-06, 0.0014645893731389692, 0.0004557141919002798, 1.2459402862041819e-05, 500.0, 1.0, 1.0, 1.0
7761, 3.066128046541044e-06, 0.0014648803769982898, 0.0004556766051977894, 1.2420759822995622e-05, 500.0, 1.0, 1.0, 1.0
7762, 3.063887449160561e-06, 0.0014651458497206419, 0.0004555885479230228, 1.2311395974049754e-05, 500.0, 1.0, 1.0, 1.0
7763, 3.0604043318705687e-06, 0.001465151583442761, 0.00045574726381958364, 1.2425993740666626e-05, 500.0, 1.0, 1.0, 1.0
7764, 3.0607591253126202e-06, 0.001465302548588008, 0.00045346018635996797, 1.3100647099648628e-05, 500.0, 1.0, 1.0, 1.0
7765, 3.0570291184828665e-06, 0.001464609098738786, 0.000454838325997055, 1.3485109862669321e-05, 500.0, 1.0, 1.0, 1.0
7766, 3.0566275578361037e-06, 0.001464207208175037, 0.00045510546182875485, 1.3516259934945039e-05, 500.0, 1.0, 1.0, 1.0
7767, 3.0568304791105715e-06, 0.001464061238378542, 0.00045495257306568286, 1.3470672938830797e-05, 500.0, 1.0, 1.0, 1.0
7768, 3.0565145134957895e-06, 0.0014633645572787216, 0.0004550405190218483, 1.3402445424479937e-05, 500.0, 1.0, 1.0, 1.0
7769, 3.054676148433051e-06, 0.0014608339886054782, 0.00045648024473867284, 1.3262592079650874e-05, 500.0, 1.0, 1.0, 1.0
7770, 3.0494770659604357e-06, 0.001455812090717061, 0.00046067630766991004, 1.3097538984296065e-05, 500.0, 1.0, 1.0, 1.0
7771, 3.0402320465842606e-06, 0.001448388395039742, 0.0004681053316251555, 1.2955104397142166e-05, 500.0, 1.0, 1.0, 1.0
7772, 3.031140931701749e-06, 0.0014453796642919243, 0.0004698178458509045, 1.272899253480789e-05, 500.0, 1.0, 1.0, 1.0
7773, 3.0265133064800097e-06, 0.0014462639806943922, 0.0004681724806347115, 1.2619549522515956e-05, 500.0, 1.0, 1.0, 1.0
7774, 3.0256971224171265e-06, 0.0014475339877953663, 0.00046624676556887166, 1.2586162595526001e-05, 500.0, 1.0, 1.0, 1.0
7775, 3.0256215536991127e-06, 0.0014491368583993591, 0.00046424702094768384, 1.2568430530608242e-05, 500.0, 1.0, 1.0, 1.0
7776, 3.025825749678917e-06, 0.0014501995177272815, 0.0004628222465080948, 1.2564797133312175e-05, 500.0, 1.0, 1.0, 1.0
7777, 3.02657897627488e-06, 0.0014514143074854137, 0.0004608483975184562, 1.2576211723143994e-05, 500.0, 1.0, 1.0, 1.0
7778, 3.027780846847015e-06, 0.0014518854508387604, 0.0004593801187457057, 1.2595986324696046e-05, 500.0, 1.0, 1.0, 1.0
7779, 3.0303025939273812e-06, 0.0014517875738378082, 0.0004574418155419943, 1.2619931573519868e-05, 500.0, 1.0, 1.0, 1.0
7780, 3.0333537028685976e-06, 0.00145074573850014, 0.0004563317768275337, 1.2622500440085002e-05, 500.0, 1.0, 1.0, 1.0
7781, 3.034345355345623e-06, 0.0014498373350604464, 0.00045650333165504005, 1.2611086160399367e-05, 500.0, 1.0, 1.0, 1.0
7782, 3.0345867208669664e-06, 0.0014491396826195359, 0.00045676767405720655, 1.259920574892805e-05, 500.0, 1.0, 1.0, 1.0
7783, 3.0348276730360515e-06, 0.001447898384929918, 0.0004569021791701596, 1.2576994028574042e-05, 500.0, 1.0, 1.0, 1.0
7784, 3.035371262824072e-06, 0.0014463571153615952, 0.0004563306283860271, 1.256964031888379e-05, 500.0, 1.0, 1.0, 1.0
7785, 3.037274569537301e-06, 0.0014448329812001574, 0.0004539650182012419, 1.2624651518667736e-05, 500.0, 1.0, 1.0, 1.0
7786, 3.041556280616134e-06, 0.0014441420502676566, 0.0004492519028285258, 1.2740639793583049e-05, 500.0, 1.0, 1.0, 1.0
7787, 3.0452522578285967e-06, 0.0014441308629956264, 0.0004446904308460504, 1.268789345199858e-05, 500.0, 1.0, 1.0, 1.0
7788, 3.0470369650106916e-06, 0.0014444429204683762, 0.0004417148325940882, 1.2554869567885192e-05, 500.0, 1.0, 1.0, 1.0
7789, 3.0467197062889044e-06, 0.0014443478142552796, 0.0004411066407130102, 1.2464850202256389e-05, 500.0, 1.0, 1.0, 1.0
7790, 3.0456681662623027e-06, 0.0014432125558187328, 0.0004407247972437232, 1.2341246365262803e-05, 500.0, 1.0, 1.0, 1.0
7791, 3.04393818691411e-06, 0.0014406694476476654, 0.00044097464684285967, 1.2330123880532252e-05, 500.0, 1.0, 1.0, 1.0
7792, 3.042032955197305e-06, 0.0014358269486575849, 0.0004426144331879037, 1.2413466256673913e-05, 500.0, 1.0, 1.0, 1.0
7793, 3.0392391269421394e-06, 0.0014330677754499394, 0.0004443375407899479, 1.2293039352386549e-05, 500.0, 1.0, 1.0, 1.0
7794, 3.037343286356373e-06, 0.0014321897123544668, 0.00044485605517750334, 1.2079177342254596e-05, 500.0, 1.0, 1.0, 1.0
7795, 3.0352553547687387e-06, 0.0014308909141634617, 0.00044520303551762196, 1.197722532236379e-05, 500.0, 1.0, 1.0, 1.0
7796, 3.031418627998724e-06, 0.0014305214692823644, 0.00044492496139671546, 1.2129414669700235e-05, 500.0, 1.0, 1.0, 1.0
7797, 3.0277949723163867e-06, 0.0014295168856554518, 0.000445100964911834, 1.2331963139266564e-05, 500.0, 1.0, 1.0, 1.0
7798, 3.024633988140794e-06, 0.001430489260980471, 0.0004436023962880525, 1.2281929185486468e-05, 500.0, 1.0, 1.0, 1.0
7799, 3.0247071902613135e-06, 0.0014282039464493645, 0.0004445383615550254, 1.205871125660533e-05, 500.0, 1.0, 1.0, 1.0
7800, 3.0279762003299923e-06, 0.0014283061170547674, 0.0004419650095187337, 1.183372208920459e-05, 500.0, 1.0, 1.0, 1.0
7801, 3.0298510510819386e-06, 0.0014256583472437297, 0.00044273173008716496, 1.1758744512634142e-05, 500.0, 1.0, 1.0, 1.0
7802, 3.0331612637987963e-06, 0.0014208077204327667, 0.0004441734848947435, 1.1680499541427112e-05, 500.0, 1.0, 1.0, 1.0
7803, 3.0326457505460535e-06, 0.0014190038748328217, 0.0004448846754238179, 1.166424026659816e-05, 500.0, 1.0, 1.0, 1.0
7804, 3.0299448920139716e-06, 0.0014199600741811305, 0.0004436558882464838, 1.1785570873157475e-05, 500.0, 1.0, 1.0, 1.0
7805, 3.0269837424805337e-06, 0.0014174160820202581, 0.0004466128067109052, 1.161580571273234e-05, 500.0, 1.0, 1.0, 1.0
7806, 3.0171343643586173e-06, 0.0014174194136248736, 0.00044747358167310236, 1.166901834212954e-05, 500.0, 1.0, 1.0, 1.0
7807, 3.0015239751458818e-06, 0.0014204210571607087, 0.0004451207649969317, 1.1593184379691191e-05, 500.0, 1.0, 1.0, 1.0
7808, 2.9982562691239063e-06, 0.0014203846825300594, 0.00044398867350389147, 1.1591997738654811e-05, 500.0, 1.0, 1.0, 1.0
7809, 2.9991428829590634e-06, 0.001421454874863695, 0.00043974534784929544, 1.1887610960525672e-05, 500.0, 1.0, 1.0, 1.0
7810, 3.0027024839059766e-06, 0.0014176594965498205, 0.0004402577268616124, 1.1830585123510233e-05, 500.0, 1.0, 1.0, 1.0
7811, 3.0055591002025755e-06, 0.0014165783454610573, 0.00043859541704860877, 1.1833940763122919e-05, 500.0, 1.0, 1.0, 1.0
7812, 3.0070338106228032e-06, 0.0014155191912489555, 0.0004386475783739163, 1.1653296358915436e-05, 500.0, 1.0, 1.0, 1.0
7813, 3.006325558537384e-06, 0.0014141252156822776, 0.000440351287243712, 1.1619497272784065e-05, 500.0, 1.0, 1.0, 1.0
7814, 3.006644956572469e-06, 0.0014148484086253287, 0.00043931073988355215, 1.1618108689670563e-05, 500.0, 1.0, 1.0, 1.0
7815, 3.006848979425738e-06, 0.0014152284342327213, 0.0004386897059819194, 1.1637103192927553e-05, 500.0, 1.0, 1.0, 1.0
7816, 3.007241702154992e-06, 0.0014160108291964952, 0.00043724895453838415, 1.170697775878137e-05, 500.0, 1.0, 1.0, 1.0
7817, 3.0077109411733726e-06, 0.0014166564546254747, 0.0004354545314952501, 1.1834001118478938e-05, 500.0, 1.0, 1.0, 1.0
7818, 3.008345265668499e-06, 0.0014165550092424062, 0.00043282359720484725, 1.2123010814690003e-05, 500.0, 1.0, 1.0, 1.0
7819, 3.0079692076774557e-06, 0.001412454882903761, 0.00043282761630527314, 1.2524403485836968e-05, 500.0, 1.0, 1.0, 1.0
7820, 3.0126612079726475e-06, 0.0014128307261972912, 0.00042708234793718, 1.2201173609238073e-05, 500.0, 1.0, 1.0, 1.0
7821, 3.0160168903787144e-06, 0.001408691703140807, 0.00042847552361152604, 1.181488272874999e-05, 500.0, 1.0, 1.0, 1.0
7822, 3.0169883052598006e-06, 0.0014080510316414902, 0.0004280003530266214, 1.1569368878429408e-05, 500.0, 1.0, 1.0, 1.0
7823, 3.014581258782401e-06, 0.0014074701573909565, 0.00042892790457695637, 1.1489269345812275e-05, 500.0, 1.0, 1.0, 1.0
7824, 3.0106833660281963e-06, 0.0014074078004261182, 0.0004300372490682634, 1.1453474070439912e-05, 500.0, 1.0, 1.0, 1.0
7825, 3.0087286377435968e-06, 0.0014078762672812101, 0.0004302346312070349, 1.1449388608596721e-05, 500.0, 1.0, 1.0, 1.0
7826, 3.009816431361169e-06, 0.0014082669006107852, 0.00042916552634865744, 1.1469105158687781e-05, 500.0, 1.0, 1.0, 1.0
7827, 3.0095893449284746e-06, 0.0014085441125158526, 0.0004289027363245014, 1.1492323662380657e-05, 500.0, 1.0, 1.0, 1.0
7828, 3.008438613746838e-06, 0.0014090616058527424, 0.0004286226378671281, 1.1555791360387719e-05, 500.0, 1.0, 1.0, 1.0
7829, 3.007642024749517e-06, 0.0014093935654140757, 0.0004283738224773574, 1.1637745514576138e-05, 500.0, 1.0, 1.0, 1.0
7830, 3.005962227968042e-06, 0.0014096277935370335, 0.00042837306528533574, 1.1676164650812869e-05, 500.0, 1.0, 1.0, 1.0
7831, 2.995559730015666e-06, 0.0014100519748565285, 0.00042942256756213937, 1.1580356840983087e-05, 500.0, 1.0, 1.0, 1.0
7832, 2.991686521151276e-06, 0.0014108611922128945, 0.00042890103826450363, 1.2033806734180935e-05, 500.0, 1.0, 1.0, 1.0
7833, 2.9818928292729656e-06, 0.0014098493816865675, 0.00043044038332620246, 1.1692898052537363e-05, 500.0, 1.0, 1.0, 1.0
7834, 2.97685609358914e-06, 0.0014115770513588506, 0.00042956241189615627, 1.1569337472379469e-05, 500.0, 1.0, 1.0, 1.0
7835, 2.969012461060289e-06, 0.0014086469669492448, 0.0004302537611746109, 1.1493845029963917e-05, 500.0, 1.0, 1.0, 1.0
7836, 2.9679032162791852e-06, 0.001407938861101084, 0.00043098755540378505, 1.1487982415878327e-05, 500.0, 1.0, 1.0, 1.0
7837, 2.9713318639264024e-06, 0.0014076063424281467, 0.0004288503479264785, 1.1502015663802274e-05, 500.0, 1.0, 1.0, 1.0
7838, 2.9726207184497945e-06, 0.0014070415858522705, 0.00042858474806844603, 1.1499052297158655e-05, 500.0, 1.0, 1.0, 1.0
7839, 2.973754895981924e-06, 0.0014072442579728763, 0.00042770032456947003, 1.1493171438867583e-05, 500.0, 1.0, 1.0, 1.0
7840, 2.9748487001296087e-06, 0.0014074348914132984, 0.000426665932193071, 1.1494185240099115e-05, 500.0, 1.0, 1.0, 1.0
7841, 2.9753758851087103e-06, 0.0014076963740417908, 0.00042548436407093167, 1.1514705565873912e-05, 500.0, 1.0, 1.0, 1.0
7842, 2.9739324415160496e-06, 0.0014075153073498338, 0.0004253105602756621, 1.1573441585486169e-05, 500.0, 1.0, 1.0, 1.0
7843, 2.971503429602286e-06, 0.0014052370953384725, 0.00042642334462409065, 1.163186945379666e-05, 500.0, 1.0, 1.0, 1.0
7844, 2.972783429429081e-06, 0.001401955894662827, 0.00042605253593263747, 1.1673201716614962e-05, 500.0, 1.0, 1.0, 1.0
7845, 2.971651097307776e-06, 0.001399827455971239, 0.0004280992195579665, 1.1707081958820186e-05, 500.0, 1.0, 1.0, 1.0
7846, 2.9747555113066805e-06, 0.0013966566020189562, 0.0004287754679240162, 1.1719155706754506e-05, 500.0, 1.0, 1.0, 1.0
7847, 2.9810765062496132e-06, 0.0013946152356483718, 0.00042675803304202664, 1.1699167478723389e-05, 500.0, 1.0, 1.0, 1.0
7848, 2.9837570691317968e-06, 0.0013934239552978783, 0.00042596035090532777, 1.1702218220499792e-05, 500.0, 1.0, 1.0, 1.0
7849, 2.986129233666867e-06, 0.0013929985273303895, 0.00042381489589899584, 1.169636592321284e-05, 500.0, 1.0, 1.0, 1.0
7850, 2.985195873473275e-06, 0.0013936553730008185, 0.00042164255296970514, 1.16001808142664e-05, 500.0, 1.0, 1.0, 1.0
7851, 2.976623173906686e-06, 0.0013938825084015554, 0.0004244315114392847, 1.1503920959966105e-05, 500.0, 1.0, 1.0, 1.0
7852, 2.976849782863831e-06, 0.001393275834066899, 0.0004241571117071382, 1.1515404461889318e-05, 500.0, 1.0, 1.0, 1.0
7853, 2.9743047858489984e-06, 0.0013923346340117744, 0.0004259731140154109, 1.1496048087064839e-05, 500.0, 1.0, 1.0, 1.0
7854, 2.973547199856584e-06, 0.0013921637561631485, 0.0004264722925144499, 1.1483817029376963e-05, 500.0, 1.0, 1.0, 1.0
7855, 2.9736533047990778e-06, 0.0013918106678512765, 0.00042668726181216844, 1.1467654060557858e-05, 500.0, 1.0, 1.0, 1.0
7856, 2.9747038633366183e-06, 0.0013912594741923216, 0.000426549407391066, 1.1447773637531486e-05, 500.0, 1.0, 1.0, 1.0
7857, 2.9754167559087743e-06, 0.0013908763078817547, 0.0004262762295732286, 1.1443661609179467e-05, 500.0, 1.0, 1.0, 1.0
7858, 2.9763357728482255e-06, 0.001389956864457919, 0.00042561806508095777, 1.1475708545937466e-05, 500.0, 1.0, 1.0, 1.0
7859, 2.9755406735299764e-06, 0.0013887809066452687, 0.0004253506117311287, 1.1534851387723488e-05, 500.0, 1.0, 1.0, 1.0
7860, 2.971556070685501e-06, 0.0013871142646902008, 0.0004259318196138267, 1.1499273089734677e-05, 500.0, 1.0, 1.0, 1.0
7861, 2.96503227764361e-06, 0.0013856811743263061, 0.00042764452836233763, 1.132925102549966e-05, 500.0, 1.0, 1.0, 1.0
7862, 2.9585224917922728e-06, 0.0013838916749032472, 0.0004296399610193996, 1.1291578324955546e-05, 500.0, 1.0, 1.0, 1.0
7863, 2.9536172486730933e-06, 0.0013849145004616985, 0.00043039946404309414, 1.1263043655412583e-05, 500.0, 1.0, 1.0, 1.0
7864, 2.9475606856983325e-06, 0.0013811714395793803, 0.0004340346403421217, 1.145167722935265e-05, 500.0, 1.0, 1.0, 1.0
7865, 2.9466574221812926e-06, 0.0013776708041607813, 0.0004367106848974198, 1.1595911337899427e-05, 500.0, 1.0, 1.0, 1.0
7866, 2.9535617819984656e-06, 0.0013740046156790443, 0.00043584327024958567, 1.1570468278424607e-05, 500.0, 1.0, 1.0, 1.0
7867, 2.9530315208731003e-06, 0.0013733938517438973, 0.0004363223358346547, 1.1399579002169103e-05, 500.0, 1.0, 1.0, 1.0
7868, 2.9541272829675724e-06, 0.0013733172314342945, 0.00043574967621541236, 1.1291146225238873e-05, 500.0, 1.0, 1.0, 1.0
7869, 2.9546406099525354e-06, 0.0013726635448506567, 0.0004360837548895039, 1.1274129189763871e-05, 500.0, 1.0, 1.0, 1.0
7870, 2.9545667083968116e-06, 0.0013720899074912353, 0.00043642188102028894, 1.1273325891770687e-05, 500.0, 1.0, 1.0, 1.0
7871, 2.953438923976283e-06, 0.0013714268239263649, 0.0004373424404402356, 1.1297894832698076e-05, 500.0, 1.0, 1.0, 1.0
