Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10774881457534054, 1.2359141650411501e-05, 14.419129100083433, 1.0228767811183463, 1.0, 10.0, 1.0, 1.0
1, 0.10229439953007614, 7.090447685151229e-06, 14.395401721867977, 1.0225134373350793, 1.0, 10.0, 1.0, 1.0
2, 0.09713012122930376, 3.5657374357897565e-06, 14.367721664803533, 1.022041431716758, 1.0, 10.0, 1.0, 1.0
3, 0.09212696793993273, 1.5670160888188006e-06, 14.334285202975138, 1.0214264003975306, 1.0, 10.0, 1.0, 1.0
4, 0.08730270958270203, 1.1141929134212662e-06, 14.294797912525494, 1.020651917642535, 1.0, 10.0, 1.0, 1.0
5, 0.08273103036401962, 2.8094075213108368e-06, 14.248706078282664, 1.019717466256735, 1.0, 10.0, 1.0, 1.0
6, 0.07848392173799051, 7.625157042313009e-06, 14.194934057678246, 1.0186338699572821, 1.0, 10.0, 1.0, 1.0
7, 0.07462972649476526, 1.6866551649443554e-05, 14.131649125018226, 1.0174120491574508, 1.0, 10.0, 1.0, 1.0
8, 0.07125198921703653, 3.217139331100185e-05, 14.05601218356745, 1.016056485576695, 1.0, 10.0, 1.0, 1.0
9, 0.06846276705106784, 5.545446841686719e-05, 13.963565713146485, 1.0145581962444872, 1.0, 10.0, 1.0, 1.0
10, 0.06640636559313809, 8.884339290423352e-05, 13.847327250610908, 1.012893846392264, 1.0, 10.0, 1.0, 1.0
11, 0.06525497272928163, 0.00013453573997907663, 13.696882429839693, 1.0110377846719214, 1.0, 10.0, 1.0, 1.0
12, 0.0652213200381517, 0.00019461195532295225, 13.497853772699736, 1.0089723248585347, 1.0, 10.0, 1.0, 1.0
13, 0.06654998718607404, 0.00027093209779908577, 13.232099491051063, 1.0066910673989864, 1.0, 10.0, 1.0, 1.0
14, 0.06949492367723623, 0.00036552000303848454, 12.879184643790987, 1.0041988360270684, 1.0, 10.0, 1.0, 1.0
15, 0.0743049837956568, 0.00048038288328953056, 12.418525085727355, 1.0015003422513855, 1.0, 10.0, 1.0, 1.0
16, 0.081175301472131, 0.0006171853862426155, 11.83122684880125, 0.9985712597926621, 1.0, 10.0, 1.0, 1.0
17, 0.09005992094718084, 0.0007782155186899185, 11.100411269936906, 0.9952747816350055, 1.0, 10.0, 1.0, 1.0
