Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
24300, 5.837008141935571e-06, 0.00200784243437997, 0.00018343752294242095, 5.886555689953406e-06, 500.0, 1.0, 1.0, 1.0
24301, 0.0002089194657028493, 0.0032192113106253853, 1.0387219549068758, 0.0003636775829899186, 500.0, 1.0, 1.0, 1.0
24302, 0.0016230569884143683, 0.004783881438079352, 0.22474311189048532, 6.006661493645432e-05, 500.0, 1.0, 1.0, 1.0
24303, 0.0017677950541151962, 0.004479716159881957, 0.398896303598865, 0.00018334973749461998, 500.0, 1.0, 1.0, 1.0
24304, 0.0014117790045847787, 0.0018929810897029642, 0.006498342103524173, 0.00010139098328293022, 500.0, 1.0, 1.0, 1.0
24305, 0.0014667512715461069, 0.0017447140973881332, 0.17485814224093404, 5.295068541127046e-05, 500.0, 1.0, 1.0, 1.0
24306, 0.0011141797854046375, 0.0018941930552656147, 0.2699896267009007, 1.185068905370234e-05, 500.0, 1.0, 1.0, 1.0
24307, 0.00044220825876259797, 0.0023276550068526396, 0.09256589869417672, 7.91751665394862e-05, 500.0, 1.0, 1.0, 1.0
24308, 0.00018037507850494038, 0.0048096328006747785, 0.03953878273433921, 0.0004060260891886748, 500.0, 1.0, 1.0, 1.0
24309, 0.0003599113460651567, 0.008599762848997787, 0.4439044700079327, 0.000773869829802996, 500.0, 1.0, 1.0, 1.0
24310, 0.0002925734830100863, 0.008433037203983399, 0.209042222476387, 0.0008539370045624398, 500.0, 1.0, 1.0, 1.0
24311, 0.0005676755766321317, 0.005608789045704047, 0.058049195042198486, 0.0005521489961765337, 500.0, 1.0, 1.0, 1.0
24312, 0.0006740577400673801, 0.004218221292672281, 0.09967485647588283, 0.00017315742927833644, 500.0, 1.0, 1.0, 1.0
24313, 0.0005632741877151643, 0.0038744538453759315, 0.1892606294813605, 3.24937801805303e-05, 500.0, 1.0, 1.0, 1.0
24314, 0.00038887818254473584, 0.003623947479369498, 0.15995931576192837, 0.0002357025213301913, 500.0, 1.0, 1.0, 1.0
24315, 0.0002674693053926163, 0.0034215003214847863, 0.04794836997937243, 0.0006372220744531225, 500.0, 1.0, 1.0, 1.0
24316, 0.00023986297897516238, 0.0033115884879852146, 0.01459244165032854, 0.0009970229455736745, 500.0, 1.0, 1.0, 1.0
24317, 0.0002961333025034774, 0.003662411492398335, 0.0980771532146942, 0.0011373175834244289, 500.0, 1.0, 1.0, 1.0
