Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
13900, 2.9316886586063498e-05, 0.042472797853357704, 0.045023536376393856, 0.0003061307003884719, 500.0, 1.0, 0.001, 1.0
13901, 3.6184423345676106e-05, 0.04368089501359437, 0.03999622383050525, 0.0003057623497569488, 500.0, 1.0, 0.001, 1.0
13902, 3.3042370094567703e-05, 0.04170571603494695, 0.0417903711124277, 0.00030590386116275103, 500.0, 1.0, 0.001, 1.0
13903, 3.2929030444194735e-05, 0.04153319321132419, 0.04184088561268415, 0.00030589615531995427, 500.0, 1.0, 0.001, 1.0
13904, 3.3769886000769226e-05, 0.04090887954423108, 0.04103794258913056, 0.0003057302554942419, 500.0, 1.0, 0.001, 1.0
13905, 3.52605188528798e-05, 0.04088859928940094, 0.0399907916299842, 0.0003055545497802419, 500.0, 1.0, 0.001, 1.0
13906, 3.6389315841847135e-05, 0.04092233069806569, 0.03924576258869075, 0.0003053855311593876, 500.0, 1.0, 0.001, 1.0
13907, 3.709707968806579e-05, 0.040966299062246025, 0.03875609228746536, 0.00030522839256374263, 500.0, 1.0, 0.001, 1.0
13908, 3.7405825492387234e-05, 0.04102672424883464, 0.0384382401405051, 0.00030504622994163383, 500.0, 1.0, 0.001, 1.0
13909, 3.744927294571965e-05, 0.041077787762340334, 0.03814662483587937, 0.00030473153046679146, 500.0, 1.0, 0.001, 1.0
13910, 3.77049306178119e-05, 0.041087980017337364, 0.03742861829668411, 0.0003041827305148221, 500.0, 1.0, 0.001, 1.0
13911, 3.7245169859791787e-05, 0.040979878613034815, 0.03706435081019461, 0.0003045202248681978, 500.0, 1.0, 0.001, 1.0
13912, 3.7167864174017405e-05, 0.04071681945473712, 0.03695846994229645, 0.00030541648211639686, 500.0, 1.0, 0.001, 1.0
13913, 3.7656478159732966e-05, 0.04053587123957538, 0.03664358884338391, 0.0003058826686117923, 500.0, 1.0, 0.001, 1.0
13914, 3.774922686985468e-05, 0.04043119637436291, 0.03654870595413125, 0.00030587906209315343, 500.0, 1.0, 0.001, 1.0
13915, 3.777480085947998e-05, 0.04033487589187295, 0.03637868781706262, 0.0003057168039830116, 500.0, 1.0, 0.001, 1.0
13916, 3.8560652192057565e-05, 0.0405638547964964, 0.03562272485318047, 0.000305415899359741, 500.0, 1.0, 0.001, 1.0
13917, 3.823173318499069e-05, 0.040287937133752345, 0.03568214707833934, 0.000305333434756897, 500.0, 1.0, 0.001, 1.0
13918, 3.822403722364573e-05, 0.04024684145680044, 0.03554274713992257, 0.0003052682942644347, 500.0, 1.0, 0.001, 1.0
13919, 3.839800988143411e-05, 0.04026003946284856, 0.03527604705548492, 0.00030510259715249506, 500.0, 1.0, 0.001, 1.0
13920, 3.873212122837094e-05, 0.04026232895807369, 0.03478589722107572, 0.0003045019156465948, 500.0, 1.0, 0.001, 1.0
13921, 3.935755181085805e-05, 0.04031342045689524, 0.033655631706315706, 0.0003029607974436701, 500.0, 1.0, 0.001, 1.0
13922, 4.058640248384807e-05, 0.040428448339005274, 0.03225357563912185, 0.0003022384074495405, 500.0, 1.0, 0.001, 1.0
13923, 4.020263899868754e-05, 0.040319269975345746, 0.03213614745213323, 0.0003030680050242745, 500.0, 1.0, 0.001, 1.0
13924, 3.976295087967299e-05, 0.04020799497757852, 0.03225854273314785, 0.0003038326042249881, 500.0, 1.0, 0.001, 1.0
13925, 3.975007494164843e-05, 0.040133547825094644, 0.03218961467014752, 0.0003040786071056647, 500.0, 1.0, 0.001, 1.0
13926, 4.001588957731447e-05, 0.04006952115130535, 0.03177747496309905, 0.0003043404978985357, 500.0, 1.0, 0.001, 1.0
13927, 4.0335165739310174e-05, 0.04003711417392359, 0.031269874526022014, 0.00030425499131552766, 500.0, 1.0, 0.001, 1.0
13928, 4.127898683830291e-05, 0.0400310766927312, 0.0301955601299741, 0.00030270661108540306, 500.0, 1.0, 0.001, 1.0
13929, 4.2524746172465316e-05, 0.03996251880719336, 0.029156010815380266, 0.000300686929740974, 500.0, 1.0, 0.001, 1.0
13930, 4.2357496076049354e-05, 0.03984136109195182, 0.029061577661783952, 0.0002988071603985271, 500.0, 1.0, 0.001, 1.0
13931, 4.2409256986667074e-05, 0.03972235816148533, 0.029015801846111838, 0.00029819944664656134, 500.0, 1.0, 0.001, 1.0
13932, 4.262762164013256e-05, 0.03962017123314142, 0.028883505513355934, 0.0002976371542820983, 500.0, 1.0, 0.001, 1.0
13933, 4.273642114070769e-05, 0.039559787516570515, 0.02878213505875888, 0.0002969369333850953, 500.0, 1.0, 0.001, 1.0
13934, 4.2716582684953695e-05, 0.03954346838240735, 0.02873478296122197, 0.0002963621896417281, 500.0, 1.0, 0.001, 1.0
13935, 4.269409904479454e-05, 0.03948816926164108, 0.028636322673425356, 0.00029527071715608656, 500.0, 1.0, 0.001, 1.0
13936, 4.290975679695429e-05, 0.03935545686467291, 0.02830437702934568, 0.00029314925793992027, 500.0, 1.0, 0.001, 1.0
13937, 4.265472749552026e-05, 0.039398530886550154, 0.02825754851495549, 0.00029150664911178556, 500.0, 1.0, 0.001, 1.0
13938, 4.291883059806338e-05, 0.039180673581983586, 0.028131311398070923, 0.00029162254273087934, 500.0, 1.0, 0.001, 1.0
13939, 4.2990216627501046e-05, 0.03913277926146948, 0.028085706181217703, 0.00029166948388541106, 500.0, 1.0, 0.001, 1.0
13940, 4.290717913195737e-05, 0.039109193909215544, 0.028094881204935772, 0.000291518397443271, 500.0, 1.0, 0.001, 1.0
13941, 4.269150927322099e-05, 0.03907715751067386, 0.02810818309973408, 0.0002911439103582812, 500.0, 1.0, 0.001, 1.0
13942, 4.262618066253483e-05, 0.03906392804941289, 0.02805122705830018, 0.0002908566503875057, 500.0, 1.0, 0.001, 1.0
13943, 4.287349013516407e-05, 0.03906405691132416, 0.027705621977075795, 0.0002902319521118984, 500.0, 1.0, 0.001, 1.0
13944, 4.3047569737820943e-05, 0.03907741355136368, 0.0274297194494429, 0.00028963385953432953, 500.0, 1.0, 0.001, 1.0
13945, 4.307921360319068e-05, 0.03901822810577225, 0.027336862695886647, 0.0002891413370981715, 500.0, 1.0, 0.001, 1.0
13946, 4.3100733910602596e-05, 0.03892436065879816, 0.02721166712094828, 0.00028805191469267956, 500.0, 1.0, 0.001, 1.0
13947, 4.3067266522732675e-05, 0.03886964501291364, 0.027115339359551596, 0.00028706508596271967, 500.0, 1.0, 0.001, 1.0
13948, 4.3076685426627395e-05, 0.03881361864972641, 0.02691871196260002, 0.0002853838910325978, 500.0, 1.0, 0.001, 1.0
13949, 4.292555467083686e-05, 0.038761748001726576, 0.026896778255585844, 0.0002844225708656438, 500.0, 1.0, 0.001, 1.0
13950, 4.286286114015885e-05, 0.03872264237179431, 0.026849506420098257, 0.00028360832563490546, 500.0, 1.0, 0.001, 1.0
13951, 4.358875344459508e-05, 0.03871515060773346, 0.02646320711330908, 0.00028332313493467117, 500.0, 1.0, 0.001, 1.0
13952, 4.350171246222162e-05, 0.03867455734944965, 0.026486108367893783, 0.00028310852037118214, 500.0, 1.0, 0.001, 1.0
13953, 4.342649245818505e-05, 0.03862894416834952, 0.02652053939612569, 0.00028291915619700186, 500.0, 1.0, 0.001, 1.0
13954, 4.338918139466163e-05, 0.038609710106800456, 0.026541925829776956, 0.0002827945320667912, 500.0, 1.0, 0.001, 1.0
13955, 4.327998048610102e-05, 0.03858633381950529, 0.026595284112774727, 0.00028247542992910097, 500.0, 1.0, 0.001, 1.0
13956, 4.3087871983398345e-05, 0.03855216499061134, 0.026685021034766367, 0.00028196908492826843, 500.0, 1.0, 0.001, 1.0
13957, 4.315276443016155e-05, 0.038521523837169634, 0.02662230756735293, 0.00028130691405059405, 500.0, 1.0, 0.001, 1.0
13958, 4.234473464860169e-05, 0.03851365148596101, 0.02693172976015293, 0.0002796494366886252, 500.0, 1.0, 0.001, 1.0
13959, 4.278753470902648e-05, 0.038483721838816924, 0.026688539186520324, 0.00027957574580515034, 500.0, 1.0, 0.001, 1.0
13960, 4.311789350695878e-05, 0.03846556002682835, 0.026504824875118044, 0.00027952915867039305, 500.0, 1.0, 0.001, 1.0
13961, 4.329409657163771e-05, 0.03845043647869491, 0.026393784938231562, 0.00027930805267654, 500.0, 1.0, 0.001, 1.0
13962, 4.336538415471382e-05, 0.03841927712343864, 0.026318386102338123, 0.00027856985192862335, 500.0, 1.0, 0.001, 1.0
