Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10772295939836322, 1.231444122928581e-05, 14.421860216226063, 10.228767900608979, 100.0, 1.0, 1.0, 10.0
1, 0.10077733500606442, 4.549813554106305e-06, 14.403697026934543, 10.22650198775427, 100.0, 1.0, 1.0, 10.0
2, 0.09429815518728485, 1.2481712888248816e-06, 14.382658616257453, 10.22336681861874, 100.0, 1.0, 1.0, 10.0
3, 0.08794111099851067, 1.2658665666608283e-06, 14.356781979592844, 10.219131896465711, 100.0, 1.0, 1.0, 10.0
4, 0.08171395208409288, 4.49253809668874e-06, 14.325645731024858, 10.213591288364515, 100.0, 1.0, 1.0, 10.0
5, 0.07564171554220635, 1.1120362627560802e-05, 14.288577484254214, 10.206522661533304, 100.0, 1.0, 1.0, 10.0
6, 0.06973823151791675, 2.1448580779552338e-05, 14.244683108948017, 10.197686935286397, 100.0, 1.0, 1.0, 10.0
7, 0.06401306187379258, 3.588532646870673e-05, 14.192811260611181, 10.186812293784575, 100.0, 1.0, 1.0, 10.0
8, 0.0584768394468872, 5.500625874730787e-05, 14.131476993410383, 10.173576694084904, 100.0, 1.0, 1.0, 10.0
9, 0.05314346640985004, 7.966213703889049e-05, 14.058727805956025, 10.157596844597991, 100.0, 1.0, 1.0, 10.0
10, 0.04802947388196717, 0.0001111678757311549, 13.97191055435537, 10.13842224344349, 100.0, 1.0, 1.0, 10.0
11, 0.04315236411126484, 0.0001516403536016416, 13.867308005011461, 10.115538060939377, 100.0, 1.0, 1.0, 10.0
12, 0.038529172913823906, 0.0002045926121765623, 13.739623984089715, 10.088377838039815, 100.0, 1.0, 1.0, 10.0
13, 0.03417549924114699, 0.00027601091611814113, 13.581241283527802, 10.05635036397426, 100.0, 1.0, 1.0, 10.0
14, 0.03010480533098976, 0.00037639081949260246, 13.381215818646865, 10.018885595570552, 100.0, 1.0, 1.0, 10.0
15, 0.02632797254521655, 0.0005246426963181686, 13.124130918004461, 9.97549819502504, 100.0, 1.0, 1.0, 10.0
16, 0.022853095689478197, 0.0007556875676751817, 12.789318217117158, 9.925863119656702, 100.0, 1.0, 1.0, 10.0
17, 0.01968550809826783, 0.0011354978071667023, 12.351817651557765, 9.869895913849442, 100.0, 1.0, 1.0, 10.0
18, 0.016827804569983534, 0.0017903947853092717, 11.788101288837074, 9.807791546372979, 100.0, 1.0, 1.0, 10.0
19, 0.014280073083407183, 0.0029609090962717122, 11.0919943929258, 9.740010581719963, 100.0, 1.0, 1.0, 10.0
20, 0.012039767800734538, 0.005089831280946986, 10.308006911514214, 9.667192042626617, 100.0, 1.0, 1.0, 10.0
21, 0.010102284876027594, 0.008922874830873695, 9.585826921816363, 9.590009641144256, 100.0, 1.0, 1.0, 10.0
22, 0.008468263865538833, 0.015412963895390075, 9.22211560285789, 9.509671231465756, 100.0, 1.0, 1.0, 10.0
23, 0.007176005825272174, 0.02443504389181569, 9.41803903381745, 9.435161352068528, 100.0, 1.0, 1.0, 10.0
24, 0.006297051297415463, 0.0319555535561993, 9.430137773490644, 9.396935475508062, 100.0, 1.0, 1.0, 10.0
25, 0.005725085411098071, 0.03494682796125051, 8.624030980239167, 9.397508159449078, 100.0, 1.0, 1.0, 10.0
26, 0.0053379716147892164, 0.03410411309073311, 7.456127441939523, 9.42183693279093, 100.0, 1.0, 1.0, 10.0
27, 0.005060338471588444, 0.031364118560007315, 6.657546240539008, 9.457837542955229, 100.0, 1.0, 1.0, 10.0
28, 0.004808216495606545, 0.029128904940961483, 6.4150255031825125, 9.490914805027815, 100.0, 1.0, 1.0, 10.0
29, 0.004508325817560862, 0.029353153516233146, 6.082307773154322, 9.509148989798318, 100.0, 1.0, 1.0, 10.0
30, 0.004165641109890952, 0.03258479529353769, 5.222468242070311, 9.512404981963611, 100.0, 1.0, 1.0, 10.0
31, 0.003824639680068089, 0.03882406315192921, 4.118280270124122, 9.50518575003317, 100.0, 1.0, 1.0, 10.0
32, 0.0035357017658366728, 0.04677654433660527, 3.592563196354841, 9.4961517557749, 100.0, 1.0, 1.0, 10.0
33, 0.0033510475684192216, 0.05035457604335113, 3.7116535174310994, 9.50439160694158, 100.0, 1.0, 1.0, 10.0
34, 0.003280786352355758, 0.04399243421115737, 3.073553573445186, 9.54227404444557, 100.0, 1.0, 1.0, 10.0
35, 0.0032874669504604796, 0.03268883206883893, 2.284504931066978, 9.599153125042672, 100.0, 1.0, 1.0, 10.0
36, 0.003319552232556166, 0.02337836765913492, 2.423468701294983, 9.6571589802887, 100.0, 1.0, 1.0, 10.0
37, 0.003290908950197695, 0.019216258878978036, 2.353818609457192, 9.695019708733142, 100.0, 1.0, 1.0, 10.0
38, 0.003190966159433693, 0.018667598443374827, 1.6015569866191053, 9.711604520964146, 100.0, 1.0, 1.0, 10.0
39, 0.003082990974165221, 0.01923904584709798, 1.3398694348988167, 9.721150648028516, 100.0, 1.0, 1.0, 10.0
40, 0.0030377475768110316, 0.017216377292913334, 1.4002461995665259, 9.74471798999054, 100.0, 1.0, 1.0, 10.0
41, 0.003070012677772075, 0.012336955270804879, 0.8094604335438663, 9.787288481277674, 100.0, 1.0, 1.0, 10.0
42, 0.0031443389104771377, 0.008099262293553287, 0.6164577513766473, 9.8337618174891, 100.0, 1.0, 1.0, 10.0
43, 0.0031772581666520746, 0.006116524741418721, 0.752621831698424, 9.864880986580761, 100.0, 1.0, 1.0, 10.0
44, 0.0031182368693871178, 0.0058971201519528475, 0.4830155472687447, 9.874956097330344, 100.0, 1.0, 1.0, 10.0
45, 0.0030152509595887124, 0.006666047539332735, 0.28547146089203124, 9.871745260785495, 100.0, 1.0, 1.0, 10.0
46, 0.002936023872475914, 0.007369278276594182, 0.4520697686830773, 9.867225892864788, 100.0, 1.0, 1.0, 10.0
47, 0.0029019787644125094, 0.006909870067617882, 0.31040162545872463, 9.870176778718251, 100.0, 1.0, 1.0, 10.0
48, 0.0028897947645291776, 0.005796445663811356, 0.11483650901811401, 9.876807501865446, 100.0, 1.0, 1.0, 10.0
49, 0.0028645493923948402, 0.005120729658968312, 0.22994857124807974, 9.877047323691455, 100.0, 1.0, 1.0, 10.0
50, 0.0028102769442848127, 0.005365761812469186, 0.18763121339335112, 9.865176500324417, 100.0, 1.0, 1.0, 10.0
51, 0.002752936301651411, 0.006462792499379081, 0.030925299530185336, 9.843631757151462, 100.0, 1.0, 1.0, 10.0
52, 0.002719658692577513, 0.00779317267537254, 0.13971816119142733, 9.819922526144468, 100.0, 1.0, 1.0, 10.0
53, 0.0027037880370931132, 0.008223482983793471, 0.14101554117268988, 9.801943616544907, 100.0, 1.0, 1.0, 10.0
54, 0.0026902030874511587, 0.007740103808437893, 0.0532249549770266, 9.789523563497035, 100.0, 1.0, 1.0, 10.0
55, 0.0026811760263173545, 0.007381418981851707, 0.1557158142774943, 9.776755879601774, 100.0, 1.0, 1.0, 10.0
56, 0.0026873725697482836, 0.007759458516443155, 0.10838309575165171, 9.760040174186562, 100.0, 1.0, 1.0, 10.0
57, 0.0027121850017964985, 0.008710620481636027, 0.03288272784945112, 9.739996386002911, 100.0, 1.0, 1.0, 10.0
58, 0.0027419974743030425, 0.00951417265215864, 0.09853814100378037, 9.719793567532239, 100.0, 1.0, 1.0, 10.0
59, 0.002758901618239117, 0.009556970439337719, 0.052392959864330665, 9.701930278692966, 100.0, 1.0, 1.0, 10.0
60, 0.00276576380810465, 0.009212991395597926, 0.0320293384948924, 9.685074402111887, 100.0, 1.0, 1.0, 10.0
61, 0.0027796629507106166, 0.009209492352522792, 0.09455316083278835, 9.666322445775393, 100.0, 1.0, 1.0, 10.0
62, 0.002811069649851162, 0.009858177146224405, 0.06345410570667573, 9.644463937224566, 100.0, 1.0, 1.0, 10.0
63, 0.0028537238100956822, 0.01098246094975177, 0.04676252574601529, 9.620391240286354, 100.0, 1.0, 1.0, 10.0
64, 0.0028892481831579316, 0.01202903002154584, 0.08105898267481694, 9.596533493315953, 100.0, 1.0, 1.0, 10.0
65, 0.0029052659634495933, 0.012573655493057462, 0.03862072220847675, 9.57476986434303, 100.0, 1.0, 1.0, 10.0
66, 0.0029095956434630472, 0.012892844506456027, 0.029281875379077116, 9.554208821275257, 100.0, 1.0, 1.0, 10.0
67, 0.0029193247788315193, 0.013568614847173829, 0.04761065251552842, 9.532809450024345, 100.0, 1.0, 1.0, 10.0
68, 0.0029404416524459625, 0.014819879843793292, 0.012005606393059382, 9.509867015566321, 100.0, 1.0, 1.0, 10.0
69, 0.002960953587859558, 0.016243047948629175, 0.03386564175794624, 9.486462440605667, 100.0, 1.0, 1.0, 10.0
70, 0.0029643925652776534, 0.017104035492521673, 0.04076257108080052, 9.464386092556058, 100.0, 1.0, 1.0, 10.0
71, 0.002952183664323708, 0.017351737399619736, 0.03090890266297727, 9.443542042989675, 100.0, 1.0, 1.0, 10.0
72, 0.002941406530921124, 0.017690347835468426, 0.058186754241298995, 9.422150807533322, 100.0, 1.0, 1.0, 10.0
73, 0.002940554292967824, 0.01850788354494521, 0.03563777483685904, 9.399528683338836, 100.0, 1.0, 1.0, 10.0
74, 0.0029390096809070814, 0.019372538974390337, 0.04917531148822352, 9.376593534828274, 100.0, 1.0, 1.0, 10.0
75, 0.0029230808805204523, 0.019581152292141506, 0.04466631243387533, 9.35467647258369, 100.0, 1.0, 1.0, 10.0
76, 0.0028968734835031697, 0.019294970573981208, 0.042988317851426816, 9.333367957201528, 100.0, 1.0, 1.0, 10.0
77, 0.0028749854367270313, 0.01926110928617242, 0.052012238724039726, 9.31144761557966, 100.0, 1.0, 1.0, 10.0
78, 0.002860473828083166, 0.019655144018458564, 0.03382598322456334, 9.28876831237157, 100.0, 1.0, 1.0, 10.0
79, 0.0028425295995560475, 0.019880676917934072, 0.041072780674959716, 9.265627313160033, 100.0, 1.0, 1.0, 10.0
80, 0.002815827641232301, 0.019544647031173878, 0.02306304034772263, 9.24174093736313, 100.0, 1.0, 1.0, 10.0
81, 0.0027905877404340706, 0.019207211305174367, 0.032916317369675735, 9.216204994642666, 100.0, 1.0, 1.0, 10.0
82, 0.002775235419605984, 0.01937436974786112, 0.018489257740281675, 9.188978787667375, 100.0, 1.0, 1.0, 10.0
83, 0.0027630450698118694, 0.01964080783831936, 0.02589856070201812, 9.15944177056382, 100.0, 1.0, 1.0, 10.0
84, 0.0027462194307761407, 0.019447761994977063, 0.01623155771566492, 9.126303976953597, 100.0, 1.0, 1.0, 10.0
85, 0.0027312818601896134, 0.0192383253684606, 0.02605828321376115, 9.089483426157067, 100.0, 1.0, 1.0, 10.0
86, 0.0027249250536689634, 0.019527922854907766, 0.015338184662035452, 9.050328240104433, 100.0, 1.0, 1.0, 10.0
87, 0.0027201472852963738, 0.01984893210157808, 0.02312217092193352, 9.007381307412391, 100.0, 1.0, 1.0, 10.0
88, 0.0027112736364782227, 0.019747653034282057, 0.020021665674713827, 8.958388830038613, 100.0, 1.0, 1.0, 10.0
89, 0.00270558122083758, 0.019812893811580915, 0.028083958975551254, 8.905220347757673, 100.0, 1.0, 1.0, 10.0
90, 0.0027055040357547274, 0.020273112840864242, 0.023159285170452817, 8.849357498305983, 100.0, 1.0, 1.0, 10.0
91, 0.0027029938504463877, 0.020425900869202287, 0.020983817504528393, 8.78534936262222, 100.0, 1.0, 1.0, 10.0
92, 0.002699736060694503, 0.02037990449466692, 0.028379600378998785, 8.712172798822508, 100.0, 1.0, 1.0, 10.0
93, 0.0027027758540909895, 0.020766158078668218, 0.01923036917921851, 8.63500355896636, 100.0, 1.0, 1.0, 10.0
94, 0.002705679214470817, 0.020953896309605893, 0.020905937832990298, 8.54566950041585, 100.0, 1.0, 1.0, 10.0
95, 0.002707695151126201, 0.020830343948697497, 0.031979869516324616, 8.439832734114228, 100.0, 1.0, 1.0, 10.0
96, 0.0027164774450090558, 0.021129588041040405, 0.0256001081470257, 8.327311788354283, 100.0, 1.0, 1.0, 10.0
97, 0.002723735926075628, 0.021009953122287175, 0.028537085406410347, 8.19134042353783, 100.0, 1.0, 1.0, 10.0
98, 0.002733214769585792, 0.020841575237878655, 0.0374178835936325, 8.035628895794126, 100.0, 1.0, 1.0, 10.0
99, 0.0027473716926426518, 0.020849619284528765, 0.03956293778562139, 7.864781410019742, 100.0, 1.0, 1.0, 10.0
100, 0.002757892246649319, 0.020269306864144278, 0.06631562545285612, 7.650475971475787, 100.0, 1.0, 1.0, 10.0
101, 0.0027782742602942717, 0.020321993723712708, 0.06979995498073165, 7.435754016077535, 100.0, 1.0, 1.0, 10.0
102, 0.002788500927549353, 0.019402257744529906, 0.17803789404249667, 7.137656242815607, 100.0, 1.0, 1.0, 10.0
103, 0.0028184425515856443, 0.019856218469058697, 0.3085632486280809, 6.897809072767558, 100.0, 1.0, 1.0, 10.0
104, 0.002821880299438269, 0.018586835805852818, 0.521063594860898, 6.493705674449907, 100.0, 1.0, 1.0, 10.0
105, 0.002851880210562982, 0.018885709273177967, 0.2045544426579694, 6.2287395189102455, 100.0, 1.0, 1.0, 10.0
106, 0.002866003890646264, 0.018357014676040992, 0.056466166059746664, 5.817317994119412, 100.0, 1.0, 1.0, 10.0
107, 0.0028802754938086882, 0.018145935835111544, 0.37069459290395745, 5.340186561977179, 100.0, 1.0, 1.0, 10.0
108, 0.002910286552861747, 0.018461017815533824, 0.32982264604172945, 4.97502533272957, 100.0, 1.0, 1.0, 10.0
109, 0.0029233033658749227, 0.01838471977107906, 0.1169900595625194, 4.414193903139575, 100.0, 1.0, 1.0, 10.0
110, 0.0029426520792262636, 0.018640667052940537, 0.21224973240598308, 3.8739627212842445, 100.0, 1.0, 1.0, 10.0
111, 0.002969252746384147, 0.019125782450873895, 0.34627939600261665, 3.414119117831599, 100.0, 1.0, 1.0, 10.0
112, 0.0029816409477019744, 0.019217323806560625, 0.27827087940571044, 2.769146902332574, 100.0, 1.0, 1.0, 10.0
113, 0.003000073705675577, 0.019497817967581276, 0.06259826205298862, 2.273514095086863, 100.0, 1.0, 1.0, 10.0
114, 0.0030164268656155614, 0.01981579391530666, 0.1877250181769819, 1.811823199738386, 100.0, 1.0, 1.0, 10.0
