Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10041867307084161, 1.220201148472114e-05, 14.416379552322864, 1.022876790060898, 100.0, 1.0, 1.0, 1.0
1, 0.09336779447001424, 2.4965341698022252e-05, 14.39523851043014, 1.023044176888914, 100.0, 1.0, 1.0, 1.0
2, 0.08645490478988846, 4.2779239994626363e-05, 14.37005290899477, 1.02316217179115, 100.0, 1.0, 1.0, 1.0
3, 0.07975537094482399, 6.676710751895559e-05, 14.341014527529886, 1.0232405225074015, 100.0, 1.0, 1.0, 1.0
4, 0.0733054357463241, 9.788854049937094e-05, 14.308379127597044, 1.0232864519569587, 100.0, 1.0, 1.0, 1.0
5, 0.06713380418129074, 0.00013700180669611685, 14.272384499593452, 1.023304209652381, 100.0, 1.0, 1.0, 1.0
6, 0.06125373477141144, 0.00018531442438210425, 14.233261437177969, 1.0232953213409963, 100.0, 1.0, 1.0, 1.0
7, 0.05566454705700312, 0.00024440004318872704, 14.19125502431946, 1.0232593613627194, 100.0, 1.0, 1.0, 1.0
8, 0.05036148111036902, 0.00031606173287295717, 14.14675888540317, 1.0231943970935096, 100.0, 1.0, 1.0, 1.0
9, 0.04534170800179117, 0.00040227090530289584, 14.10055155261035, 1.0230972476092688, 100.0, 1.0, 1.0, 1.0
10, 0.04060582440949158, 0.0005051737002361965, 14.054122588427381, 1.0229637378573102, 100.0, 1.0, 1.0, 1.0
11, 0.03615789060033823, 0.0006271280323745092, 14.010068841519915, 1.0227889619003554, 100.0, 1.0, 1.0, 1.0
12, 0.03200475435503256, 0.0007708083916707798, 13.972506474089151, 1.0225676285977185, 100.0, 1.0, 1.0, 1.0
13, 0.02815449400380877, 0.0009394577699236563, 13.94737760139909, 1.0222945006218747, 100.0, 1.0, 1.0, 1.0
14, 0.02461449301090072, 0.0011375510520141355, 13.942218387265566, 1.0219650525405077, 100.0, 1.0, 1.0, 1.0
15, 0.0213898352562441, 0.0013726774532148499, 13.963968146537688, 1.0215764584494802, 100.0, 1.0, 1.0, 1.0
16, 0.018482141658583445, 0.0016601121174084346, 14.011788765292604, 1.0211286011166723, 100.0, 1.0, 1.0, 1.0
17, 0.015888244930424036, 0.0020270140610630437, 14.066884578485118, 1.020624370901656, 100.0, 1.0, 1.0, 1.0
18, 0.013598532612116614, 0.0025029064423583566, 14.102667701514466, 1.0200684379811638, 100.0, 1.0, 1.0, 1.0
19, 0.011597155854511989, 0.0031084646197111422, 14.108570807736193, 1.0194655938838317, 100.0, 1.0, 1.0, 1.0
20, 0.009864529119960061, 0.003858445121901847, 14.089359100130705, 1.0188201422620358, 100.0, 1.0, 1.0, 1.0
21, 0.008379682150649487, 0.004765076969419058, 14.055071872698981, 1.0181359445922054, 100.0, 1.0, 1.0, 1.0
22, 0.007121554841024323, 0.005838362134257837, 14.015326028237494, 1.0174166737101196, 100.0, 1.0, 1.0, 1.0
23, 0.006069507681800098, 0.007085295313032068, 13.97700455441778, 1.0166662007569516, 100.0, 1.0, 1.0, 1.0
24, 0.005203425335670466, 0.008508748594634236, 13.943652415215452, 1.015889104484903, 100.0, 1.0, 1.0, 1.0
25, 0.004503665699381462, 0.010106037841054773, 13.91584574980397, 1.0150912589827945, 100.0, 1.0, 1.0, 1.0
26, 0.00395099753427016, 0.01186694097067799, 13.892074288572132, 1.0142804348877519, 100.0, 1.0, 1.0, 1.0
27, 0.0035265961108891086, 0.013770906385584317, 13.869719611348543, 1.013466861594174, 100.0, 1.0, 1.0, 1.0
28, 0.003212117450376199, 0.015783447170411462, 13.845817924196675, 1.0126637357319592, 100.0, 1.0, 1.0, 1.0
29, 0.002989840392861916, 0.01785241780364172, 13.81748784772108, 1.0118877082510063, 100.0, 1.0, 1.0, 1.0
30, 0.0028428489029704977, 0.01990619209805593, 13.782067955152426, 1.0111594263118067, 100.0, 1.0, 1.0, 1.0
31, 0.0027552225336149694, 0.02185769478679077, 13.737071178658418, 1.0105042363748464, 100.0, 1.0, 1.0, 1.0
32, 0.0027122078509329646, 0.023619917516435003, 13.680038892065788, 1.009953148759061, 100.0, 1.0, 1.0, 1.0
33, 0.002700355572963544, 0.025137554628173395, 13.608313886827998, 1.0095440599879228, 100.0, 1.0, 1.0, 1.0
34, 0.0027076288994969614, 0.02643258379312177, 13.518683352790093, 1.0093228918578105, 100.0, 1.0, 1.0, 1.0
35, 0.002723528857773949, 0.02764865063364401, 13.406800405045416, 1.0093435500665864, 100.0, 1.0, 1.0, 1.0
36, 0.0027393702485522912, 0.029066497143283184, 13.266330489814635, 1.0096645365956043, 100.0, 1.0, 1.0, 1.0
37, 0.0027490343936845745, 0.031062234650490454, 13.087964645757914, 1.0103395791158942, 100.0, 1.0, 1.0, 1.0
38, 0.0027509375354740945, 0.033995752898958606, 12.858788744954975, 1.0114011064652648, 100.0, 1.0, 1.0, 1.0
39, 0.002752837725355131, 0.03803363025722435, 12.562667454557163, 1.0128402215695569, 100.0, 1.0, 1.0, 1.0
