Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.1050323453507075, 1.0128332982864339e-06, 14.730148941365801, 10.228766894285258, 10000.0, 1.0, 1.0, 10.0
1, 0.10285686649386996, 2.850444211418815e-07, 14.752340755586397, 10.226584412483623, 10000.0, 1.0, 1.0, 10.0
2, 0.10080981686348758, 6.325072007198236e-08, 14.770343167576694, 10.223578693623875, 10000.0, 1.0, 1.0, 10.0
3, 0.0986315865271398, 1.8862107405789717e-07, 14.78109452946868, 10.21951411908675, 10000.0, 1.0, 1.0, 10.0
4, 0.09628858624239868, 6.831487853842431e-07, 14.784044117746756, 10.214170701788287, 10000.0, 1.0, 1.0, 10.0
5, 0.0937758745162149, 1.649076968814273e-06, 14.77927976904794, 10.20728867700942, 10000.0, 1.0, 1.0, 10.0
6, 0.09108960529066558, 3.245713744567871e-06, 14.767047851342948, 10.198582980321707, 10000.0, 1.0, 1.0, 10.0
7, 0.08822683234341491, 5.710767286580352e-06, 14.747573679477817, 10.187729756233267, 10000.0, 1.0, 1.0, 10.0
8, 0.08518705268299169, 9.402635234861666e-06, 14.720919227316374, 10.174340287183679, 10000.0, 1.0, 1.0, 10.0
9, 0.08197304951688211, 1.4870562833315647e-05, 14.686876597402094, 10.1579417778853, 10000.0, 1.0, 1.0, 10.0
10, 0.07859126536131984, 2.2977389537670953e-05, 14.644925303096025, 10.137963082917125, 10000.0, 1.0, 1.0, 10.0
11, 0.07505228829637708, 3.510970053625224e-05, 14.594236532067372, 10.113720942857933, 10000.0, 1.0, 1.0, 10.0
12, 0.07137130466134661, 5.35314650970326e-05, 14.533736930577499, 10.084411181050966, 10000.0, 1.0, 1.0, 10.0
13, 0.06756830265868045, 8.197922665652467e-05, 14.46226403231689, 10.049111502231735, 10000.0, 1.0, 1.0, 10.0
14, 0.06366762078215284, 0.0001266618143469482, 14.378810781759261, 10.006788651261697, 10000.0, 1.0, 1.0, 10.0
15, 0.05969687990745766, 0.00019793183335370298, 14.282828960230285, 9.956304613174666, 10000.0, 1.0, 1.0, 10.0
16, 0.05568584361044571, 0.00031304043280936484, 14.174567308723843, 9.89642475604802, 10000.0, 1.0, 1.0, 10.0
17, 0.05166564983770007, 0.0005005277868125228, 14.055475488835249, 9.825835462103758, 10000.0, 1.0, 1.0, 10.0
18, 0.04766818836450642, 0.0008068534103692559, 13.928849710969748, 9.743161215281845, 10000.0, 1.0, 1.0, 10.0
19, 0.04372529312732905, 0.0013053008508141194, 13.801398122889141, 9.646952949788336, 10000.0, 1.0, 1.0, 10.0
20, 0.0398678733619361, 0.002103486011712682, 13.687140233425394, 9.53563184413727, 10000.0, 1.0, 1.0, 10.0
21, 0.03612514530278962, 0.0033441223364610614, 13.605272747135807, 9.4073980819506, 10000.0, 1.0, 1.0, 10.0
22, 0.03252401888444592, 0.0052123497608280766, 13.565914071074992, 9.26015128995723, 10000.0, 1.0, 1.0, 10.0
23, 0.029088726144755144, 0.007948393641240085, 13.570186475573323, 9.091485092913786, 10000.0, 1.0, 1.0, 10.0
24, 0.02584064289946857, 0.011853927142170716, 13.615492062977982, 8.898807679428764, 10000.0, 1.0, 1.0, 10.0
25, 0.022798119526176976, 0.017289538501007895, 13.697236478085781, 8.6796262572876, 10000.0, 1.0, 1.0, 10.0
26, 0.019976199193249868, 0.024658687527900465, 13.808989076447428, 8.43201238643902, 10000.0, 1.0, 1.0, 10.0
27, 0.017386233145591172, 0.03436804856964665, 13.942706975994822, 8.155210820938496, 10000.0, 1.0, 1.0, 10.0
28, 0.015035495117829816, 0.04675447573573167, 14.08931015302199, 7.8502584959860835, 10000.0, 1.0, 1.0, 10.0
29, 0.012926922713045264, 0.06198187295477805, 14.239465062075512, 7.5203771025364565, 10000.0, 1.0, 1.0, 10.0
30, 0.011059076100294656, 0.07993877754008884, 14.384388832783168, 7.170874256961338, 10000.0, 1.0, 1.0, 10.0
31, 0.009426337562861598, 0.10019579216842914, 14.516602828282792, 6.808438602410224, 10000.0, 1.0, 1.0, 10.0
32, 0.008019318397051738, 0.12209951291659045, 14.630503014561343, 6.440067574415918, 10000.0, 1.0, 1.0, 10.0
33, 0.006825412785078089, 0.14504249369556138, 14.722678005159887, 6.072250223250419, 10000.0, 1.0, 1.0, 10.0
34, 0.0058294367412985906, 0.16881707708593058, 14.791953637773979, 5.71109819955204, 10000.0, 1.0, 1.0, 10.0
35, 0.005014300594999506, 0.19378650176706336, 14.83918382950246, 5.3636224166535555, 10000.0, 1.0, 1.0, 10.0
36, 0.004361675210688395, 0.22059400958987796, 14.866842233196248, 5.039457960132029, 10000.0, 1.0, 1.0, 10.0
37, 0.003852621129992642, 0.24942976187917046, 14.878491604768815, 4.751660153395169, 10000.0, 1.0, 1.0, 10.0
38, 0.003468156840003423, 0.27929974140815117, 14.878221100349428, 4.515369895393047, 10000.0, 1.0, 1.0, 10.0
39, 0.0031897494613287564, 0.3078632065336533, 14.870135583478994, 4.344279909997542, 10000.0, 1.0, 1.0, 10.0
40, 0.0029997189971853982, 0.3320345926961399, 14.85795510696351, 4.24625984205936, 10000.0, 1.0, 1.0, 10.0
41, 0.0028815548774113486, 0.34902967292968184, 14.844750854869604, 4.220180439062228, 10000.0, 1.0, 1.0, 10.0
42, 0.0028201492824894933, 0.3573021674309266, 14.832817157922541, 4.255368654339542, 10000.0, 1.0, 1.0, 10.0
43, 0.002801954749913575, 0.3569165637717977, 14.823660442899987, 4.333706186133373, 10000.0, 1.0, 1.0, 10.0
44, 0.00281507422943605, 0.3492508289116849, 14.8180749619074, 4.433223301635048, 10000.0, 1.0, 1.0, 10.0
45, 0.0028492913610195275, 0.33633116559699777, 14.816271694651622, 4.531800199795469, 10000.0, 1.0, 1.0, 10.0
46, 0.0028960484660090872, 0.3202254026228555, 14.818029499060838, 4.6100724621707, 10000.0, 1.0, 1.0, 10.0
47, 0.0029483799543312647, 0.30269877286683494, 14.822843690640656, 4.6532492813869295, 10000.0, 1.0, 1.0, 10.0
48, 0.0030008093852725297, 0.28507491860196743, 14.830054730852295, 4.651919680125218, 10000.0, 1.0, 1.0, 10.0
49, 0.0030492189506331835, 0.2681834671012721, 14.838947764020476, 4.602036444392521, 10000.0, 1.0, 1.0, 10.0
50, 0.0030907003596269684, 0.25236133277499057, 14.848821457365132, 4.504282687870484, 10000.0, 1.0, 1.0, 10.0
51, 0.0031233957582672152, 0.23753813895748396, 14.859030515342125, 4.363045120214873, 10000.0, 1.0, 1.0, 10.0
52, 0.0031463363320873164, 0.22340517675534768, 14.869009188286947, 4.185237596573502, 10000.0, 1.0, 1.0, 10.0
53, 0.003159284747142385, 0.20960493775638392, 14.878282996471585, 3.9791915441700936, 10000.0, 1.0, 1.0, 10.0
54, 0.003162585889859593, 0.19586665172804402, 14.886473774986861, 3.7537466783977425, 10000.0, 1.0, 1.0, 10.0
55, 0.0031570288080907385, 0.1820578494398456, 14.893300523018384, 3.5175767980146775, 10000.0, 1.0, 1.0, 10.0
56, 0.0031437215326641107, 0.16817179876836344, 14.898576607288145, 3.278717903889981, 10000.0, 1.0, 1.0, 10.0
57, 0.003123979606231432, 0.1542884868276143, 14.902203092129417, 3.0442445686624, 10000.0, 1.0, 1.0, 10.0
58, 0.0030992286053446315, 0.14053590013823064, 14.904158181293118, 2.8200513336235433, 10000.0, 1.0, 1.0, 10.0
59, 0.00307092062325818, 0.12706079691538058, 14.904483466225553, 2.610716932770987, 10000.0, 1.0, 1.0, 10.0
60, 0.0030404644971471695, 0.11400836798926903, 14.903268359135684, 2.4194450582379505, 10000.0, 1.0, 1.0, 10.0
61, 0.0030091694421903016, 0.10150853840090288, 14.900634403731923, 2.248080704980773, 10000.0, 1.0, 1.0, 10.0
62, 0.0029782016474112854, 0.08966782109720142, 14.896721022425746, 2.097197681961725, 10000.0, 1.0, 1.0, 10.0
63, 0.0029485532695231595, 0.07856618919275267, 14.891673802958657, 1.9662458466724706, 10000.0, 1.0, 1.0, 10.0
64, 0.002921023124711304, 0.0682580996770732, 14.885635852410694, 1.8537409625739594, 10000.0, 1.0, 1.0, 10.0
65, 0.002896208227177125, 0.0587763785422941, 14.878742220375132, 1.757478410028642, 10000.0, 1.0, 1.0, 10.0
66, 0.0028745051627374575, 0.05013759638932768, 14.871117003797504, 1.6747543723923186, 10000.0, 1.0, 1.0, 10.0
67, 0.0028561201208126123, 0.04234772933108301, 14.862872510695603, 1.6025830266359045, 10000.0, 1.0, 1.0, 10.0
