Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10774881457534054, 0.001115351274320432, 14.419129100083433, 0.010228767811183464, 1.0, 10.0, 1.0, 0.01
1, 0.10228771077944859, 0.0011343768860982816, 14.395382336792192, 0.010225225975689959, 1.0, 10.0, 1.0, 0.01
2, 0.09711113364518671, 0.0011557021201521436, 14.367698788562153, 0.010220645985080662, 1.0, 10.0, 1.0, 0.01
3, 0.09210134862007421, 0.0011809707299099974, 14.33423592239454, 0.010214726326588493, 1.0, 10.0, 1.0, 0.01
4, 0.08726805245526008, 0.0012106372054588987, 14.294669267738014, 0.010207304679008726, 1.0, 10.0, 1.0, 0.01
5, 0.08267987165451561, 0.0012455612838587185, 14.248420058611748, 0.010198387843252525, 1.0, 10.0, 1.0, 0.01
6, 0.07840463130228233, 0.0012868554223836556, 14.194412559989374, 0.010188105613836847, 1.0, 10.0, 1.0, 0.01
7, 0.07449796234651213, 0.0013359518122895736, 14.13087066884878, 0.010176588588835963, 1.0, 10.0, 1.0, 0.01
8, 0.07102209713599342, 0.0013945749981133038, 14.055125740482548, 0.010163911390150685, 1.0, 10.0, 1.0, 0.01
9, 0.06806473165224006, 0.0014646746027060994, 13.963087608254495, 0.010150028481281504, 1.0, 10.0, 1.0, 0.01
10, 0.06575490166051204, 0.0015482780910637995, 13.848477929355848, 0.01013473332948535, 1.0, 10.0, 1.0, 0.01
11, 0.06426960205419954, 0.0016472133125932484, 13.701826967550431, 0.01011776472936615, 1.0, 10.0, 1.0, 0.01
12, 0.06380751310476558, 0.0017632311918160237, 13.509688954922389, 0.010099025788071614, 1.0, 10.0, 1.0, 0.01
13, 0.06460668866684546, 0.0018977916278231026, 13.254254257685725, 0.010078577191808056, 1.0, 10.0, 1.0, 0.01
14, 0.06693583957537254, 0.0020517221165848917, 12.914159781156547, 0.010056594530562074, 1.0, 10.0, 1.0, 0.01
15, 0.07106619261621258, 0.0022258228776176983, 12.466927122826117, 0.010033281852492113, 1.0, 10.0, 1.0, 0.01
16, 0.07724001817875475, 0.0024205090988108652, 11.892114547512396, 0.01000858593576113, 1.0, 10.0, 1.0, 0.01
17, 0.08551668027465871, 0.002637683570741699, 11.17327218973507, 0.009981503746447257, 1.0, 10.0, 1.0, 0.01
18, 0.0954854548913449, 0.0028855067359017774, 10.293599824009041, 0.009948588674762313, 1.0, 10.0, 1.0, 0.01
19, 0.1062007839771115, 0.003188294531140131, 9.218838103638172, 0.009902518425291213, 1.0, 10.0, 1.0, 0.01
20, 0.11657538658571595, 0.003588036162962197, 7.889320428281208, 0.009834224911740045, 1.0, 10.0, 1.0, 0.01
21, 0.12623837166260854, 0.00414838923221583, 6.276279776590155, 0.009738852920593868, 1.0, 10.0, 1.0, 0.01
22, 0.13554176131045537, 0.004975892710998995, 4.439293089507205, 0.009618405564499092, 1.0, 10.0, 1.0, 0.01
23, 0.144763555957639, 0.006261975574704984, 2.511445081191591, 0.009481734380689673, 1.0, 10.0, 1.0, 0.01
24, 0.15368706427663198, 0.00841948326732635, 0.8576634139784705, 0.009333401142329136, 1.0, 10.0, 1.0, 0.01
25, 0.16170150735697503, 0.012273712133228549, 0.5211255538874416, 0.009172960858756492, 1.0, 10.0, 1.0, 0.01
26, 0.16743265329075457, 0.017169279596157192, 2.0813136621489443, 0.009069705645951902, 1.0, 10.0, 1.0, 0.01
27, 0.16961288088381266, 0.017669250893868026, 1.0076006697418545, 0.009173931669914362, 1.0, 10.0, 1.0, 0.01
