Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
25000, 0.0022410991875622026, 7.300971789120025e-06, 4.237884812302259e-07, 2.2687273830246223e-05, 1.0, 1.0, 0.01, 0.1
25001, 0.0022411152063281504, 7.305069623418657e-06, 3.8488628357603197e-07, 2.26641167296493e-05, 1.0, 1.0, 0.01, 0.1
25002, 0.002241132573168683, 7.308014765068706e-06, 3.633009304218779e-07, 2.2640509137603954e-05, 1.0, 1.0, 0.01, 0.1
25003, 0.0022411298844629913, 7.307906544258737e-06, 3.5821291509791173e-07, 2.2642019783420827e-05, 1.0, 1.0, 0.01, 0.1
25004, 0.0022411097800572643, 7.3041095889510415e-06, 3.488823508668386e-07, 2.266166670502706e-05, 1.0, 1.0, 0.01, 0.1
25005, 0.0022410915826380734, 7.306957413759115e-06, 3.4150265275329315e-07, 2.2679547076167744e-05, 1.0, 1.0, 0.01, 0.1
25006, 0.0022410782525909352, 7.300385898010052e-06, 3.392311810462855e-07, 2.2694282255994195e-05, 1.0, 1.0, 0.01, 0.1
25007, 0.002241045846036917, 7.284466753549266e-06, 3.3474230356926324e-07, 2.2732275044146033e-05, 1.0, 1.0, 0.01, 0.1
25008, 0.0022410173184650825, 7.271830726368303e-06, 3.340425697966054e-07, 2.2762791468416644e-05, 1.0, 1.0, 0.01, 0.1
25009, 0.002240924998576157, 7.241394130377611e-06, 3.4030934160368827e-07, 2.2847496330045937e-05, 1.0, 1.0, 0.01, 0.1
25010, 0.0022406878002342186, 7.198772842348579e-06, 3.611085876381592e-07, 2.3037803220029256e-05, 1.0, 1.0, 0.01, 0.1
25011, 0.002240258211614786, 7.122381444383067e-06, 3.989360714280248e-07, 2.3392697879800965e-05, 1.0, 1.0, 0.01, 0.1
25012, 0.002239587353598567, 7.050576983349596e-06, 4.5134656557289667e-07, 2.3906556113502766e-05, 1.0, 1.0, 0.01, 0.1
