Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09786781371915741, 1.2318579772075382e-05, 14.419129100084433, 10.228767811183463, 500.0, 1.0, 1.0, 10.0
1, 0.09188510551015946, 1.0064158972353841e-05, 14.40102778813224, 10.226457897804174, 500.0, 1.0, 1.0, 10.0
2, 0.08614658082039173, 8.73244351634483e-06, 14.38016585454641, 10.223407236220144, 500.0, 1.0, 1.0, 10.0
3, 0.08042242708730198, 8.18011438125989e-06, 14.354579175603662, 10.21941540312553, 500.0, 1.0, 1.0, 10.0
4, 0.07472033173874755, 8.358076064333924e-06, 14.32349462828651, 10.214233959170913, 500.0, 1.0, 1.0, 10.0
5, 0.06905782281168517, 9.151912472424892e-06, 14.285880602525804, 10.20761221889888, 500.0, 1.0, 1.0, 10.0
6, 0.06346156141068111, 1.0366746291308804e-05, 14.240418914122376, 10.199293729459256, 500.0, 1.0, 1.0, 10.0
7, 0.0579683946515524, 1.1820908725174812e-05, 14.18553574597624, 10.189006954787276, 500.0, 1.0, 1.0, 10.0
8, 0.05261780637508805, 1.3418313682796863e-05, 14.119384919801979, 10.17644869015573, 500.0, 1.0, 1.0, 10.0
9, 0.047447843759193004, 1.5200192753117046e-05, 14.039773064588182, 10.161267239209419, 500.0, 1.0, 1.0, 10.0
10, 0.04249381271234969, 1.7427220495433402e-05, 13.94404324043286, 10.143049924535585, 500.0, 1.0, 1.0, 10.0
11, 0.03778743037024212, 2.0792185046743337e-05, 13.828905547502421, 10.121318965220613, 500.0, 1.0, 1.0, 10.0
12, 0.03335590102503474, 2.6923245742339942e-05, 13.69019954098197, 10.095539722492443, 500.0, 1.0, 1.0, 10.0
13, 0.029221108452452193, 3.9508559871536266e-05, 13.522573941813052, 10.065140092987207, 500.0, 1.0, 1.0, 10.0
14, 0.02539909824286386, 6.670797835185916e-05, 13.319016615057976, 10.029536846611592, 500.0, 1.0, 1.0, 10.0
15, 0.021899983686607952, 0.000126154640415482, 13.070194080517563, 9.98816822275133, 500.0, 1.0, 1.0, 10.0
16, 0.018728302338730088, 0.00025504657726150296, 12.76365391422443, 9.940537451085813, 500.0, 1.0, 1.0, 10.0
17, 0.015883667700752554, 0.0005300021995380534, 12.38321787081379, 9.886265224063877, 500.0, 1.0, 1.0, 10.0
18, 0.013361533664391738, 0.0011051160250940076, 11.909424026520984, 9.825144337642566, 500.0, 1.0, 1.0, 10.0
19, 0.011153894750108561, 0.0022827147503642125, 11.322709286950364, 9.757191468632588, 500.0, 1.0, 1.0, 10.0
20, 0.009249773992095336, 0.004640119292980448, 10.612107878568171, 9.682683099089978, 500.0, 1.0, 1.0, 10.0
21, 0.007635544924289779, 0.009246166713697709, 9.793000295414327, 9.602167081313514, 500.0, 1.0, 1.0, 10.0
22, 0.006295221205898504, 0.01800767630619687, 8.936449656207985, 9.516475450142739, 500.0, 1.0, 1.0, 10.0
23, 0.005210936149171231, 0.03416104857155768, 8.204359953863264, 9.426837902618967, 500.0, 1.0, 1.0, 10.0
24, 0.004364543620174325, 0.06269334125726801, 7.846163664061687, 9.335586553257535, 500.0, 1.0, 1.0, 10.0
25, 0.0037410622302244253, 0.10917408952409421, 7.9826421204807305, 9.249349497339539, 500.0, 1.0, 1.0, 10.0
26, 0.0033211353894628667, 0.17382089594524344, 8.114314037304384, 9.18235195993514, 500.0, 1.0, 1.0, 10.0
27, 0.0030557502689677256, 0.24991717648331485, 7.604737736602497, 9.140669419920528, 500.0, 1.0, 1.0, 10.0
28, 0.002890920908595184, 0.331723180114256, 6.643867886024314, 9.117843348422912, 500.0, 1.0, 1.0, 10.0
29, 0.002789719584994721, 0.41733587870404465, 5.9175821936431054, 9.105758517490283, 500.0, 1.0, 1.0, 10.0
30, 0.0027289104716008775, 0.5069181212557168, 5.854205818827229, 9.097429693373105, 500.0, 1.0, 1.0, 10.0
31, 0.0026954675808839495, 0.5993394343739942, 6.156772383817235, 9.086842963223665, 500.0, 1.0, 1.0, 10.0
32, 0.0026850250133424068, 0.687052783528835, 6.198911205560569, 9.072047998782843, 500.0, 1.0, 1.0, 10.0
33, 0.0026963844129185253, 0.7589016157280111, 5.741313899244296, 9.05514150547411, 500.0, 1.0, 1.0, 10.0
34, 0.002726648103297776, 0.8076793022103581, 5.026451049235464, 9.039579348672554, 500.0, 1.0, 1.0, 10.0
35, 0.0027693231762149894, 0.8284500434046219, 4.468449819075454, 9.029530955029006, 500.0, 1.0, 1.0, 10.0
36, 0.0028139006968286424, 0.8135949278536859, 4.251905552488637, 9.029959721522108, 500.0, 1.0, 1.0, 10.0
37, 0.002848052942085088, 0.7571073039779792, 4.108977241842601, 9.044956052307548, 500.0, 1.0, 1.0, 10.0
38, 0.0028639479052986134, 0.6676303035039863, 3.7086483109209256, 9.074418353318407, 500.0, 1.0, 1.0, 10.0
39, 0.0028614623545165268, 0.5659565632396236, 3.162686423439871, 9.115009209088008, 500.0, 1.0, 1.0, 10.0
40, 0.0028458453173802072, 0.47103343536881, 2.772267303982277, 9.162875085851473, 500.0, 1.0, 1.0, 10.0
41, 0.0028249856804958545, 0.3933776542309572, 2.5837921652943305, 9.213714216669628, 500.0, 1.0, 1.0, 10.0
42, 0.002806154072566569, 0.3355432213532393, 2.3729308181704165, 9.262987091627673, 500.0, 1.0, 1.0, 10.0
43, 0.002792670928404131, 0.29494369119914016, 1.9729117464472972, 9.308155027334276, 500.0, 1.0, 1.0, 10.0
44, 0.002783591624457123, 0.2667461207876139, 1.4954436139964895, 9.34985730756256, 500.0, 1.0, 1.0, 10.0
45, 0.002775086734370231, 0.24510028894705285, 1.202644739309038, 9.390812659084375, 500.0, 1.0, 1.0, 10.0
46, 0.002762196896473681, 0.22365427574134808, 1.0892063194066346, 9.433531379554275, 500.0, 1.0, 1.0, 10.0
47, 0.002743560902995538, 0.19887214407053955, 0.8260671955528117, 9.47807526547164, 500.0, 1.0, 1.0, 10.0
48, 0.002724922888392514, 0.17314661058300446, 0.5225139344373626, 9.522313736226632, 500.0, 1.0, 1.0, 10.0
49, 0.002714120994423974, 0.15182385536305393, 0.5015568743042387, 9.56211745056075, 500.0, 1.0, 1.0, 10.0
50, 0.002713087369775527, 0.1384617874120749, 0.483513446634855, 9.592667764444167, 500.0, 1.0, 1.0, 10.0
51, 0.002717464397964271, 0.1317739600153191, 0.2860440203371699, 9.61411790689464, 500.0, 1.0, 1.0, 10.0
52, 0.002723557753378709, 0.1269639579159846, 0.2808023981265622, 9.631642689478792, 500.0, 1.0, 1.0, 10.0
53, 0.002729454424193273, 0.11788798932959349, 0.3243178281722182, 9.650359337289174, 500.0, 1.0, 1.0, 10.0
54, 0.002736400639180394, 0.10392642253273893, 0.1626069690677086, 9.67059883562489, 500.0, 1.0, 1.0, 10.0
55, 0.002746017125856617, 0.09055273175845281, 0.1694190047273919, 9.688603131256203, 500.0, 1.0, 1.0, 10.0
56, 0.002754358856418085, 0.0817569639712402, 0.17218660459110866, 9.700035309656133, 500.0, 1.0, 1.0, 10.0
57, 0.0027582108377704824, 0.07721106684956854, 0.05602174828243313, 9.704562154486624, 500.0, 1.0, 1.0, 10.0
58, 0.0027593155076168674, 0.07435217721939519, 0.07293999107783772, 9.704749061591732, 500.0, 1.0, 1.0, 10.0
59, 0.0027594499237968205, 0.07050641217078145, 0.08923426184085655, 9.702584923038447, 500.0, 1.0, 1.0, 10.0
60, 0.0027585248664952155, 0.06563737203963804, 0.021525095421627553, 9.697891948252703, 500.0, 1.0, 1.0, 10.0
61, 0.0027553278711147816, 0.06182148037380711, 0.045837029399234196, 9.688827251522788, 500.0, 1.0, 1.0, 10.0
62, 0.002748743838989578, 0.06046813732234418, 0.06451906212798351, 9.673897590258903, 500.0, 1.0, 1.0, 10.0
63, 0.0027401404466571785, 0.06145451852814383, 0.015000805443090775, 9.653234457157676, 500.0, 1.0, 1.0, 10.0
64, 0.002732019750682846, 0.06360551202036194, 0.017987768588297634, 9.627832565931726, 500.0, 1.0, 1.0, 10.0
