Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09786781371915741, 0.5621839633642967, 3619.2014041209427, 1.0228767811183463, 500.0, 1.0, 1.0, 1.0
1, 0.09269989927679206, 0.4162988481544503, 3613.43044155152, 1.0225353191134443, 500.0, 1.0, 1.0, 1.0
2, 0.08780751811826634, 0.3320755893088949, 3606.7545342863014, 1.0220787900877042, 500.0, 1.0, 1.0, 1.0
3, 0.08303203208974592, 0.29114167278555386, 3598.7169765109206, 1.0214847711085866, 500.0, 1.0, 1.0, 1.0
4, 0.07838110817275665, 0.2880212282879748, 3589.26358966742, 1.020748291426753, 500.0, 1.0, 1.0, 1.0
5, 0.07386180053632256, 0.324665268683643, 3578.2708389437894, 1.019879870946509, 500.0, 1.0, 1.0, 1.0
6, 0.06945643960555861, 0.4012794913384119, 3565.4839629372104, 1.0188997167441456, 500.0, 1.0, 1.0, 1.0
7, 0.06513660328300697, 0.5102877680327049, 3550.461725833391, 1.0178247893487438, 500.0, 1.0, 1.0, 1.0
8, 0.06087811757359194, 0.6320713196391734, 3532.5272473612367, 1.0166612772255335, 500.0, 1.0, 1.0, 1.0
9, 0.056653864097062134, 0.7410195741946755, 3510.6708036611726, 1.0153981488571608, 500.0, 1.0, 1.0, 1.0
10, 0.05243271882513573, 0.8292234398222458, 3483.410304224145, 1.0139981389660413, 500.0, 1.0, 1.0, 1.0
11, 0.04819508204745203, 0.9947585909629715, 3448.6090523038256, 1.0123994110764227, 500.0, 1.0, 1.0, 1.0
12, 0.0439434236475255, 1.8904013117263672, 3403.2345594765115, 1.010523826745201, 500.0, 1.0, 1.0, 1.0
13, 0.03969287766319475, 7.0599109822370165, 3342.9250449423935, 1.008286596050901, 500.0, 1.0, 1.0, 1.0
14, 0.03549279097805039, 34.471783945080034, 3261.3407640991354, 1.005631076072459, 500.0, 1.0, 1.0, 1.0
15, 0.0321784533434135, 90.36503843717351, 3169.082647250592, 1.0040264229909395, 500.0, 1.0, 1.0, 1.0
16, 0.030688710029683222, 62.793988362870074, 3108.964737509967, 1.0053070960220676, 500.0, 1.0, 1.0, 1.0
17, 0.02960969832620014, 31.57094491559534, 3056.4864312411005, 1.0071622840191627, 500.0, 1.0, 1.0, 1.0
18, 0.028277902050707078, 18.936313871444753, 2991.7841558636187, 1.0085581083953257, 500.0, 1.0, 1.0, 1.0
19, 0.02639077574993627, 17.476413338428817, 2895.693302416013, 1.0090853475043526, 500.0, 1.0, 1.0, 1.0
