Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09785503812623736, 1.2139623865480982e-05, 14.42547582177987, 1.022876790060898, 1000.0, 1.0, 1.0, 1.0
1, 0.09186104065516056, 1.0228221169445877e-05, 14.385626446393427, 1.0226437046294983, 1000.0, 1.0, 1.0, 1.0
2, 0.08611189529588714, 9.276916275543007e-06, 14.340431611853655, 1.0223366775805636, 1000.0, 1.0, 1.0, 1.0
3, 0.08037998092688294, 9.161724875532765e-06, 14.285816765568837, 1.0219350053550869, 1000.0, 1.0, 1.0, 1.0
4, 0.07467244186859917, 9.884922118894751e-06, 14.220891348890632, 1.0214139859937679, 1000.0, 1.0, 1.0, 1.0
5, 0.0690067581131827, 1.1419496713327992e-05, 14.144666557435738, 1.0207487087263225, 1000.0, 1.0, 1.0, 1.0
6, 0.06340971943220514, 1.3688332303578895e-05, 14.055955993439355, 1.0199137243417318, 1000.0, 1.0, 1.0, 1.0
7, 0.05791806469648466, 1.668144620201218e-05, 13.953411883734471, 1.018882017908968, 1000.0, 1.0, 1.0, 1.0
8, 0.05257106786581569, 2.0562643165947815e-05, 13.83569031501085, 1.0176235043374484, 1000.0, 1.0, 1.0, 1.0
9, 0.04740662014703283, 2.5776458627792324e-05, 13.701756028421553, 1.0161034799285518, 1000.0, 1.0, 1.0, 1.0
10, 0.04245990554315936, 3.3239821142508066e-05, 13.55138153673962, 1.0142815224237398, 1000.0, 1.0, 1.0, 1.0
11, 0.03776248972333344, 4.4835398552075335e-05, 13.385907990334847, 1.0121115106869056, 1000.0, 1.0, 1.0, 1.0
12, 0.033341339661588976, 6.465916716326075e-05, 13.209138373843562, 1.009543002710076, 1000.0, 1.0, 1.0, 1.0
13, 0.02921794106108196, 0.00010200392796054295, 13.026722351599709, 1.0065241409248218, 1000.0, 1.0, 1.0, 1.0
14, 0.025407737976463975, 0.00017702945996756983, 12.83499364482907, 1.0030060003154029, 1000.0, 1.0, 1.0, 1.0
15, 0.0219200962749428, 0.00032600362509655585, 12.581983599985897, 0.9989479545143225, 1000.0, 1.0, 1.0, 1.0
