Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10774881457534054, 0.33383650966407047, 14.404741294849353, 1.0228767811183463, 2000.0, 1e-08, 1.0, 1.0
1, 0.10081603246016893, 0.10160886872103575, 14.472645086197002, 1.0226647513851392, 2000.0, 1e-08, 1.0, 1.0
2, 0.09435709143665608, 0.0207859575449199, 14.516549179459597, 1.0223754357503867, 2000.0, 1e-08, 1.0, 1.0
3, 0.08802162005378099, 0.056391175806589484, 14.52534644549444, 1.0219853904665333, 2000.0, 1e-08, 1.0, 1.0
4, 0.08181058631575681, 0.18956418231077823, 14.505871698260156, 1.0214748162694665, 2000.0, 1e-08, 1.0, 1.0
5, 0.07575190900092647, 0.41383349940216146, 14.466354104436762, 1.0208210052612054, 2000.0, 1e-08, 1.0, 1.0
6, 0.0698617637651708, 0.7281687896372839, 14.41258563759923, 1.019999587130505, 2000.0, 1e-08, 1.0, 1.0
7, 0.06415209637473503, 1.1359439360452228, 14.347843304723616, 1.0189838415122265, 2000.0, 1e-08, 1.0, 1.0
8, 0.0586357291723348, 1.645748109626294, 14.273619730870752, 1.0177433208663047, 2000.0, 1e-08, 1.0, 1.0
9, 0.053327824438498865, 2.273474236485663, 14.190252368776973, 1.0162426886124583, 2000.0, 1e-08, 1.0, 1.0
10, 0.048245419754916995, 3.0464487456728673, 14.097180847551614, 1.01444126692833, 2000.0, 1e-08, 1.0, 1.0
11, 0.043406426085989505, 4.01083219634616, 13.992964129872123, 1.0122932279734356, 2000.0, 1e-08, 1.0, 1.0
12, 0.03882832644212895, 5.243906538076918, 13.875165801117715, 1.009748506227761, 2000.0, 1e-08, 1.0, 1.0
13, 0.03452686683438376, 6.874199071213948, 13.740185345205367, 1.006754536539413, 2000.0, 1e-08, 1.0, 1.0
14, 0.030514963060659175, 9.114969077729164, 13.583262972313582, 1.0032587203464196, 2000.0, 1e-08, 1.0, 1.0
15, 0.026801903861369082, 12.319974481584971, 13.398750151859463, 0.9992114012529716, 2000.0, 1e-08, 1.0, 1.0
16, 0.023392941977812314, 17.076061236623993, 13.180696294639601, 0.994569198122009, 2000.0, 1e-08, 1.0, 1.0
17, 0.02028927577828148, 24.354515747086566, 12.923758990102199, 0.9892985421763215, 2000.0, 1e-08, 1.0, 1.0
18, 0.017488310778400785, 35.75139968339257, 12.624364185649565, 0.9833792078322791, 2000.0, 1e-08, 1.0, 1.0
19, 0.01498406117226664, 53.85704320875681, 12.282164799997357, 0.9768075710882133, 2000.0, 1e-08, 1.0, 1.0
20, 0.01276759170321043, 82.80371240107078, 11.901899723532171, 0.9695993625950498, 2000.0, 1e-08, 1.0, 1.0
21, 0.010827450909322273, 129.04390507777907, 11.495712443475618, 0.9617919119867845, 2000.0, 1e-08, 1.0, 1.0
22, 0.009150073161912034, 202.39890179739606, 11.08591313512552, 0.9534461847965622, 2000.0, 1e-08, 1.0, 1.0
23, 0.0077201359166935634, 317.3643126407105, 10.707811450701207, 0.9446490551774795, 2000.0, 1e-08, 1.0, 1.0
24, 0.006520865424869324, 494.5310681908759, 10.411280999435268, 0.9355163257116895, 2000.0, 1e-08, 1.0, 1.0
25, 0.005534286091693209, 761.682381911624, 10.257626295623808, 0.9261968875877545, 2000.0, 1e-08, 1.0, 1.0
26, 0.004741394765657051, 1153.4611270037292, 10.305153157997943, 0.9168783629571424, 2000.0, 1e-08, 1.0, 1.0
27, 0.004122205355967998, 1706.943831188221, 10.57555818579871, 0.9077952054631274, 2000.0, 1e-08, 1.0, 1.0
