Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09761340236488653, 0.0006669216976825727, 14.39516427728967, 0.9982253246784967, 5000.0, 0.001, 1.0, 1.0
1, 0.053190637644284056, 0.0012964635574788386, 13.712092234793614, 0.9889607660493647, 5000.0, 0.001, 1.0, 1.0
2, 0.027799063145834153, 0.0019717168210729376, 12.828199904066784, 0.9701918272954962, 5000.0, 0.001, 1.0, 1.0
3, 0.015673280215358753, 0.0025183712496986083, 11.600651370517372, 0.9392134572844384, 5000.0, 0.001, 1.0, 1.0
4, 0.009858031301118994, 0.003101898714179521, 9.917035656720458, 0.8965262534627728, 5000.0, 0.001, 1.0, 1.0
5, 0.00681145400889148, 0.0042264524052246875, 7.906286033205175, 0.8557285024319901, 5000.0, 0.001, 1.0, 1.0
6, 0.005069855233168999, 0.0070344919946767346, 6.652514662271989, 0.8765886107345574, 5000.0, 0.001, 1.0, 1.0
7, 0.004022556455474743, 0.012906366996629462, 8.937915384150974, 1.1289085724185661, 5000.0, 0.001, 1.0, 1.0
8, 0.003398408092568175, 0.020988850668804758, 10.618700217783008, 1.5390702978571897, 5000.0, 0.001, 1.0, 1.0
9, 0.0030385803756593738, 0.028973324482212834, 4.71374585582843, 1.610234188251622, 5000.0, 0.001, 1.0, 1.0
10, 0.0028436984349357445, 0.03610356981983488, 2.0924727339575653, 1.4505070384097318, 5000.0, 0.001, 1.0, 1.0
11, 0.002758754920925619, 0.043061656368114355, 10.046004994551149, 1.3025757166505336, 5000.0, 0.001, 1.0, 1.0
12, 0.002744328789271137, 0.04791580359248996, 17.136921415794195, 1.2276604479255278, 5000.0, 0.001, 1.0, 1.0
13, 0.0027692543868840166, 0.04884240814348877, 13.63726544900957, 1.2025304391153524, 5000.0, 0.001, 1.0, 1.0
14, 0.0028141869551512764, 0.047582892870750265, 7.243649815416517, 1.2131175485809003, 5000.0, 0.001, 1.0, 1.0
15, 0.0028685312507090383, 0.04620699040486294, 4.301712686074851, 1.258557425378039, 5000.0, 0.001, 1.0, 1.0
16, 0.0029258026760359585, 0.04513657707392357, 4.465523060359509, 1.3387859949237204, 5000.0, 0.001, 1.0, 1.0
17, 0.002980764108150918, 0.04373455583193384, 5.619730060474247, 1.447624360418766, 5000.0, 0.001, 1.0, 1.0
18, 0.003028811320233553, 0.04133764669201208, 6.349427092769477, 1.5688012733166277, 5000.0, 0.001, 1.0, 1.0
19, 0.0030664042458989284, 0.03780123152488856, 6.178537816800116, 1.677319664533295, 5000.0, 0.001, 1.0, 1.0
20, 0.0030914733530720924, 0.03352286752003128, 5.262536686996495, 1.7490482003377614, 5000.0, 0.001, 1.0, 1.0
21, 0.0031034564376011837, 0.02912290112200687, 4.01948751198045, 1.7733378875980492, 5000.0, 0.001, 1.0, 1.0
22, 0.0031030235950817533, 0.02511064914600374, 2.8384934311603978, 1.7575707776145502, 5000.0, 0.001, 1.0, 1.0
23, 0.0030916595085763296, 0.02174379993058043, 1.9328697991143726, 1.7201782870857387, 5000.0, 0.001, 1.0, 1.0
24, 0.0030712603730305645, 0.01906201054464764, 1.3368754888018837, 1.6801860254365526, 5000.0, 0.001, 1.0, 1.0
25, 0.0030438365559316014, 0.016983324351399574, 0.9806375466041067, 1.6512664961261094, 5000.0, 0.001, 1.0, 1.0
26, 0.003011336970826489, 0.015385519716105335, 0.7681076606292777, 1.641061322133574, 5000.0, 0.001, 1.0, 1.0
27, 0.002975565655183846, 0.014151139324610066, 0.62250238247354, 1.6527324282043852, 5000.0, 0.001, 1.0, 1.0
28, 0.0029381525097109938, 0.013184071602637733, 0.5009739241466845, 1.686269231598972, 5000.0, 0.001, 1.0, 1.0
29, 0.002900551035383211, 0.012410948052238009, 0.3916961779187458, 1.7386473135454674, 5000.0, 0.001, 1.0, 1.0
30, 0.0028640485209084666, 0.01177691624119126, 0.30249179157747647, 1.8030119024743847, 5000.0, 0.001, 1.0, 1.0
31, 0.002829780750304094, 0.011240772739178843, 0.24548352560587128, 1.8678726260129117, 5000.0, 0.001, 1.0, 1.0
32, 0.002798742832518241, 0.010771568535062429, 0.22312121891715, 1.918025123810037, 5000.0, 0.001, 1.0, 1.0
33, 0.0027717830903378777, 0.010347239535962035, 0.22402809605335505, 1.938676733528802, 5000.0, 0.001, 1.0, 1.0
34, 0.0027495662640425406, 0.00995455277659876, 0.23261593723043741, 1.921789895323884, 5000.0, 0.001, 1.0, 1.0
35, 0.0027325056240411387, 0.009588674839666956, 0.24229562990875383, 1.870370931365342, 5000.0, 0.001, 1.0, 1.0
36, 0.002720688440039801, 0.00925102537939419, 0.256780516562, 1.7969167601636888, 5000.0, 0.001, 1.0, 1.0
37, 0.002713834675521754, 0.008945826453755022, 0.27938028204042403, 1.7172847354305107, 5000.0, 0.001, 1.0, 1.0
38, 0.002711317960755575, 0.008676986193279806, 0.30441729862175587, 1.6447636403466857, 5000.0, 0.001, 1.0, 1.0
39, 0.0027122495555824476, 0.008446447617983523, 0.31909042223224915, 1.5874248542467762, 5000.0, 0.001, 1.0, 1.0
40, 0.002715602050780396, 0.008253903938154762, 0.3116835708022434, 1.5483786798798411, 5000.0, 0.001, 1.0, 1.0
