Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10774881457534054, 8.58340633268921e-06, 14.404741294849353, 1.0228767811183463, 500.0, 0.001, 1.0, 1.0
1, 0.10081692868314844, 3.5326382060990344e-06, 14.471355616423587, 1.022670388712085, 500.0, 0.001, 1.0, 1.0
2, 0.09436136652397138, 1.4237244976897648e-06, 14.513845421817097, 1.0223924398498838, 500.0, 0.001, 1.0, 1.0
3, 0.08802798184070981, 1.6045601460998126e-06, 14.522443426003344, 1.0220173070194318, 500.0, 0.001, 1.0, 1.0
4, 0.08181562291444779, 3.4525386221481042e-06, 14.503527242707495, 1.0215236996420378, 500.0, 0.001, 1.0, 1.0
5, 0.07575377863164891, 6.6896145330376705e-06, 14.464731496405314, 1.020887817239807, 500.0, 0.001, 1.0, 1.0
6, 0.06985962507447728, 1.1221940695991756e-05, 14.411527118288332, 1.020084076607679, 500.0, 0.001, 1.0, 1.0
7, 0.06414578752087491, 1.7108901963106437e-05, 14.347056268126078, 1.0190848299294386, 500.0, 0.001, 1.0, 1.0
8, 0.058625377551789516, 2.4585625212942588e-05, 14.272759530470296, 1.0178590399022613, 500.0, 0.001, 1.0, 1.0
9, 0.05331329729244277, 3.4129973053564364e-05, 14.188940179732334, 1.0163712535911122, 500.0, 0.001, 1.0, 1.0
10, 0.04822596391729817, 4.6608323323107184e-05, 14.094975810878717, 1.0145810555618684, 500.0, 0.001, 1.0, 1.0
11, 0.04338060105362539, 6.354735665163026e-05, 13.989279759846982, 1.01244330041459, 500.0, 0.001, 1.0, 1.0
12, 0.03879411286196199, 8.76088181254152e-05, 13.869107178607134, 1.0099091431243552, 500.0, 0.001, 1.0, 1.0
13, 0.03448185361981554, 0.0001234090913837464, 13.7302742380671, 1.0069278927542142, 500.0, 0.001, 1.0, 1.0
14, 0.030456553441239657, 0.0001789359620672439, 13.567020569486292, 1.0034495966041244, 500.0, 0.001, 1.0, 1.0
15, 0.026727514599710463, 0.0002679835454137836, 13.372126814065801, 0.9994280673882096, 500.0, 0.001, 1.0, 1.0
16, 0.023300224019822385, 0.0004143167232614008, 13.137406478828286, 0.9948242802634226, 500.0, 0.001, 1.0, 1.0
17, 0.020176405676904652, 0.0006587241268398675, 12.854719539461366, 0.9896103519781625, 500.0, 0.001, 1.0, 1.0
18, 0.017354380142836197, 0.0010707237569066114, 12.517678945550896, 0.983773841810888, 500.0, 0.001, 1.0, 1.0
19, 0.014829555798790141, 0.001767498989453509, 12.124482696699287, 0.9773223330729804, 500.0, 0.001, 1.0, 1.0
20, 0.012594908114861234, 0.0029434142892123326, 11.682447815012175, 0.9702884019246525, 500.0, 0.001, 1.0, 1.0
21, 0.010641363744001821, 0.004913292698253233, 11.214612836751956, 0.9627351785189009, 500.0, 0.001, 1.0, 1.0
22, 0.008958100663035547, 0.008168571002047823, 10.767800304955394, 0.9547640261339212, 500.0, 0.001, 1.0, 1.0
23, 0.007532902161984805, 0.01342901417374055, 10.417790836680027, 0.9465290309159462, 500.0, 0.001, 1.0, 1.0
24, 0.0063527787248937265, 0.021619974272496238, 10.256914858239465, 0.9382654931416323, 500.0, 0.001, 1.0, 1.0
25, 0.005404813284659324, 0.03358277929977107, 10.333206540716755, 0.9303593227336756, 500.0, 0.001, 1.0, 1.0
26, 0.004674829400954319, 0.049307509853516174, 10.533795624952033, 0.9234762606861265, 500.0, 0.001, 1.0, 1.0
27, 0.004138254706843874, 0.06724590975209382, 10.562768538250385, 0.9183981399896928, 500.0, 0.001, 1.0, 1.0
28, 0.0037551744751844816, 0.08511585136660228, 10.1907898839781, 0.9154444402675829, 500.0, 0.001, 1.0, 1.0
29, 0.003483222114529255, 0.10158816162310781, 9.479232209353773, 0.9143792528317146, 500.0, 0.001, 1.0, 1.0
30, 0.003288243184466737, 0.11693156853213507, 8.692809510485775, 0.9147357373409496, 500.0, 0.001, 1.0, 1.0
