Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10774881457534054, 8.58340633268921e-06, 14.404741294849353, 1.0228767811183463, 5000.0, 0.001, 1.0, 1.0
1, 0.10081610409092558, 3.5570128820448355e-06, 14.473106396148104, 1.0226630245181836, 5000.0, 0.001, 1.0, 1.0
2, 0.09435692563696138, 1.4385702354456596e-06, 14.517125595539838, 1.0223717830062817, 5000.0, 0.001, 1.0, 1.0
3, 0.08802132404331119, 1.550866782536012e-06, 14.525882643855981, 1.0219790342743462, 5000.0, 0.001, 1.0, 1.0
4, 0.08181068088000004, 3.3113964337822542e-06, 14.506275457409926, 1.0214652403987798, 5000.0, 0.001, 1.0, 1.0
5, 0.07575264961734021, 6.471804201992377e-06, 14.46661717890865, 1.0208078908345253, 5000.0, 0.001, 1.0, 1.0
6, 0.06986323540048793, 1.0945650607526017e-05, 14.412744164247293, 1.019982915358335, 5000.0, 0.001, 1.0, 1.0
7, 0.06415427266476545, 1.6781996454077103e-05, 14.347955249888276, 1.0189638173169557, 5000.0, 0.001, 1.0, 1.0
8, 0.05863856860666537, 2.4189813774264034e-05, 14.273754153257373, 1.0177202285029179, 5000.0, 0.001, 1.0, 1.0
9, 0.05333137147830272, 3.360526089223225e-05, 14.190486976720525, 1.0162168092960637, 5000.0, 0.001, 1.0, 1.0
10, 0.04824986145360747, 4.5827954365560836e-05, 14.097608041247884, 1.0144128038304763, 5000.0, 0.001, 1.0, 1.0
11, 0.04341209509701724, 6.226689079941069e-05, 13.993707909573997, 1.012262212980495, 5000.0, 0.001, 1.0, 1.0
12, 0.038835677088074894, 8.535895720728696e-05, 13.876414808275698, 1.0097146796815446, 5000.0, 0.001, 1.0, 1.0
13, 0.03453644366010038, 0.00011926965867565101, 13.7422504130928, 1.0067171857104893, 5000.0, 0.001, 1.0, 1.0
14, 0.030527370283278572, 0.0001710617005607192, 13.586669039721306, 1.0032164537248385, 5000.0, 0.001, 1.0, 1.0
15, 0.026817776935881783, 0.0002526192496793221, 13.404370589904502, 0.999161843078929, 5000.0, 0.001, 1.0, 1.0
16, 0.023412913944891874, 0.00038376771958470543, 13.18992673439659, 0.994508586916702, 5000.0, 0.001, 1.0, 1.0
17, 0.020313928182574218, 0.0005972153691850407, 12.938702942321337, 0.9892212014431768, 5000.0, 0.001, 1.0, 1.0
18, 0.01751810096267121, 0.0009461480958297594, 12.64796070690368, 0.9832768268533506, 5000.0, 0.001, 1.0, 1.0
19, 0.015019223555266057, 0.0015155422763619335, 12.318117788370254, 0.9766682098545529, 5000.0, 0.001, 1.0, 1.0
20, 0.012808018790546282, 0.0024384698281559075, 11.954170403181637, 0.9694060833847471, 5000.0, 0.001, 1.0, 1.0
21, 0.010872567002269424, 0.00391879745722736, 11.567238419464843, 0.9615208518593004, 5000.0, 0.001, 1.0, 1.0
22, 0.009198719084602097, 0.0062615306160534985, 11.176192288515697, 0.9530636551679426, 5000.0, 0.001, 1.0, 1.0
23, 0.0077704860898737465, 0.009911250298852705, 10.809233412751734, 0.9441069786395574, 5000.0, 0.001, 1.0, 1.0
24, 0.006570398009494128, 0.015497198992033513, 10.505036494032247, 0.9347449969829443, 5000.0, 0.001, 1.0, 1.0
25, 0.005579828460525445, 0.023879076400249756, 10.312468252375309, 0.9250938100648066, 5000.0, 0.001, 1.0, 1.0
26, 0.00477928469188531, 0.03617662731913375, 10.286927540966301, 0.915291632852502, 5000.0, 0.001, 1.0, 1.0
27, 0.004148662005272603, 0.05373411603045411, 10.479735417666372, 0.9054987511467179, 5000.0, 0.001, 1.0, 1.0
28, 0.0036674601068843755, 0.07788161477295752, 10.914653647214324, 0.8958963526280708, 5000.0, 0.001, 1.0, 1.0
29, 0.0033149642303063986, 0.1091472409587798, 11.545383171073441, 0.8866820468342573, 5000.0, 0.001, 1.0, 1.0
30, 0.0030704253686567205, 0.14563363950015576, 12.204305676654835, 0.878056776202861, 5000.0, 0.001, 1.0, 1.0
31, 0.002913374143458806, 0.1826303393091493, 12.632386947197382, 0.8701941336303559, 5000.0, 0.001, 1.0, 1.0
32, 0.002824318112957105, 0.2156733878440467, 12.656562456739753, 0.8631990098146163, 5000.0, 0.001, 1.0, 1.0
33, 0.0027857551623884634, 0.24247854135802852, 12.296325557668302, 0.8570896308768837, 5000.0, 0.001, 1.0, 1.0
34, 0.0027829372199745478, 0.26267518666233647, 11.704468324178588, 0.8518158838866109, 5000.0, 0.001, 1.0, 1.0
35, 0.0028040613918375625, 0.27723366232986885, 11.058655531884169, 0.8472936048049381, 5000.0, 0.001, 1.0, 1.0
36, 0.002840016592261472, 0.2879315803757911, 10.486169324613407, 0.8434342612855751, 5000.0, 0.001, 1.0, 1.0
37, 0.0028839380203601068, 0.29681503305016294, 10.042503609365461, 0.8401623706130331, 5000.0, 0.001, 1.0, 1.0
38, 0.0029307470281514157, 0.3057245917774246, 9.727913723591238, 0.8374215661804337, 5000.0, 0.001, 1.0, 1.0
39, 0.002976757215629331, 0.31600037638346196, 9.51539208559353, 0.8351732500010468, 5000.0, 0.001, 1.0, 1.0
40, 0.0030193647706292332, 0.32843169679309825, 9.372021294859426, 0.833391837265461, 5000.0, 0.001, 1.0, 1.0
41, 0.0030568118348717867, 0.3433865517700282, 9.269120879256638, 0.8320594773427267, 5000.0, 0.001, 1.0, 1.0
42, 0.0030880042581118996, 0.36097485432743887, 9.184716574901575, 0.8311617845228958, 5000.0, 0.001, 1.0, 1.0
43, 0.0031123678913151606, 0.38116991947077433, 9.102757251584968, 0.8306850384695496, 5000.0, 0.001, 1.0, 1.0
44, 0.0031297326010277424, 0.4038831317675327, 9.01158540959738, 0.830614703859379, 5000.0, 0.001, 1.0, 1.0
45, 0.003140237159899131, 0.42900854889059925, 8.902606639030566, 0.8309348965977283, 5000.0, 0.001, 1.0, 1.0
46, 0.0031442506459599577, 0.45645305348069115, 8.769371020162868, 0.8316284193053817, 5000.0, 0.001, 1.0, 1.0
47, 0.0031423074131646978, 0.4861614103016629, 8.607026781215652, 0.8326770674088927, 5000.0, 0.001, 1.0, 1.0
48, 0.0031350534817489624, 0.5181404062720594, 8.412046935152823, 0.8340620049717455, 5000.0, 0.001, 1.0, 1.0
49, 0.0031232025979633623, 0.5524831083488524, 8.182135207673507, 0.8357640963914776, 5000.0, 0.001, 1.0, 1.0
50, 0.0031075004206203368, 0.5893924619560754, 7.916245080618362, 0.8377641402557032, 5000.0, 0.001, 1.0, 1.0
51, 0.0030886954367212896, 0.629202034110144, 7.614681654608461, 0.8400429860536239, 5000.0, 0.001, 1.0, 1.0
52, 0.0030675153610465657, 0.6723901031248362, 7.279292927903251, 0.8425815370862143, 5000.0, 0.001, 1.0, 1.0
53, 0.003044647991949856, 0.7195811935315635, 6.913785251404469, 0.8453606653279886, 5000.0, 0.001, 1.0, 1.0
54, 0.003020725842933666, 0.7715260974684948, 6.524200561291613, 0.8483610900739929, 5000.0, 0.001, 1.0, 1.0
55, 0.0029963143870274135, 0.8290467741445262, 6.119544443719307, 0.8515633061759994, 5000.0, 0.001, 1.0, 1.0
56, 0.0029719044269595537, 0.892926002787993, 5.712420124474656, 0.8549476861015011, 5000.0, 0.001, 1.0, 1.0
57, 0.0029479098849156124, 0.963714531941633, 5.319275006660762, 0.8584948916746805, 5000.0, 0.001, 1.0, 1.0
58, 0.0029246731401038777, 1.041425333673478, 4.959517283353965, 0.8621866826264573, 5000.0, 0.001, 1.0, 1.0
59, 0.0029024808514066494, 1.1250960306745728, 4.652458845798458, 0.8660070957599487, 5000.0, 0.001, 1.0, 1.0
60, 0.0028815935095293814, 1.212246847893707, 4.411239315107489, 0.8699437556130937, 5000.0, 0.001, 1.0, 1.0
61, 0.0028622901211689963, 1.2983740232077159, 4.23443615742797, 0.8739887180710371, 5000.0, 0.001, 1.0, 1.0
62, 0.0028449222054517153, 1.3768192778580544, 4.099603307377174, 0.8781379486321841, 5000.0, 0.001, 1.0, 1.0
63, 0.0028299569051127554, 1.4395637696770438, 3.966707266950013, 0.882388808353143, 5000.0, 0.001, 1.0, 1.0
64, 0.0028179754187946907, 1.4793452818994959, 3.796916977664044, 0.886735571441247, 5000.0, 0.001, 1.0, 1.0
65, 0.0028095968612091055, 1.4924553308281916, 3.5779651141640696, 0.8911629027027552, 5000.0, 0.001, 1.0, 1.0
66, 0.0028053247099948803, 1.4803021238963756, 3.3326935635961776, 0.8956373330690041, 5000.0, 0.001, 1.0, 1.0
67, 0.0028053518988008586, 1.4485470345931808, 3.097603625993626, 0.90009930173872, 5000.0, 0.001, 1.0, 1.0
68, 0.0028093985176103208, 1.4047722136788476, 2.889843383772698, 0.9044620997254443, 5000.0, 0.001, 1.0, 1.0
69, 0.002816679009781904, 1.3562969798780766, 2.695051243791222, 0.9086247467789604, 5000.0, 0.001, 1.0, 1.0
70, 0.002826064081325608, 1.3089363108550127, 2.4866335352211597, 0.9124977703230441, 5000.0, 0.001, 1.0, 1.0
71, 0.0028363850238735436, 1.266672774048686, 2.255048765864281, 0.9160273168135714, 5000.0, 0.001, 1.0, 1.0
72, 0.0028467194876643505, 1.2318364244631268, 2.0188707147578007, 0.9192029908137634, 5000.0, 0.001, 1.0, 1.0
73, 0.0028565279605206454, 1.205387936256727, 1.8102021672176787, 0.9220495799593953, 5000.0, 0.001, 1.0, 1.0
74, 0.00286562322390676, 1.187196800101009, 1.6483523714017883, 0.9246110767548, 5000.0, 0.001, 1.0, 1.0
75, 0.0028740301050080926, 1.1764696609764456, 1.5225540886693054, 0.9269336843064646, 5000.0, 0.001, 1.0, 1.0
76, 0.00288181266737795, 1.1724013019184991, 1.399338919804481, 0.9290523054145863, 5000.0, 0.001, 1.0, 1.0
77, 0.0028889344138559045, 1.1748191372961378, 1.2518352872712806, 0.9309834216969979, 5000.0, 0.001, 1.0, 1.0
78, 0.0028951834522085024, 1.1844706024482032, 1.0840688862825236, 0.9327238014095348, 5000.0, 0.001, 1.0, 1.0
79, 0.002900169506222356, 1.202783971951475, 0.9247466153505527, 0.9342533794229224, 5000.0, 0.001, 1.0, 1.0
80, 0.0029034047988714244, 1.231236607314061, 0.7979950901655434, 0.9355428264861096, 5000.0, 0.001, 1.0, 1.0
81, 0.0029044751445425707, 1.270647959766057, 0.7022583284344652, 0.9365660757437143, 5000.0, 0.001, 1.0, 1.0
82, 0.0029032487412244826, 1.3206736106432384, 0.617566245612257, 0.9373142106261159, 5000.0, 0.001, 1.0, 1.0
83, 0.0028999998498075797, 1.3796167947051186, 0.5307064548847654, 0.9378038896251117, 5000.0, 0.001, 1.0, 1.0
84, 0.002895348148413331, 1.444503586939655, 0.4492668760229862, 0.9380757664047484, 5000.0, 0.001, 1.0, 1.0
85, 0.002890036738205292, 1.5113497344498426, 0.388780532745115, 0.9381838688741247, 5000.0, 0.001, 1.0, 1.0
86, 0.0028846773966605533, 1.5757416283154821, 0.34900817159800396, 0.9381805454661308, 5000.0, 0.001, 1.0, 1.0
87, 0.002879607097291143, 1.633865553383383, 0.3113513857165489, 0.9381036590878115, 5000.0, 0.001, 1.0, 1.0
88, 0.002874917750913226, 1.683615876001661, 0.2632465236028892, 0.9379719884421766, 5000.0, 0.001, 1.0, 1.0
89, 0.0028705960640822057, 1.724971809019468, 0.21412455133956726, 0.9377894837249562, 5000.0, 0.001, 1.0, 1.0
90, 0.0028666587855634335, 1.7593207266631747, 0.17948424007863673, 0.9375543812385221, 5000.0, 0.001, 1.0, 1.0
91, 0.002863211157852654, 1.7884054380676988, 0.15904777137479892, 0.9372677444367874, 5000.0, 0.001, 1.0, 1.0
92, 0.0028604150302210768, 1.8137865357275156, 0.13967430645565504, 0.9369366766557284, 5000.0, 0.001, 1.0, 1.0
93, 0.0028583983711349984, 1.836946622700559, 0.11446146958147214, 0.9365714520328288, 5000.0, 0.001, 1.0, 1.0
94, 0.002857165073628849, 1.8595075828536152, 0.09020619298875591, 0.9361800731991036, 5000.0, 0.001, 1.0, 1.0
95, 0.002856558956610242, 1.883187064219762, 0.07606163300644417, 0.9357641938989136, 5000.0, 0.001, 1.0, 1.0
