Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
120061, 1.8767801673104674e-07, 8.766577736560392e-05, 0.0002625038933676584, 3.4894363731526304e-06, 5000.0, 5000.0, 1.0, 1.0
120062, 1.8884917529783116e-07, 8.724854067218189e-05, 0.0003957090967390625, 3.7014791551445575e-06, 5000.0, 5000.0, 1.0, 1.0
120063, 1.8910902863080616e-07, 8.707554832520926e-05, 0.00048447834753069367, 3.810330089229331e-06, 5000.0, 5000.0, 1.0, 1.0
120064, 1.893576241269192e-07, 8.701589239702031e-05, 0.0005090272488586267, 3.848835796573541e-06, 5000.0, 5000.0, 1.0, 1.0
120065, 1.9017981138599212e-07, 8.684138428680209e-05, 0.00056173768019008, 3.9553491536173015e-06, 5000.0, 5000.0, 1.0, 1.0
120066, 1.9241783016714947e-07, 8.635995743287063e-05, 0.0006650083168791721, 4.236589326148242e-06, 5000.0, 5000.0, 1.0, 1.0
120067, 1.9852750682611123e-07, 8.503327851835791e-05, 0.0008748627032406736, 5.052680213362228e-06, 5000.0, 5000.0, 1.0, 1.0
120068, 2.1660449330443138e-07, 8.180598353663285e-05, 0.0012362521962307322, 7.534669982708806e-06, 5000.0, 5000.0, 1.0, 1.0
120069, 2.6312606954261167e-07, 7.675487220360339e-05, 0.0014271521110444734, 1.3291825877896038e-05, 5000.0, 5000.0, 1.0, 1.0
120070, 4.268463133941542e-07, 6.656238823497553e-05, 0.0013058168293968184, 2.278053662749179e-05, 5000.0, 5000.0, 1.0, 1.0
120071, 5.815243383338569e-07, 6.219851213734137e-05, 0.001467569744690425, 2.870184316142511e-05, 5000.0, 5000.0, 1.0, 1.0
120072, 5.710157377778305e-07, 6.13702097432735e-05, 0.0012907040137894784, 2.6430195189095622e-05, 5000.0, 5000.0, 1.0, 1.0
120073, 5.407104402203526e-07, 6.0487190852275626e-05, 0.001077508688948729, 2.3747839634853752e-05, 5000.0, 5000.0, 1.0, 1.0
120074, 5.465440576422446e-07, 5.954974116542269e-05, 0.0010122643426027343, 2.384262605534281e-05, 5000.0, 5000.0, 1.0, 1.0
120075, 6.153336506471709e-07, 5.771863392750797e-05, 0.0010880372985221608, 2.7244018952610208e-05, 5000.0, 5000.0, 1.0, 1.0
120076, 6.974704903703231e-07, 5.676391719355882e-05, 0.0012581571581882782, 3.0321490740498232e-05, 5000.0, 5000.0, 1.0, 1.0
120077, 7.977034918624112e-07, 5.5838362677996755e-05, 0.0014057837970259041, 3.424224916434122e-05, 5000.0, 5000.0, 1.0, 1.0
120078, 8.753300996968072e-07, 5.530631263107969e-05, 0.0014825287296808438, 3.775110792481157e-05, 5000.0, 5000.0, 1.0, 1.0
120079, 8.7987284592925e-07, 5.525452383876916e-05, 0.001475147763771254, 3.779049870357777e-05, 5000.0, 5000.0, 1.0, 1.0
120080, 8.701358806793838e-07, 5.525383037457292e-05, 0.0014499842859988757, 3.7180583118532464e-05, 5000.0, 5000.0, 1.0, 1.0
120081, 8.522159821627704e-07, 5.524137817363015e-05, 0.0014031806215976134, 3.598910930352558e-05, 5000.0, 5000.0, 1.0, 1.0
120082, 8.431405558477018e-07, 5.503921455231209e-05, 0.0013623974929916928, 3.474132575935892e-05, 5000.0, 5000.0, 1.0, 1.0
120083, 9.163717021090764e-07, 5.368582360941048e-05, 0.0015977506702517805, 3.563694684760728e-05, 5000.0, 5000.0, 1.0, 1.0
120084, 9.281120896234431e-07, 5.323689608753491e-05, 0.0017499117358635834, 3.762426852128016e-05, 5000.0, 5000.0, 1.0, 1.0
120085, 9.119985369057318e-07, 5.2286279715175915e-05, 0.0019084567867282735, 4.3257083945012795e-05, 5000.0, 5000.0, 1.0, 1.0
120086, 8.603696176568023e-07, 5.128428682990043e-05, 0.0019136377498026413, 5.289362236529146e-05, 5000.0, 5000.0, 1.0, 1.0
