Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
122061, 4.826041660885753e-08, 0.00043674832041394097, 3.256027457580087e-05, 3.348451441354333e-07, 5000.0, 1.0, 1.0, 1.0
122062, 4.825792196579784e-08, 0.0004367574279831288, 3.2560490029241394e-05, 3.3484512476696123e-07, 5000.0, 1.0, 1.0, 1.0
122063, 4.82567257681573e-08, 0.0004367682089553847, 3.255416062205263e-05, 3.3484477439522727e-07, 5000.0, 1.0, 1.0, 1.0
122064, 4.8256509057102255e-08, 0.00043677458888902616, 3.2548071980110905e-05, 3.34845005517956e-07, 5000.0, 1.0, 1.0, 1.0
122065, 4.825615128289268e-08, 0.0004367775177625415, 3.2544948042444494e-05, 3.348490882259005e-07, 5000.0, 1.0, 1.0, 1.0
122066, 4.8255320732230966e-08, 0.0004367794037046818, 3.2538351000310074e-05, 3.348780427434147e-07, 5000.0, 1.0, 1.0, 1.0
122067, 4.82543787853578e-08, 0.0004367737318695875, 3.253745312525867e-05, 3.3493190387815497e-07, 5000.0, 1.0, 1.0, 1.0
122068, 4.825324953269346e-08, 0.00043674292436035405, 3.255369202529229e-05, 3.350839358626295e-07, 5000.0, 1.0, 1.0, 1.0
122069, 4.8250379145964354e-08, 0.0004367205210988811, 3.256752671165499e-05, 3.354047784142143e-07, 5000.0, 1.0, 1.0, 1.0
122070, 4.8249313192861734e-08, 0.00043667460212675483, 3.2598857818784384e-05, 3.3572621864973827e-07, 5000.0, 1.0, 1.0, 1.0
122071, 4.824752924155383e-08, 0.0004366737029719475, 3.259817863402578e-05, 3.358341975394099e-07, 5000.0, 1.0, 1.0, 1.0
122072, 4.824448617880319e-08, 0.0004366885096587393, 3.2592998150904746e-05, 3.358725788828057e-07, 5000.0, 1.0, 1.0, 1.0
122073, 4.824370782286167e-08, 0.0004366995430932233, 3.258309762175968e-05, 3.358915616435136e-07, 5000.0, 1.0, 1.0, 1.0
122074, 4.8241810586092644e-08, 0.0004367114185148951, 3.25773783077245e-05, 3.359255525882962e-07, 5000.0, 1.0, 1.0, 1.0
122075, 4.824069304794354e-08, 0.0004367193305620267, 3.257150238992772e-05, 3.359622170425328e-07, 5000.0, 1.0, 1.0, 1.0
122076, 4.82394183757559e-08, 0.0004367242242359667, 3.256730813125897e-05, 3.3600719043200896e-07, 5000.0, 1.0, 1.0, 1.0
122077, 4.8237192978144435e-08, 0.0004367256932193653, 3.256603945150868e-05, 3.3607280234192864e-07, 5000.0, 1.0, 1.0, 1.0
122078, 4.823176435608971e-08, 0.00043673856848032146, 3.255917112178464e-05, 3.362536954637421e-07, 5000.0, 1.0, 1.0, 1.0
122079, 4.82273729646233e-08, 0.00043670552764610293, 3.258905620186932e-05, 3.3630293151025424e-07, 5000.0, 1.0, 1.0, 1.0
122080, 4.822645738276623e-08, 0.00043669983779518677, 3.258023596311897e-05, 3.363413027838526e-07, 5000.0, 1.0, 1.0, 1.0
122081, 4.8226714820550046e-08, 0.00043668276739045444, 3.257458016246852e-05, 3.363926215178353e-07, 5000.0, 1.0, 1.0, 1.0
122082, 4.822665857630919e-08, 0.00043667479993121183, 3.2571369504401195e-05, 3.364616824048605e-07, 5000.0, 1.0, 1.0, 1.0
122083, 4.822182197807946e-08, 0.00043665701102272333, 3.25842177677525e-05, 3.3683902663265574e-07, 5000.0, 1.0, 1.0, 1.0
