Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
80811, 2.2381669016484325e-08, 1.4178392724617372e-05, 4.6524315836348576e-06, 1.3602627198407177e-07, 5000.0, 100.0, 1.0, 1.0
80812, 2.2382050913014747e-08, 1.416840779109098e-05, 4.888785518445576e-06, 1.3612642795271156e-07, 5000.0, 100.0, 1.0, 1.0
80813, 2.2384595097918052e-08, 1.4159345033891933e-05, 5.412846515122389e-06, 1.3623511084383696e-07, 5000.0, 100.0, 1.0, 1.0
80814, 2.2387343835589503e-08, 1.4149423715897178e-05, 6.108286125418491e-06, 1.363579088762093e-07, 5000.0, 100.0, 1.0, 1.0
80815, 2.239821652154048e-08, 1.4146028603299272e-05, 5.681355692874639e-06, 1.364057706761498e-07, 5000.0, 100.0, 1.0, 1.0
80816, 2.248067437112296e-08, 1.4129549382157798e-05, 5.457066541134679e-06, 1.3680067238536061e-07, 5000.0, 100.0, 1.0, 1.0
80817, 2.2545802313555565e-08, 1.4118143712677442e-05, 5.722825918467139e-06, 1.3729440416625117e-07, 5000.0, 100.0, 1.0, 1.0
80818, 2.2584119230763926e-08, 1.411019638577581e-05, 6.089618041077026e-06, 1.3777465522470876e-07, 5000.0, 100.0, 1.0, 1.0
80819, 2.2596179012358406e-08, 1.410611954903241e-05, 6.3064927070834256e-06, 1.3810112728204957e-07, 5000.0, 100.0, 1.0, 1.0
80820, 2.2613202993076158e-08, 1.4098395605397043e-05, 6.680484192020798e-06, 1.389558041866199e-07, 5000.0, 100.0, 1.0, 1.0
80821, 2.2626022260602574e-08, 1.4091257161249841e-05, 6.92410935454087e-06, 1.402591245173242e-07, 5000.0, 100.0, 1.0, 1.0
80822, 2.262619298491771e-08, 1.4087477993845315e-05, 6.814106282099109e-06, 1.4197053632026552e-07, 5000.0, 100.0, 1.0, 1.0
80823, 2.2612891445716205e-08, 1.4088475760221995e-05, 6.424039568864298e-06, 1.435550743751704e-07, 5000.0, 100.0, 1.0, 1.0
80824, 2.2601494742103548e-08, 1.409024651014178e-05, 6.1705748649265746e-06, 1.439836407174252e-07, 5000.0, 100.0, 1.0, 1.0
80825, 2.259138270803454e-08, 1.409145198080885e-05, 5.9232032152743665e-06, 1.445294662018833e-07, 5000.0, 100.0, 1.0, 1.0
80826, 2.259553147488403e-08, 1.4090268839908301e-05, 5.712743601064675e-06, 1.4594168418482525e-07, 5000.0, 100.0, 1.0, 1.0
80827, 2.2652178716214473e-08, 1.4083160088018463e-05, 5.6631932134260805e-06, 1.4933169547424428e-07, 5000.0, 100.0, 1.0, 1.0
80828, 2.2792609106654523e-08, 1.406190278450048e-05, 5.8339266865068135e-06, 1.5568684757671608e-07, 5000.0, 100.0, 1.0, 1.0
80829, 2.313585801609679e-08, 1.4017811493953494e-05, 6.554391583045849e-06, 1.6825460601974126e-07, 5000.0, 100.0, 1.0, 1.0
80830, 2.3226026723829723e-08, 1.4005683760780198e-05, 6.867892287252685e-06, 1.6837686101149953e-07, 5000.0, 100.0, 1.0, 1.0
80831, 2.3253418172417438e-08, 1.4001822433542256e-05, 6.925015838633887e-06, 1.6548907354580617e-07, 5000.0, 100.0, 1.0, 1.0
80832, 2.3308214850607914e-08, 1.3994024441289669e-05, 6.913173496922634e-06, 1.6357096044801896e-07, 5000.0, 100.0, 1.0, 1.0
80833, 2.3634496094037016e-08, 1.395719416534436e-05, 6.934035778351593e-06, 1.5834497076571728e-07, 5000.0, 100.0, 1.0, 1.0
80834, 2.3753581572931713e-08, 1.3944932089936358e-05, 7.037107426047216e-06, 1.5904531303812527e-07, 5000.0, 100.0, 1.0, 1.0
80835, 2.384353208949338e-08, 1.393366036505096e-05, 7.230101021177881e-06, 1.6058474632466755e-07, 5000.0, 100.0, 1.0, 1.0
80836, 2.3966845465173854e-08, 1.3915151467215154e-05, 7.640890991599795e-06, 1.6166995549540746e-07, 5000.0, 100.0, 1.0, 1.0
80837, 2.4096550924249248e-08, 1.3890427867333903e-05, 8.414207047550416e-06, 1.6114036691525857e-07, 5000.0, 100.0, 1.0, 1.0
80838, 2.41211631831094e-08, 1.3873518660400284e-05, 9.131783964709235e-06, 1.5803457197469265e-07, 5000.0, 100.0, 1.0, 1.0
80839, 2.4075619878345774e-08, 1.3867151216198156e-05, 9.403548487959925e-06, 1.5387239909716406e-07, 5000.0, 100.0, 1.0, 1.0
80840, 2.4035474822641292e-08, 1.386792244185044e-05, 9.220673454578895e-06, 1.517252945460229e-07, 5000.0, 100.0, 1.0, 1.0
80841, 2.4002041818569274e-08, 1.387084969095113e-05, 8.892784947391075e-06, 1.5047796635603716e-07, 5000.0, 100.0, 1.0, 1.0
80842, 2.3984843688221475e-08, 1.387230221891711e-05, 8.66351290826285e-06, 1.5023731054094482e-07, 5000.0, 100.0, 1.0, 1.0
80843, 2.3956770821002847e-08, 1.3872714345503252e-05, 8.268672540368796e-06, 1.506219185715464e-07, 5000.0, 100.0, 1.0, 1.0
80844, 2.3931583813075252e-08, 1.386736685673815e-05, 7.97872090766092e-06, 1.5258456365419392e-07, 5000.0, 100.0, 1.0, 1.0
80845, 2.3929496786729695e-08, 1.384655932057315e-05, 8.1208958133934e-06, 1.5866325646343496e-07, 5000.0, 100.0, 1.0, 1.0
80846, 2.402091314598107e-08, 1.3804044343313444e-05, 9.178615834432373e-06, 1.7115522531471114e-07, 5000.0, 100.0, 1.0, 1.0
80847, 2.4202514239135866e-08, 1.3750057421421829e-05, 1.0740911247543598e-05, 1.8657774551359053e-07, 5000.0, 100.0, 1.0, 1.0
80848, 2.4260612978411662e-08, 1.3731790922415773e-05, 1.1203334322066942e-05, 1.944764092665314e-07, 5000.0, 100.0, 1.0, 1.0
80849, 2.4298604917316132e-08, 1.372468682668042e-05, 1.1330281047630357e-05, 1.9870737976033789e-07, 5000.0, 100.0, 1.0, 1.0
80850, 2.4312686923236594e-08, 1.3723066921806454e-05, 1.1302140631830245e-05, 1.9984831236867662e-07, 5000.0, 100.0, 1.0, 1.0
80851, 2.437375291052498e-08, 1.371596170071459e-05, 1.1203599423143404e-05, 2.0569414198227753e-07, 5000.0, 100.0, 1.0, 1.0
80852, 2.443714896877615e-08, 1.3707563062378362e-05, 1.1117912788294535e-05, 2.1474132787338218e-07, 5000.0, 100.0, 1.0, 1.0
80853, 2.4532922608438096e-08, 1.3692009315967486e-05, 1.0978256279699792e-05, 2.3154856003145533e-07, 5000.0, 100.0, 1.0, 1.0
80854, 2.4714202611253422e-08, 1.3670578532495455e-05, 1.0564472450649862e-05, 2.6196900853212644e-07, 5000.0, 100.0, 1.0, 1.0
80855, 2.4799953688394077e-08, 1.3662849438252678e-05, 1.0276431058554817e-05, 2.72493020549315e-07, 5000.0, 100.0, 1.0, 1.0
80856, 2.4844885394612634e-08, 1.3657590245835328e-05, 1.0129920111156981e-05, 2.760054346606568e-07, 5000.0, 100.0, 1.0, 1.0
80857, 2.485469942430046e-08, 1.3653836525333332e-05, 1.0147456381660548e-05, 2.7665820373020586e-07, 5000.0, 100.0, 1.0, 1.0
80858, 2.4866359979659203e-08, 1.3649543263002637e-05, 1.023839932633844e-05, 2.781057840402246e-07, 5000.0, 100.0, 1.0, 1.0
80859, 2.4889445245958775e-08, 1.3645800731651128e-05, 1.0363288834527016e-05, 2.800721247907815e-07, 5000.0, 100.0, 1.0, 1.0
80860, 2.4905129974213464e-08, 1.3643962028872454e-05, 1.0416459573594495e-05, 2.813046554507986e-07, 5000.0, 100.0, 1.0, 1.0
80861, 2.4939757926243934e-08, 1.3640229669205249e-05, 1.0493055709293292e-05, 2.8379890755784186e-07, 5000.0, 100.0, 1.0, 1.0
80862, 2.4962029374439055e-08, 1.3637894834032568e-05, 1.0555143021579099e-05, 2.853158022677647e-07, 5000.0, 100.0, 1.0, 1.0
80863, 2.502238913369841e-08, 1.3631521947541406e-05, 1.059672117005923e-05, 2.890699438402164e-07, 5000.0, 100.0, 1.0, 1.0
80864, 2.5155749912325804e-08, 1.3618068746610754e-05, 1.050060394765935e-05, 2.9608824018217203e-07, 5000.0, 100.0, 1.0, 1.0
80865, 2.5316482094639403e-08, 1.3603731781802408e-05, 1.0030602591330672e-05, 3.030222788485244e-07, 5000.0, 100.0, 1.0, 1.0
80866, 2.5394516762738083e-08, 1.3599128550534383e-05, 9.27609381233876e-06, 3.04260535045322e-07, 5000.0, 100.0, 1.0, 1.0
80867, 2.537296995281703e-08, 1.3601976418577464e-05, 8.86083593839912e-06, 3.0069283963607357e-07, 5000.0, 100.0, 1.0, 1.0
