Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
100661, 1.906919550231157e-08, 4.397388286550455e-05, 3.6575777300402555e-06, 9.280654896213533e-08, 5000.0, 10.0, 1.0, 1.0
100662, 1.9069245865567132e-08, 4.397182912354578e-05, 3.659934985117953e-06, 9.280921417296082e-08, 5000.0, 10.0, 1.0, 1.0
100663, 1.907000375045943e-08, 4.395560597315065e-05, 3.7347441698713733e-06, 9.284131105953738e-08, 5000.0, 10.0, 1.0, 1.0
100664, 1.9070711342803796e-08, 4.394749507004838e-05, 3.7639181163377266e-06, 9.286918894233988e-08, 5000.0, 10.0, 1.0, 1.0
100665, 1.908843684424071e-08, 4.386544121556324e-05, 4.082668200228797e-06, 9.350472775668915e-08, 5000.0, 10.0, 1.0, 1.0
100666, 1.9135154442699015e-08, 4.381281906736806e-05, 4.135032097924108e-06, 9.486823453731768e-08, 5000.0, 10.0, 1.0, 1.0
100667, 1.9178277104927884e-08, 4.3741574922089164e-05, 4.355822493359941e-06, 9.649298663973307e-08, 5000.0, 10.0, 1.0, 1.0
100668, 1.9187492236462068e-08, 4.373433718955202e-05, 4.2632390957266706e-06, 9.698353843710198e-08, 5000.0, 10.0, 1.0, 1.0
100669, 1.919064532279402e-08, 4.3730870294421486e-05, 4.205006724582544e-06, 9.751983371931661e-08, 5000.0, 10.0, 1.0, 1.0
100670, 1.9196174312619116e-08, 4.3718739420099325e-05, 4.190084972376757e-06, 9.86934289934623e-08, 5000.0, 10.0, 1.0, 1.0
100671, 1.9222668063707796e-08, 4.367525869194633e-05, 4.232506247365963e-06, 1.0297887594136162e-07, 5000.0, 10.0, 1.0, 1.0
100672, 1.9270911667088324e-08, 4.3608084304805866e-05, 4.3423656342756e-06, 1.1050761809747809e-07, 5000.0, 10.0, 1.0, 1.0
100673, 1.9302692263758786e-08, 4.354432838541336e-05, 4.525426090925537e-06, 1.1898067953797744e-07, 5000.0, 10.0, 1.0, 1.0
100674, 1.9309706534823377e-08, 4.351333486925504e-05, 4.671025700600178e-06, 1.236694596761446e-07, 5000.0, 10.0, 1.0, 1.0
100675, 1.9305262268451446e-08, 4.3504343220345356e-05, 4.722206714081695e-06, 1.2512837648779605e-07, 5000.0, 10.0, 1.0, 1.0
100676, 1.9298283386215978e-08, 4.34958106310028e-05, 4.7522662693064825e-06, 1.271483818966144e-07, 5000.0, 10.0, 1.0, 1.0
100677, 1.929498998498741e-08, 4.347793543902449e-05, 4.7914296699203576e-06, 1.3165726909016194e-07, 5000.0, 10.0, 1.0, 1.0
100678, 1.929385442340904e-08, 4.343258804659299e-05, 4.907685978129982e-06, 1.4232804608073654e-07, 5000.0, 10.0, 1.0, 1.0
100679, 1.9297180605833108e-08, 4.3380838461689864e-05, 5.079628457408641e-06, 1.5520103296878377e-07, 5000.0, 10.0, 1.0, 1.0
100680, 1.9320703267610398e-08, 4.331697685115132e-05, 5.268061908939233e-06, 1.7022088837349612e-07, 5000.0, 10.0, 1.0, 1.0
100681, 1.934474895349321e-08, 4.325867887355731e-05, 5.420181395458324e-06, 1.8282977191439946e-07, 5000.0, 10.0, 1.0, 1.0
100682, 1.9365112499044328e-08, 4.317044039614981e-05, 5.746844347229613e-06, 2.0271694204786832e-07, 5000.0, 10.0, 1.0, 1.0
100683, 1.9358853082739595e-08, 4.3121112256487874e-05, 6.034505672030184e-06, 2.1228156337837951e-07, 5000.0, 10.0, 1.0, 1.0
100684, 1.9347242248762385e-08, 4.3097569158218484e-05, 6.183696259373508e-06, 2.1358193729684867e-07, 5000.0, 10.0, 1.0, 1.0
100685, 1.9350210561471316e-08, 4.305359533529515e-05, 6.321680281567303e-06, 2.069095408163484e-07, 5000.0, 10.0, 1.0, 1.0
100686, 1.9414230053357965e-08, 4.2928238061618636e-05, 6.619472848258935e-06, 1.8016719610492718e-07, 5000.0, 10.0, 1.0, 1.0
100687, 1.948731797366537e-08, 4.285595820185906e-05, 6.710054288525075e-06, 1.5438676325992813e-07, 5000.0, 10.0, 1.0, 1.0
100688, 1.9532631272913686e-08, 4.278831988398333e-05, 6.784605989915568e-06, 1.378016983491318e-07, 5000.0, 10.0, 1.0, 1.0
100689, 1.9577051844870946e-08, 4.273468205088357e-05, 6.845103278990628e-06, 1.2389694820894197e-07, 5000.0, 10.0, 1.0, 1.0
100690, 1.9593406713977954e-08, 4.270539732863972e-05, 6.915776957003112e-06, 1.1713718559886552e-07, 5000.0, 10.0, 1.0, 1.0
100691, 1.9614936179787577e-08, 4.2652495454142656e-05, 7.101837251898842e-06, 1.0739044937954437e-07, 5000.0, 10.0, 1.0, 1.0
100692, 1.9636390584535997e-08, 4.259292046049114e-05, 7.349153085453261e-06, 9.982569517461578e-08, 5000.0, 10.0, 1.0, 1.0
100693, 1.965454193977773e-08, 4.253522433977071e-05, 7.5972094516112e-06, 9.543757779998013e-08, 5000.0, 10.0, 1.0, 1.0
100694, 1.9656101131105728e-08, 4.249744551462962e-05, 7.781598028261047e-06, 9.41619958486973e-08, 5000.0, 10.0, 1.0, 1.0
100695, 1.9649042191253614e-08, 4.246495317757482e-05, 7.960224332775929e-06, 9.485936725328465e-08, 5000.0, 10.0, 1.0, 1.0
100696, 1.964378016698701e-08, 4.243593800776656e-05, 8.100103834029359e-06, 9.778701615928082e-08, 5000.0, 10.0, 1.0, 1.0
100697, 1.964982998038613e-08, 4.2389339286042895e-05, 8.270403470717769e-06, 1.0798224404499679e-07, 5000.0, 10.0, 1.0, 1.0
100698, 1.96623249706822e-08, 4.231454140741551e-05, 8.567278922275026e-06, 1.2953544144347134e-07, 5000.0, 10.0, 1.0, 1.0
100699, 1.968385274283536e-08, 4.2262670270309724e-05, 8.736524583774671e-06, 1.429473139040804e-07, 5000.0, 10.0, 1.0, 1.0
100700, 1.9695742722402948e-08, 4.2242016595992145e-05, 8.774611063243951e-06, 1.4132140558060314e-07, 5000.0, 10.0, 1.0, 1.0
100701, 1.970794836634263e-08, 4.2210358115093167e-05, 8.850788667046143e-06, 1.3302229489095197e-07, 5000.0, 10.0, 1.0, 1.0
100702, 1.9719563894816273e-08, 4.2152121507605835e-05, 9.091488264804544e-06, 1.1805445127983109e-07, 5000.0, 10.0, 1.0, 1.0
100703, 1.9726421865315504e-08, 4.209400031337334e-05, 9.357548671986758e-06, 1.031191243318152e-07, 5000.0, 10.0, 1.0, 1.0
100704, 1.973595938345986e-08, 4.204399674365804e-05, 9.591132024923878e-06, 9.556238782594959e-08, 5000.0, 10.0, 1.0, 1.0
100705, 1.9738013927687873e-08, 4.202868698370901e-05, 9.637877804436916e-06, 9.625649356290737e-08, 5000.0, 10.0, 1.0, 1.0
100706, 1.9737755561453892e-08, 4.2018131652707667e-05, 9.636912506771935e-06, 1.0108500938595944e-07, 5000.0, 10.0, 1.0, 1.0
100707, 1.9736027329287378e-08, 4.200604327395783e-05, 9.618968564946025e-06, 1.1387597429246984e-07, 5000.0, 10.0, 1.0, 1.0
100708, 1.9735502207141873e-08, 4.198857380510435e-05, 9.623084619600288e-06, 1.3548074950696633e-07, 5000.0, 10.0, 1.0, 1.0
