Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09786781371915741, 1.2318579772075382e-05, 14.419129100084433, 1.0228767811183463, 500.0, 0.001, 1.0, 1.0
1, 0.09188527802844486, 1.005770082426539e-05, 14.401038074098745, 1.0226462330708983, 500.0, 0.001, 1.0, 1.0
2, 0.08614671354533857, 8.729681967856427e-06, 14.38019481026013, 1.0223423843670802, 500.0, 0.001, 1.0, 1.0
3, 0.08042217033924151, 8.1801330692648e-06, 14.354622828819593, 1.0219448580301642, 500.0, 0.001, 1.0, 1.0
4, 0.07471963060704517, 8.360192973333566e-06, 14.323546246702747, 1.0214289548009856, 500.0, 0.001, 1.0, 1.0
5, 0.0690567867253947, 9.158009272932038e-06, 14.285929460474364, 1.020769912108343, 500.0, 0.001, 1.0, 1.0
6, 0.06346041757771297, 1.0378178006130413e-05, 14.240448065657791, 1.0199423858365055, 500.0, 0.001, 1.0, 1.0
7, 0.05796748980408241, 1.183947225282491e-05, 14.185517965673268, 1.0189196752197625, 500.0, 0.001, 1.0, 1.0
8, 0.05261758650547972, 1.3445435589661367e-05, 14.119280486429624, 1.0176720003363826, 500.0, 0.001, 1.0, 1.0
9, 0.04744881879790113, 1.523693484414122e-05, 14.039527900859433, 1.0161648896477744, 500.0, 0.001, 1.0, 1.0
10, 0.04249655080555363, 1.747791315628893e-05, 13.94358391953189, 1.0143582219344982, 500.0, 0.001, 1.0, 1.0
11, 0.03779256017734102, 2.086814632854739e-05, 13.82813392956903, 1.0122060176533414, 500.0, 0.001, 1.0, 1.0
12, 0.033364092125489346, 2.7050494079935978e-05, 13.688986101591857, 1.009657493185562, 500.0, 0.001, 1.0, 1.0
13, 0.029233037410547988, 3.974883030193105e-05, 13.520750704271745, 1.0066592838957238, 500.0, 0.001, 1.0, 1.0
14, 0.02541540936187607, 6.720959351383586e-05, 13.31637351507982, 1.0031584642641413, 500.0, 0.001, 1.0, 1.0
15, 0.021921245093636344, 0.0001272689487293111, 13.066473203730729, 0.9991062640408169, 500.0, 0.001, 1.0, 1.0
16, 0.018754930070124468, 0.00025758216592054116, 12.75854405496603, 0.9944625051468192, 500.0, 0.001, 1.0, 1.0
17, 0.015915815834386532, 0.0005357424147931795, 12.376369417001285, 0.9892001518479342, 500.0, 0.001, 1.0, 1.0
18, 0.013399006544901795, 0.0011177558614628052, 11.900466368198236, 0.9833099648190933, 500.0, 0.001, 1.0, 1.0
19, 0.011196102552860564, 0.0023092677861616087, 11.311280606332854, 0.976804607011086, 500.0, 0.001, 1.0, 1.0
20, 0.00929573054971721, 0.004692234592651501, 10.597997882437566, 0.9697201643079798, 500.0, 0.001, 1.0, 1.0
21, 0.007683919493543675, 0.009339059780831318, 9.77654410688636, 0.9621152571132064, 500.0, 0.001, 1.0, 1.0
22, 0.006344490195349074, 0.018150888116785033, 8.91927071682744, 0.9540734732769339, 500.0, 0.001, 1.0, 1.0
23, 0.005259705777343388, 0.03432983146642087, 8.190091246376197, 0.9457257280663932, 500.0, 0.001, 1.0, 1.0
24, 0.0044121237918208185, 0.06275988310100035, 7.836951968310635, 0.9373548769995732, 500.0, 0.001, 1.0, 1.0
25, 0.003788101535085903, 0.10874212616223818, 7.952304432801265, 0.929768095984176, 500.0, 0.001, 1.0, 1.0
