Epoch, l_theta, l_f, l_top, l_bottom, weight_f, weight_flux
0, 0.09493142307191184, 4.9285638632771666e-06, 1.4411235342686348, 1.022606252195402, 100000.0, 0.1
1, 0.09552463351551292, 6.399315384554606e-09, 1.4407234858859943, 1.022767098456331, 100000.0, 0.1
2, 0.095171534821918, 1.7910977013028034e-06, 1.4402742982593737, 1.0228364966557828, 100000.0, 0.1
3, 0.09383012720831996, 2.118648524838652e-06, 1.4398367309626934, 1.02280183811993, 100000.0, 0.1
4, 0.09214108347857886, 1.0317205471480682e-06, 1.439384628758006, 1.022715750851664, 100000.0, 0.1
5, 0.09039529264672004, 1.7698321330986611e-07, 1.438897925039909, 1.0226064280055553, 100000.0, 0.1
6, 0.08872663283311046, 4.523242098550926e-08, 1.4383784623507319, 1.0224914168507968, 100000.0, 0.1
7, 0.08721225686680549, 3.747835368012548e-07, 1.4378849177511606, 1.0223843690612457, 100000.0, 0.1
8, 0.08589487893191015, 7.259519158955405e-07, 1.4375536093938954, 1.0222946754934736, 100000.0, 0.1
9, 0.08477668811045799, 8.354116724746426e-07, 1.4374651916863672, 1.0222259518648678, 100000.0, 0.1
10, 0.08382330155487173, 6.951526921030237e-07, 1.4375759323430668, 1.0221765956806461, 100000.0, 0.1
11, 0.08298225466912108, 4.356304965652988e-07, 1.437813562898023, 1.0221420187910841, 100000.0, 0.1
12, 0.08219919992708559, 1.9579676076213054e-07, 1.4381173996179875, 1.0221165684101974, 100000.0, 0.1
13, 0.08142715475430967, 5.854744921044518e-08, 1.438436645899916, 1.0220945353980115, 100000.0, 0.1
14, 0.0806305979996129, 4.031863310182982e-08, 1.4387279824489758, 1.0220705533356595, 100000.0, 0.1
15, 0.07978630416903063, 1.0666705570570567e-07, 1.4389584026353568, 1.0220398055808033, 100000.0, 0.1
16, 0.07888256314284978, 1.9792145204132193e-07, 1.4391090191719489, 1.021998313629125, 100000.0, 0.1
17, 0.07791702552453346, 2.582305631505366e-07, 1.4391746729346648, 1.0219433126155966, 100000.0, 0.1
18, 0.07689294166025892, 2.59058656408922e-07, 1.4391597027765988, 1.0218734958158284, 100000.0, 0.1
19, 0.07581509787995024, 2.0649534103009573e-07, 1.4390736160956878, 1.0217889709027783, 100000.0, 0.1
20, 0.07468731106673404, 1.3097187274185224e-07, 1.4389289169758497, 1.021691012040039, 100000.0, 0.1
21, 0.07351217850900721, 6.864960653390544e-08, 1.4387413808380436, 1.0215817890384977, 100000.0, 0.1
22, 0.07229251820116497, 4.5033766748151985e-08, 1.4385321805862432, 1.0214641821032322, 100000.0, 0.1
23, 0.07103303333929617, 6.605995481203724e-08, 1.438330669670453, 1.0213416685665118, 100000.0, 0.1
24, 0.0697407083857871, 1.1740405572251894e-07, 1.4381749722649249, 1.0212181535814493, 100000.0, 0.1
25, 0.0684233226476949, 1.7161464926865827e-07, 1.4381058345176543, 1.0210975806530724, 100000.0, 0.1
26, 0.06708654806148422, 2.0144756449413612e-07, 1.4381534602593542, 1.020983269394218, 100000.0, 0.1
27, 0.06573100039272425, 1.9377770258839854e-07, 1.4383269763758992, 1.020877139714892, 100000.0, 0.1
28, 0.0643508801344622, 1.5645835238343357e-07, 1.4386147486668877, 1.0207790703426138, 100000.0, 0.1
29, 0.06293489809556799, 1.1443906092570156e-07, 1.4389912420824824, 1.02068649485552, 100000.0, 0.1
30, 0.06146888679156946, 9.653180814017297e-08, 1.4394231995327447, 1.0205941954934572, 100000.0, 0.1
31, 0.05993915873375897, 1.1745607582401109e-07, 1.4398738835368834, 1.020494376474403, 100000.0, 0.1
32, 0.05833612673346762, 1.6465792727219125e-07, 1.4403080140614, 1.0203774918549329, 100000.0, 0.1
33, 0.05665729292573205, 2.0486293472802122e-07, 1.4406993825272814, 1.0202344265865673, 100000.0, 0.1
34, 0.0549074158868249, 2.1406829244100634e-07, 1.4410393711292686, 1.02005947096499, 100000.0, 0.1
35, 0.05309634005448168, 2.0307804119895732e-07, 1.4413420165528357, 1.019852446744969, 100000.0, 0.1
36, 0.05123903186990544, 2.0720803655810388e-07, 1.4416433949024319, 1.0196196717625912, 100000.0, 0.1
37, 0.04935822705893898, 2.474532190019001e-07, 1.4419935902663825, 1.0193741589538308, 100000.0, 0.1
38, 0.04748361777586259, 3.030052590223342e-07, 1.4424379940676124, 1.0191337940825977, 100000.0, 0.1
39, 0.045642897401086416, 3.3025102261971544e-07, 1.4429951393295406, 1.0189155046211171, 100000.0, 0.1
40, 0.04385032858155075, 3.125770591180059e-07, 1.443648343816624, 1.0187273105026007, 100000.0, 0.1
41, 0.04210279067631782, 2.7970661235046285e-07, 1.444353278319969, 1.018563545656997, 100000.0, 0.1
42, 0.040384041525094214, 2.684661998945902e-07, 1.445050810549188, 1.0184054844295198, 100000.0, 0.1
43, 0.03867244168885785, 2.7135454645001244e-07, 1.445684261671249, 1.0182277721482216, 100000.0, 0.1
44, 0.03694943564661832, 2.5212837710558923e-07, 1.4462241327443512, 1.0180104438073503, 100000.0, 0.1
