Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09537214754259576, 0.06413352158599657, 0.0010894334259760256, 0.0010684678729450663, 100.0, 100.0, 0.001, 0.001
1, 0.09376278335293013, 0.47153701786315866, 0.0010858915529631788, 0.0010692283822978828, 100.0, 100.0, 0.001, 0.001
2, 0.09533587374624486, 0.10459085046365513, 0.0010774894774830672, 0.0010695595928842925, 100.0, 100.0, 0.001, 0.001
3, 0.09650903999515875, 0.01597339135734046, 0.0010717012668805177, 0.0010696932211915167, 100.0, 100.0, 0.001, 0.001
4, 0.09708392587251677, 0.08469049907372533, 0.0010680365319788768, 0.0010697855651527043, 100.0, 100.0, 0.001, 0.001
5, 0.09724942598412023, 0.11213206185860526, 0.001065376945119982, 0.00106996966666532, 100.0, 100.0, 0.001, 0.001
6, 0.09714182377750105, 0.08069307355008137, 0.001063235606006091, 0.001070219784732154, 100.0, 100.0, 0.001, 0.001
7, 0.09683917734234539, 0.042511378480404906, 0.0010614042169917852, 0.001070477223915835, 100.0, 100.0, 0.001, 0.001
8, 0.09638603334829092, 0.018616177724006408, 0.001059794246388167, 0.0010707063260528482, 100.0, 100.0, 0.001, 0.001
9, 0.09581479169956815, 0.007256852447392015, 0.0010583668214289139, 0.0010708950340600838, 100.0, 100.0, 0.001, 0.001
10, 0.09515363342849194, 0.0027579537735006824, 0.0010570997460504499, 0.0010710446605366605, 100.0, 100.0, 0.001, 0.001
11, 0.09442644863240132, 0.001343472227204483, 0.001055975397302573, 0.0010711614413983974, 100.0, 100.0, 0.001, 0.001
12, 0.09365194889616935, 0.0011536087023265279, 0.0010549771623660754, 0.0010712522437003442, 100.0, 100.0, 0.001, 0.001
13, 0.09284379625969334, 0.0013914715483399989, 0.001054088922945001, 0.0010713229912507967, 100.0, 100.0, 0.001, 0.001
14, 0.0920114195886151, 0.0017517694769645297, 0.0010532953932177731, 0.0010713783118371152, 100.0, 100.0, 0.001, 0.001
15, 0.09116103889543854, 0.002136518950582086, 0.0010525825224601, 0.0010714216237314694, 100.0, 100.0, 0.001, 0.001
16, 0.09029662086647018, 0.00252597628783433, 0.0010519377640094366, 0.0010714553458205762, 100.0, 100.0, 0.001, 0.001
17, 0.08942065685745572, 0.002921210605616661, 0.0010513502013861635, 0.0010714811241036484, 100.0, 100.0, 0.001, 0.001
18, 0.08853475099508694, 0.0033193892086245424, 0.0010508105604665244, 0.0010715000448582937, 100.0, 100.0, 0.001, 0.001
19, 0.08764004180454885, 0.0037059390842052943, 0.0010503111334934413, 0.0010715128284733927, 100.0, 100.0, 0.001, 0.001
20, 0.08673748328448139, 0.004056991350785168, 0.0010498456293932179, 0.001071520001754017, 100.0, 100.0, 0.001, 0.001
21, 0.08582800387863285, 0.0043477164431586736, 0.00104940895770908, 0.0010715220442156148, 100.0, 100.0, 0.001, 0.001
22, 0.08491255824951252, 0.004561759763945181, 0.0010489969602108758, 0.0010715195014066442, 100.0, 100.0, 0.001, 0.001
23, 0.08399208989440873, 0.004697056972837336, 0.001048606124117848, 0.001071513058248714, 100.0, 100.0, 0.001, 0.001
24, 0.0830674292051541, 0.004765310762586898, 0.0010482333278045298, 0.0010715035682649216, 100.0, 100.0, 0.001, 0.001
25, 0.08213915768809996, 0.0047857618750664615, 0.0010478756671450159, 0.001071492039328396, 100.0, 100.0, 0.001, 0.001
26, 0.0812074720841481, 0.004776688929140087, 0.0010475303878027717, 0.0010714795816933436, 100.0, 100.0, 0.001, 0.001
27, 0.08027208063552882, 0.004748772732369364, 0.0010471949191935728, 0.0010714673286096568, 100.0, 100.0, 0.001, 0.001
28, 0.07933215708729117, 0.004702969576144121, 0.0010468669819980304, 0.001071456343364444, 100.0, 100.0, 0.001, 0.001
29, 0.07838636638114513, 0.004633027139046765, 0.0010465447271676889, 0.0010714475286220247, 100.0, 100.0, 0.001, 0.001
30, 0.07743296105810153, 0.004530699263230048, 0.0010462268600712776, 0.0010714415535592492, 100.0, 100.0, 0.001, 0.001
31, 0.07646993243602813, 0.004390949767586692, 0.0010459127088237718, 0.0010714388108584722, 100.0, 100.0, 0.001, 0.001
32, 0.07549518962779247, 0.004215010038913634, 0.001045602211059441, 0.001071439409536031, 100.0, 100.0, 0.001, 0.001
33, 0.07450673533318138, 0.004010486422628561, 0.001045295815623724, 0.00107144320245054, 100.0, 100.0, 0.001, 0.001
34, 0.07350281066654957, 0.003789050142050311, 0.001044994318326884, 0.001071449841171689, 100.0, 100.0, 0.001, 0.001
35, 0.07248199028173273, 0.0035630441045818788, 0.0010446986667043475, 0.0010714588471558355, 100.0, 100.0, 0.001, 0.001
36, 0.071443220583553, 0.0033424380038246412, 0.0010444097732556794, 0.0010714696872903585, 100.0, 100.0, 0.001, 0.001
37, 0.07038580470978605, 0.0031331064689017647, 0.0010441283699715756, 0.0010714818433543362, 100.0, 100.0, 0.001, 0.001
38, 0.06930934599602721, 0.0029367077413703507, 0.001043854922885032, 0.0010714948678690335, 100.0, 100.0, 0.001, 0.001
39, 0.06821366583636647, 0.002751816771414051, 0.0010435896092887136, 0.001071508422228828, 100.0, 100.0, 0.001, 0.001
40, 0.06709871239149597, 0.0025756231776106996, 0.0010433323469452738, 0.0010715222961875364, 100.0, 100.0, 0.001, 0.001
41, 0.06596447437182547, 0.002405495193769501, 0.001043082856873045, 0.001071536410291658, 100.0, 100.0, 0.001, 0.001
42, 0.06481091032142987, 0.0022399523699029845, 0.00104284073961388, 0.0010715508045187683, 100.0, 100.0, 0.001, 0.001
43, 0.0636378995543052, 0.0020789244234384655, 0.0010426055480156698, 0.0010715656172019577, 100.0, 100.0, 0.001, 0.001
44, 0.0624452169530501, 0.001923449623402114, 0.0010423768453102318, 0.0010715810584298539, 100.0, 100.0, 0.001, 0.001
45, 0.06123253067688981, 0.0017750994094669695, 0.0010421542434310078, 0.0010715973817014847, 100.0, 100.0, 0.001, 0.001
46, 0.05999941958694684, 0.0016354053932163474, 0.00104193742152778, 0.0010716148568928054, 100.0, 100.0, 0.001, 0.001
47, 0.05874540584392357, 0.0015054652342120257, 0.0010417261278136112, 0.001071633746736661, 100.0, 100.0, 0.001, 0.001
48, 0.05746999754900735, 0.0013857832665095144, 0.001041520169272146, 0.001071654288163533, 100.0, 100.0, 0.001, 0.001
49, 0.056172736344871334, 0.0012763093972867677, 0.001041319393825406, 0.0010716766790830458, 100.0, 100.0, 0.001, 0.001
50, 0.054853245430689444, 0.0011765948777856812, 0.0010411236688921564, 0.001071701070554675, 100.0, 100.0, 0.001, 0.001
51, 0.053511274330546095, 0.0010859809800731603, 0.0010409328593465462, 0.0010717275638221, 100.0, 100.0, 0.001, 0.001
52, 0.052146737840550204, 0.0010037596131441595, 0.0010407468070268836, 0.0010717562113725426, 100.0, 100.0, 0.001, 0.001
53, 0.05075974771902666, 0.0009292759635141884, 0.0010405653132715695, 0.0010717870210197877, 100.0, 100.0, 0.001, 0.001
54, 0.04935063674279366, 0.0008619700915647087, 0.0010403881254677637, 0.0010718199619772217, 100.0, 100.0, 0.001, 0.001
55, 0.047919975625461436, 0.0008013713966091042, 0.0010402149282218848, 0.0010718549719578201, 100.0, 100.0, 0.001, 0.001
56, 0.04646858391421804, 0.0007470665349951079, 0.0010400453394309502, 0.0010718919644807099, 100.0, 100.0, 0.001, 0.001
57, 0.044997536324785446, 0.0006986602405826627, 0.0010398789112119223, 0.0010719308357476085, 100.0, 100.0, 0.001, 0.001
58, 0.04350816605297977, 0.0006557430032387727, 0.0010397151353312114, 0.0010719714706492176, 100.0, 100.0, 0.001, 0.001
59, 0.04200206645698859, 0.0006178727909349594, 0.001039553452492514, 0.001072013747648914, 100.0, 100.0, 0.001, 0.001
60, 0.04048109219540224, 0.0005845720654893592, 0.001039393264621122, 0.0010720575424531535, 100.0, 100.0, 0.001, 0.001
61, 0.038947360496071746, 0.0005553372904129171, 0.0010392339491531073, 0.0010721027305058666, 100.0, 100.0, 0.001, 0.001
62, 0.03740325278026972, 0.0005296561539777575, 0.0010390748743094454, 0.0010721491884349546, 100.0, 100.0, 0.001, 0.001
63, 0.03585141642602327, 0.0005070274812030558, 0.0010389154144023502, 0.0010721967946345204, 100.0, 100.0, 0.001, 0.001
64, 0.03429476606209867, 0.0004869796947739022, 0.0010387549643639921, 0.0010722454291915357, 100.0, 100.0, 0.001, 0.001
65, 0.032736483465693564, 0.0004690851046549075, 0.0010385929528787421, 0.0010722949733666884, 100.0, 100.0, 0.001, 0.001
66, 0.031180014907430626, 0.0004529687794776979, 0.0010384288537096796, 0.0010723453088229546, 100.0, 100.0, 0.001, 0.001
67, 0.029629064653614572, 0.00043831197411951713, 0.0010382621950122898, 0.0010723963167683602, 100.0, 100.0, 0.001, 0.001
68, 0.028087583299358062, 0.0004248509190948359, 0.0010380925666034538, 0.0010724478771467682, 100.0, 100.0, 0.001, 0.001
69, 0.02655974966539233, 0.0004123722084112093, 0.0010379196252900244, 0.0010724998679765257, 100.0, 100.0, 0.001, 0.001
70, 0.025049945142773686, 0.00040070612193908483, 0.0010377430984538664, 0.0010725521649043888, 100.0, 100.0, 0.001, 0.001
71, 0.023562719608840644, 0.00038971908827479623, 0.0010375627861404673, 0.0010726046410132356, 100.0, 100.0, 0.001, 0.001
72, 0.02210274835897784, 0.0003793062373910657, 0.0010373785619116399, 0.0010726571668976087, 100.0, 100.0, 0.001, 0.001
73, 0.020674779894220258, 0.0003693846934028297, 0.0010371903727072979, 0.0010727096110015025, 100.0, 100.0, 0.001, 0.001
74, 0.01928357486338206, 0.0003598879748462415, 0.001036998237925599, 0.0010727618401978332, 100.0, 100.0, 0.001, 0.001
75, 0.017933836964473007, 0.0003507616359325371, 0.001036802247883457, 0.0010728137205782814, 100.0, 100.0, 0.001, 0.001
76, 0.016630137142199245, 0.0003419601099755025, 0.001036602561768051, 0.0010728651184150743, 100.0, 100.0, 0.001, 0.001
77, 0.01537683294861941, 0.00033344460454748733, 0.0010363994051406607, 0.0010729159012521864, 100.0, 100.0, 0.001, 0.001
78, 0.014177985428936175, 0.0003251818381854767, 0.0010361930670115293, 0.0010729659390817372, 100.0, 100.0, 0.001, 0.001
79, 0.013037276315919779, 0.000317143388938616, 0.0010359838964715932, 0.001073015105561588, 100.0, 100.0, 0.001, 0.001
80, 0.011957928624772723, 0.0003093054340228062, 0.0010357722988455229, 0.0010730632792318277, 100.0, 100.0, 0.001, 0.001
81, 0.01094263389753116, 0.00030164868721062387, 0.001035558731321163, 0.0010731103446907143, 100.0, 100.0, 0.001, 0.001
82, 0.009993489321052436, 0.0002941583783315549, 0.0010353436980126008, 0.0010731561936944225, 100.0, 100.0, 0.001, 0.001
83, 0.009111947715261201, 0.0002868241614080476, 0.0010351277444265426, 0.0010732007261495167, 100.0, 100.0, 0.001, 0.001
84, 0.008298782954208522, 0.0002796398801811079, 0.0010349114513224771, 0.0010732438509722041, 100.0, 100.0, 0.001, 0.001
85, 0.007554072755804775, 0.00027260315899639445, 0.001034695427984032, 0.001073285486794115, 100.0, 100.0, 0.001, 0.001
86, 0.006877199990502593, 0.0002657148210385944, 0.0010344803049493736, 0.0010733255625003037, 100.0, 100.0, 0.001, 0.001
87, 0.006266872766326465, 0.0002589781632149181, 0.001034266726279867, 0.0010733640175913505, 100.0, 100.0, 0.001, 0.001
88, 0.005721162612726636, 0.00025239813667199016, 0.0010340553414760246, 0.0010734008023675658, 100.0, 100.0, 0.001, 0.001
89, 0.005237559181152513, 0.00024598049360841556, 0.0010338467971757396, 0.0010734358779391974, 100.0, 100.0, 0.001, 0.001
90, 0.004813039077511465, 0.00023973096487969858, 0.0010336417287901284, 0.0010734692160719683, 100.0, 100.0, 0.001, 0.001
91, 0.004444145803221532, 0.00023365452956609393, 0.0010334407522456332, 0.001073500798882018, 100.0, 100.0, 0.001, 0.001
