Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09538504523948282, 0.06032061580230457, 0.0010263167637220663, 0.0010684846155570888, 100.0, 100.0, 0.001, 0.001
1, 0.09374920187106799, 0.4777932059260848, 0.001023241709853761, 0.0010692228035680093, 100.0, 100.0, 0.001, 0.001
2, 0.0954386700973201, 0.09830818402899572, 0.0010150288169220928, 0.001069577096955715, 100.0, 100.0, 0.001, 0.001
3, 0.09668051990536766, 0.01814267009936654, 0.0010093929768233774, 0.0010697299600749446, 100.0, 100.0, 0.001, 0.001
4, 0.09729232009960731, 0.09291414641819837, 0.0010058288743855916, 0.001069844814372029, 100.0, 100.0, 0.001, 0.001
5, 0.09747817045437746, 0.11525143733482468, 0.0010032878925718153, 0.0010700521586038837, 100.0, 100.0, 0.001, 0.001
6, 0.09737779392284472, 0.0790222381317729, 0.0010013009971494781, 0.0010703163209170384, 100.0, 100.0, 0.001, 0.001
7, 0.09707302189489646, 0.03976753258097811, 0.0009996429524553577, 0.0010705786876219927, 100.0, 100.0, 0.001, 0.001
8, 0.09661122522568671, 0.01644111666902355, 0.0009982096663192022, 0.0010708066967490216, 100.0, 100.0, 0.001, 0.001
9, 0.09602767145683007, 0.005816985473053711, 0.0009969524258745257, 0.001070991286199019, 100.0, 100.0, 0.001, 0.001
10, 0.09535294972794009, 0.0018173874358772817, 0.0009958441559494225, 0.0010711357884964662, 100.0, 100.0, 0.001, 0.001
11, 0.09461257331287472, 0.0006570520971618067, 0.0009948655818289355, 0.001071247584502829, 100.0, 100.0, 0.001, 0.001
12, 0.09382616520152055, 0.0005351972022801509, 0.000994000245157916, 0.0010713341402696455, 100.0, 100.0, 0.001, 0.001
13, 0.09300775810463885, 0.0007065502643104243, 0.0009932330821953747, 0.0010714016749518351, 100.0, 100.0, 0.001, 0.001
14, 0.09216675392728654, 0.0009062223059697125, 0.0009925502269464179, 0.0010714549369799944, 100.0, 100.0, 0.001, 0.001
15, 0.09130905914648602, 0.0010719576984711985, 0.0009919391163994346, 0.0010714973493604104, 100.0, 100.0, 0.001, 0.001
16, 0.0904381400551395, 0.001218632027943845, 0.0009913886089537324, 0.0010715312443219229, 100.0, 100.0, 0.001, 0.001
17, 0.08955589763973576, 0.0013800635370568436, 0.0009908890492559249, 0.0010715581004805271, 100.0, 100.0, 0.001, 0.001
18, 0.08866334778713016, 0.0015802814547632232, 0.0009904322757744728, 0.0010715787635902014, 100.0, 100.0, 0.001, 0.001
19, 0.08776112521955333, 0.0018204550968059356, 0.000990011581862893, 0.0010715936510757157, 100.0, 100.0, 0.001, 0.001
20, 0.08684983326263075, 0.002077767113650414, 0.0009896216348755703, 0.001071602942227763, 100.0, 100.0, 0.001, 0.001
21, 0.08593025513572956, 0.0023146898747524835, 0.000989258338845251, 0.0010716067517740323, 100.0, 100.0, 0.001, 0.001
22, 0.0850034379988291, 0.0024949007493231556, 0.0009889186137027653, 0.001071605279291101, 100.0, 100.0, 0.001, 0.001
23, 0.08407066306706489, 0.0025988867488074526, 0.0009886000831512522, 0.001071598923595056, 100.0, 100.0, 0.001, 0.001
24, 0.08313332222669982, 0.0026317603453254157, 0.0009883007119343924, 0.0010715883517652082, 100.0, 100.0, 0.001, 0.001
25, 0.08219273018051867, 0.002619548084436132, 0.000988018473906792, 0.0010715745166324096, 100.0, 100.0, 0.001, 0.001
26, 0.0812499081882515, 0.002596274912826254, 0.0009877511315115012, 0.0010715586223309468, 100.0, 100.0, 0.001, 0.001
27, 0.08030537945776076, 0.002588692591642944, 0.0009874961708216956, 0.0010715420430525758, 100.0, 100.0, 0.001, 0.001
28, 0.07935901627002213, 0.002605951991111456, 0.0009872508930630387, 0.0010715262053619522, 100.0, 100.0, 0.001, 0.001
29, 0.07840997315384139, 0.0026382469227209646, 0.0009870126300828364, 0.001071512450004808, 100.0, 100.0, 0.001, 0.001
30, 0.07745672671598293, 0.002663792490197918, 0.0009867790269826125, 0.0010715018944770054, 100.0, 100.0, 0.001, 0.001
31, 0.07649722136603725, 0.0026599232206876403, 0.0009865483185213378, 0.0010714953202148635, 100.0, 100.0, 0.001, 0.001
32, 0.07552909598482174, 0.0026129960895007755, 0.0009863195234268009, 0.0010714931053171948, 100.0, 100.0, 0.001, 0.001
33, 0.07454994758627233, 0.002523156707750055, 0.0009860925005404106, 0.0010714952147202657, 100.0, 100.0, 0.001, 0.001
34, 0.07355758093828843, 0.0024028141084856056, 0.0009858678504568645, 0.0010715012474774488, 100.0, 100.0, 0.001, 0.001
35, 0.07255019954579252, 0.0022704384242161046, 0.000985646691125368, 0.0010715105295366805, 100.0, 100.0, 0.001, 0.001
36, 0.0715265097570969, 0.0021429283472029813, 0.0009854303681675256, 0.0010715222333733448, 100.0, 100.0, 0.001, 0.001
37, 0.07048573002834135, 0.002029856205251104, 0.000985220170241137, 0.0010715355039086823, 100.0, 100.0, 0.001, 0.001
38, 0.06942751605686533, 0.001931621762777117, 0.0009850171070962571, 0.001071549572360306, 100.0, 100.0, 0.001, 0.001
39, 0.06835182594279247, 0.001841617560351957, 0.0009848217817798948, 0.0010715638443880386, 100.0, 100.0, 0.001, 0.001
40, 0.06725875616057746, 0.001750795447541195, 0.0009846343602892805, 0.001071577954660113, 100.0, 100.0, 0.001, 0.001
41, 0.06614837907175156, 0.0016522556650768092, 0.0009844546205891786, 0.0010715917857434649, 100.0, 100.0, 0.001, 0.001
42, 0.06502060749877926, 0.0015439110917810838, 0.000984282051990131, 0.0010716054542717335, 100.0, 100.0, 0.001, 0.001
43, 0.06387510374434864, 0.0014285352751998229, 0.0009841159749646817, 0.0010716192710949035, 100.0, 100.0, 0.001, 0.001
44, 0.06271124151069661, 0.001311814939164405, 0.000983955657308886, 0.0010716336842541857, 100.0, 100.0, 0.001, 0.001
45, 0.0615281208734635, 0.0011997343629340082, 0.000983800410893462, 0.0010716492141959707, 100.0, 100.0, 0.001, 0.001
46, 0.06032462948338444, 0.001096533499194708, 0.0009836496609318592, 0.001071666389950988, 100.0, 100.0, 0.001, 0.001
47, 0.05909953784957313, 0.0010038757473476846, 0.0009835029853578483, 0.0010716856934474242, 100.0, 100.0, 0.001, 0.001
48, 0.05785161324127728, 0.0009211766805574715, 0.00098336012546376, 0.0010717075170342816, 100.0, 100.0, 0.001, 0.001
49, 0.05657973578409704, 0.0008466072013194496, 0.0009832209710046113, 0.001071732136939958, 100.0, 100.0, 0.001, 0.001
50, 0.05528300184728035, 0.0007781887575785429, 0.000983085524373224, 0.001071759703050496, 100.0, 100.0, 0.001, 0.001
51, 0.053960803493895315, 0.0007145579595450118, 0.0009829538498146908, 0.0010717902433418772, 100.0, 100.0, 0.001, 0.001
52, 0.05261287780501117, 0.0006552376799584969, 0.0009828260150300807, 0.0010718236797886548, 100.0, 100.0, 0.001, 0.001
53, 0.05123932524837017, 0.0006004791211972285, 0.0009827020334660817, 0.0010718598517465978, 100.0, 100.0, 0.001, 0.001
54, 0.049840600943289175, 0.0005508659572172118, 0.0009825818155079467, 0.001071898542681848, 100.0, 100.0, 0.001, 0.001
55, 0.04841748596869587, 0.0005068908403890152, 0.0009824651353596474, 0.0010719395065770174, 100.0, 100.0, 0.001, 0.001
56, 0.046971047463540055, 0.00046865813513827725, 0.0009823516177442785, 0.0010719824911888012, 100.0, 100.0, 0.001, 0.001
57, 0.04550259625160917, 0.00043577910446038274, 0.0009822407452376128, 0.001072027256344681, 100.0, 100.0, 0.001, 0.001
58, 0.04401364943129987, 0.00040744508175813204, 0.0009821318837963623, 0.00107207358646006, 100.0, 100.0, 0.001, 0.001
59, 0.04250590328296505, 0.00038261307625227085, 0.0009820243215311545, 0.0010721212973000705, 100.0, 100.0, 0.001, 0.001
60, 0.040981219445448955, 0.000360222794703105, 0.0009819173144184803, 0.0010721702376331353, 100.0, 100.0, 0.001, 0.001
61, 0.03944162499924265, 0.0003393775241898721, 0.0009818101325349126, 0.0010722202868099402, 100.0, 100.0, 0.001, 0.001
62, 0.03788932513907212, 0.0003194505083544774, 0.0009817021013317226, 0.0010722713494726482, 100.0, 100.0, 0.001, 0.001
63, 0.0363267256651378, 0.00030010970618583595, 0.0009815926340715807, 0.001072323348596582, 100.0, 100.0, 0.001, 0.001
64, 0.03475646160229286, 0.0002812773196229864, 0.000981481253397159, 0.001072376217939704, 100.0, 100.0, 0.001, 0.001
65, 0.0331814278282434, 0.0002630519747078527, 0.0009813676017308532, 0.0010724298947723785, 100.0, 100.0, 0.001, 0.001
66, 0.03160480757298511, 0.000245621724802553, 0.000981251441574165, 0.0010724843135232417, 100.0, 100.0, 0.001, 0.001
67, 0.030030094946106044, 0.00022918893597825786, 0.0009811326476773556, 0.0010725394007398568, 100.0, 100.0, 0.001, 0.001
