Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09538504523948282, 0.06032061580230457, 0.0010263167637220663, 0.0010684846155570888, 100.0, 1.0, 0.001, 0.001
1, 0.09002862521954914, 0.47527739324533, 0.0010316296679455828, 0.0010675419866395318, 100.0, 1.0, 0.001, 0.001
2, 0.08722182939403579, 0.28087998390467467, 0.0010316611842418678, 0.0010660098068316502, 100.0, 1.0, 0.001, 0.001
3, 0.0849322008165782, 0.11696485810703627, 0.0010309043696016325, 0.001064281312264797, 100.0, 1.0, 0.001, 0.001
4, 0.08231660368425192, 0.17496168660788392, 0.0010312039808629684, 0.0010623132382654667, 100.0, 1.0, 0.001, 0.001
5, 0.07918493524381513, 0.18540917357262668, 0.0010318215777107126, 0.0010603429829773392, 100.0, 1.0, 0.001, 0.001
6, 0.0757702457112742, 0.1388218624482321, 0.0010319202008516287, 0.0010583876583796998, 100.0, 1.0, 0.001, 0.001
7, 0.07235616807744043, 0.16852814725675033, 0.001031484787046196, 0.0010563130010545776, 100.0, 1.0, 0.001, 0.001
8, 0.06924669226948452, 0.17386560269046644, 0.0010308690298367986, 0.0010540851863551136, 100.0, 1.0, 0.001, 0.001
9, 0.06638039336919418, 0.10875672459386229, 0.0010308769039267863, 0.0010515447939596627, 100.0, 1.0, 0.001, 0.001
10, 0.06330849930984882, 0.12771080433211912, 0.001032789494035833, 0.0010482172550413098, 100.0, 1.0, 0.001, 0.001
11, 0.059608260087902924, 0.19026638348516767, 0.00103713721278008, 0.001043764310036776, 100.0, 1.0, 0.001, 0.001
12, 0.05545294363638257, 0.22102433021629553, 0.0010433898518723821, 0.0010383020630062385, 100.0, 1.0, 0.001, 0.001
13, 0.05142277854608628, 0.38345544280249555, 0.0010516011598263508, 0.001032010882337365, 100.0, 1.0, 0.001, 0.001
14, 0.04829599275649991, 0.2815080537194927, 0.0010589384957818853, 0.0010263250745002617, 100.0, 1.0, 0.001, 0.001
15, 0.04536333052352464, 0.26870673750767887, 0.0010660388304147678, 0.00102082465285602, 100.0, 1.0, 0.001, 0.001
16, 0.04207342938881036, 0.2295633409144296, 0.001074283145444383, 0.0010147752211443763, 100.0, 1.0, 0.001, 0.001
17, 0.038908659766926805, 0.22091331687945673, 0.0010858357591156222, 0.0010074708809720667, 100.0, 1.0, 0.001, 0.001
18, 0.03607484022485953, 0.2330703001502515, 0.0010983171248346187, 0.0009996150855813243, 100.0, 1.0, 0.001, 0.001
19, 0.03296059014330685, 0.19988095167940703, 0.0011098153706654253, 0.0009916009462132072, 100.0, 1.0, 0.001, 0.001
20, 0.030247106660787802, 0.14427243444118124, 0.0011168357015355693, 0.0009842071045136971, 100.0, 1.0, 0.001, 0.001
21, 0.027506425948906187, 0.20217564911690528, 0.0011265176334193166, 0.0009752231089139446, 100.0, 1.0, 0.001, 0.001
22, 0.02454745717741155, 0.3600709058979963, 0.0011416619964865736, 0.0009640508351520511, 100.0, 1.0, 0.001, 0.001
23, 0.02237237156125386, 0.4715579083386719, 0.0011481957343573343, 0.0009552290324815024, 100.0, 1.0, 0.001, 0.001
24, 0.019992961666816675, 0.24123461108833663, 0.00115291954350487, 0.0009466776827236962, 100.0, 1.0, 0.001, 0.001
25, 0.017987429048894246, 0.22411537335872753, 0.0011537346846719374, 0.0009389080671672801, 100.0, 1.0, 0.001, 0.001
26, 0.01620847070346257, 0.3695470246654669, 0.0011557264374835732, 0.0009307677498554996, 100.0, 1.0, 0.001, 0.001
27, 0.014321654819781076, 0.24397412089050288, 0.0011633052888560763, 0.0009211561279156782, 100.0, 1.0, 0.001, 0.001
28, 0.01279090953143845, 0.1518955564261142, 0.0011627938854810245, 0.00091393126837944, 100.0, 1.0, 0.001, 0.001
29, 0.011457365464376663, 0.29908725684231546, 0.0011589864280150157, 0.0009076929178990981, 100.0, 1.0, 0.001, 0.001
30, 0.010079435464004189, 0.1890044209135499, 0.0011614204460248254, 0.0008999217268566227, 100.0, 1.0, 0.001, 0.001
31, 0.008930319968083423, 0.10500419906509194, 0.001161862179266925, 0.0008927087074488548, 100.0, 1.0, 0.001, 0.001
32, 0.007933696320174374, 0.2569901209960417, 0.001160141825991357, 0.0008860598871889512, 100.0, 1.0, 0.001, 0.001
33, 0.006948691102025195, 0.16393974408070186, 0.0011599724576798187, 0.0008792166061709525, 100.0, 1.0, 0.001, 0.001
34, 0.006163422100097498, 0.08333224700447672, 0.0011537715310378734, 0.0008740594852297566, 100.0, 1.0, 0.001, 0.001
35, 0.005467383857135617, 0.17746840949199677, 0.00114962595779944, 0.0008681723951909713, 100.0, 1.0, 0.001, 0.001
36, 0.0047974201544903955, 0.1531913219401053, 0.0011507466838738688, 0.000860875848717054, 100.0, 1.0, 0.001, 0.001
37, 0.00428522177824476, 0.060539790112894655, 0.0011452797888466806, 0.0008555676185671577, 100.0, 1.0, 0.001, 0.001
38, 0.003847938246867335, 0.11783317841683301, 0.0011386096267472121, 0.0008507430744309159, 100.0, 1.0, 0.001, 0.001
39, 0.003449703717090407, 0.13559967706214338, 0.0011355047670087938, 0.0008450554465754198, 100.0, 1.0, 0.001, 0.001
40, 0.0031573970263067785, 0.04355448373524109, 0.0011300835585091463, 0.00084013026319386, 100.0, 1.0, 0.001, 0.001
41, 0.0029170968439418007, 0.08888384002226843, 0.0011263568539444883, 0.0008348840800295632, 100.0, 1.0, 0.001, 0.001
42, 0.0027168123817534516, 0.1132377288635337, 0.001123552566227758, 0.0008298609616780081, 100.0, 1.0, 0.001, 0.001
43, 0.002587341455992948, 0.045651286292785864, 0.0011162640827536343, 0.0008268087888356361, 100.0, 1.0, 0.001, 0.001
44, 0.0024887115907637385, 0.06007715598829628, 0.0011115384717359895, 0.0008232912508802367, 100.0, 1.0, 0.001, 0.001
45, 0.0024170813548395425, 0.08467295107550928, 0.0011097790401808165, 0.0008191410258685399, 100.0, 1.0, 0.001, 0.001
46, 0.0023832613365910686, 0.04138420314323277, 0.0011050001741313158, 0.0008165099079395711, 100.0, 1.0, 0.001, 0.001
47, 0.0023640747433534555, 0.03547057260337935, 0.0011003470662486882, 0.0008144786016378082, 100.0, 1.0, 0.001, 0.001
48, 0.002357180436878279, 0.06373522697250089, 0.0010966768144524716, 0.0008125939297424597, 100.0, 1.0, 0.001, 0.001
