Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.0924209138388751, 0.33062653778049955, 0.0010313031928306533, 0.0010672917227660735, 100.0, 1.0, 0.001, 0.001
1, 0.08792458980553708, 0.15274357458878143, 0.0010324544311607893, 0.0010664075419086743, 100.0, 1.0, 0.001, 0.001
2, 0.08318773308393293, 0.25982349014317335, 0.001036053188379696, 0.0010643686004911997, 100.0, 1.0, 0.001, 0.001
3, 0.07905505921621434, 0.35042011613630825, 0.001040043488814361, 0.0010617763541949455, 100.0, 1.0, 0.001, 0.001
4, 0.0757442792313175, 0.4169967191310023, 0.0010432571320838659, 0.001059121809226138, 100.0, 1.0, 0.001, 0.001
5, 0.07317737732842186, 0.4306689713967941, 0.0010441310844016057, 0.001056926735782946, 100.0, 1.0, 0.001, 0.001
6, 0.07100431528692812, 0.35610249081686407, 0.0010423392119352896, 0.0010553844288921806, 100.0, 1.0, 0.001, 0.001
7, 0.06880752145709265, 0.2027607366662304, 0.0010390536156622556, 0.0010542184877500955, 100.0, 1.0, 0.001, 0.001
8, 0.06628200103677143, 0.06044399418125265, 0.0010357810098375194, 0.001052967842056315, 100.0, 1.0, 0.001, 0.001
9, 0.06327986213829122, 0.018951549002314116, 0.0010340500107378805, 0.0010512112756866161, 100.0, 1.0, 0.001, 0.001
10, 0.05980712657516814, 0.08925195534940757, 0.0010351630962938416, 0.0010486032227408205, 100.0, 1.0, 0.001, 0.001
11, 0.05601843754654296, 0.1727485452614572, 0.0010399734118894004, 0.001044913969547171, 100.0, 1.0, 0.001, 0.001
12, 0.05212357424409881, 0.15169163893047619, 0.0010488690266322283, 0.0010400901639282612, 100.0, 1.0, 0.001, 0.001
13, 0.04820571669572184, 0.0788877826320022, 0.0010623708709583996, 0.0010340639351614953, 100.0, 1.0, 0.001, 0.001
14, 0.04423172293669375, 0.17366117741890508, 0.0010809095474811604, 0.0010267075523899916, 100.0, 1.0, 0.001, 0.001
15, 0.040312460742895635, 0.2929112032702939, 0.0011007228919690908, 0.0010187557149451622, 100.0, 1.0, 0.001, 0.001
16, 0.03672502787281793, 0.17885853159169632, 0.0011174730063565673, 0.0010113508196591253, 100.0, 1.0, 0.001, 0.001
17, 0.033442755321911995, 0.25934294874018576, 0.0011346526668217915, 0.001003933185997779, 100.0, 1.0, 0.001, 0.001
18, 0.030239661766443313, 0.30633472585032645, 0.0011604593959272924, 0.0009947052596607014, 100.0, 1.0, 0.001, 0.001
19, 0.026977577165393642, 0.18764957092275453, 0.0011955346105753247, 0.0009829423888549347, 100.0, 1.0, 0.001, 0.001
20, 0.024063731194461993, 0.37633978745569835, 0.0012332101160923584, 0.000971164423365663, 100.0, 1.0, 0.001, 0.001
21, 0.02174277009481366, 0.13788848727638278, 0.001256404416393674, 0.0009635393737430679, 100.0, 1.0, 0.001, 0.001
22, 0.019347496192429474, 0.40478383186311406, 0.0012854014397961086, 0.0009540054192868768, 100.0, 1.0, 0.001, 0.001
23, 0.01751845122659024, 0.5950736240302836, 0.0013198455757716613, 0.0009451709368157499, 100.0, 1.0, 0.001, 0.001
24, 0.015366069319792062, 1.050261408079914, 0.0013367894391700277, 0.0009346870944667552, 100.0, 1.0, 0.001, 0.001
25, 0.014277362255751755, 0.08212173329584098, 0.0013217628123725874, 0.0009345216889329057, 100.0, 1.0, 0.001, 0.001
26, 0.0132092993531882, 0.8320997651192041, 0.0013103385903320533, 0.0009337228309708777, 100.0, 1.0, 0.001, 0.001
27, 0.011884277027331932, 0.16352108682662592, 0.0013046889840422945, 0.0009296908110094592, 100.0, 1.0, 0.001, 0.001
28, 0.010609294013544414, 0.5373668731259744, 0.00130626961176134, 0.0009241276277492719, 100.0, 1.0, 0.001, 0.001
29, 0.009719814738078992, 0.3145997465601165, 0.0012968536499970667, 0.0009223261020000972, 100.0, 1.0, 0.001, 0.001
30, 0.00897317158810565, 0.2501049157695036, 0.0012774160329043736, 0.0009230500557350183, 100.0, 1.0, 0.001, 0.001
31, 0.008156631912615345, 0.2783464581359415, 0.0012589224159896696, 0.0009227803193584884, 100.0, 1.0, 0.001, 0.001
32, 0.007329555545594087, 0.28106867429864385, 0.0012489818591923476, 0.0009203134688083777, 100.0, 1.0, 0.001, 0.001
33, 0.0066175926963361826, 0.09910527812119545, 0.0012445559801834668, 0.0009171368601325736, 100.0, 1.0, 0.001, 0.001
34, 0.006027495465385254, 0.28732529153063147, 0.0012382355907054653, 0.0009149126164325102, 100.0, 1.0, 0.001, 0.001
35, 0.0055062690453074395, 0.145077719423558, 0.0012239812402401675, 0.0009144761032954731, 100.0, 1.0, 0.001, 0.001
36, 0.005015293196163596, 0.07671519907568149, 0.0012074434124184528, 0.0009144040642695094, 100.0, 1.0, 0.001, 0.001
37, 0.004571414568536525, 0.24190012752209372, 0.0011953583328279166, 0.0009134663934647911, 100.0, 1.0, 0.001, 0.001
38, 0.004196034680896529, 0.0659404133101758, 0.0011882938096735398, 0.000911710829985539, 100.0, 1.0, 0.001, 0.001
39, 0.00386896473934745, 0.09267859444544492, 0.0011842701599474338, 0.0009094367836190489, 100.0, 1.0, 0.001, 0.001
40, 0.003578348226667964, 0.16659689398456315, 0.001178021379261413, 0.0009076749224888165, 100.0, 1.0, 0.001, 0.001
41, 0.0033317613906987033, 0.04740883762107967, 0.0011671060781863524, 0.0009071294553612532, 100.0, 1.0, 0.001, 0.001
42, 0.003133447790739017, 0.08684712304206973, 0.0011552249735201515, 0.0009071818256501419, 100.0, 1.0, 0.001, 0.001
43, 0.0029772219908895422, 0.11138227139602525, 0.0011462048146935477, 0.000906895159887405, 100.0, 1.0, 0.001, 0.001
44, 0.002847400204760889, 0.048744513533733866, 0.0011411844266737963, 0.000905724900941235, 100.0, 1.0, 0.001, 0.001
45, 0.0027350300438904697, 0.05727786617499926, 0.0011381860684601794, 0.0009039964429426859, 100.0, 1.0, 0.001, 0.001
46, 0.002644334010208424, 0.08921854725117323, 0.0011333059585833364, 0.0009028499735534777, 100.0, 1.0, 0.001, 0.001
47, 0.0025794774217043986, 0.03825062559406274, 0.0011248980931602786, 0.0009029658612077861, 100.0, 1.0, 0.001, 0.001
48, 0.0025352748773798295, 0.04310858937461559, 0.0011158246225549033, 0.000903624524820175, 100.0, 1.0, 0.001, 0.001
49, 0.0025040081200435327, 0.07400353974316033, 0.001109281875433793, 0.00090373917233288, 100.0, 1.0, 0.001, 0.001
50, 0.002481956262098563, 0.025492327005569082, 0.001105656119354909, 0.00090300426693932, 100.0, 1.0, 0.001, 0.001
51, 0.0024688992719267074, 0.03831625521132596, 0.0011031105466792997, 0.0009020126874991626, 100.0, 1.0, 0.001, 0.001
52, 0.002463287552093009, 0.05809757009174461, 0.0010987021636692964, 0.0009017731811930062, 100.0, 1.0, 0.001, 0.001
53, 0.002461156115961991, 0.01882405493466879, 0.0010918007646012744, 0.0009025009738936527, 100.0, 1.0, 0.001, 0.001
54, 0.0024607836969809697, 0.03760953670013199, 0.0010848322333159106, 0.0009033719561876293, 100.0, 1.0, 0.001, 0.001
55, 0.0024636413012848017, 0.04338320592925735, 0.0010797224348562343, 0.0009036834107055526, 100.0, 1.0, 0.001, 0.001
56, 0.0024711519628597134, 0.01985244796565876, 0.0010765258335420933, 0.0009034564235418029, 100.0, 1.0, 0.001, 0.001
57, 0.002481217144204655, 0.03093342506119929, 0.001073735677277621, 0.0009032741182414532, 100.0, 1.0, 0.001, 0.001
58, 0.0024888740683781784, 0.03308099909771978, 0.0010695368596368438, 0.0009037024412889603, 100.0, 1.0, 0.001, 0.001
59, 0.002491684873798919, 0.019903498733203857, 0.0010638628266243216, 0.0009046660048272306, 100.0, 1.0, 0.001, 0.001
60, 0.002491962565513745, 0.024238173542281284, 0.0010581820231075568, 0.0009056388785069066, 100.0, 1.0, 0.001, 0.001
61, 0.0024933875836666945, 0.02863203580651416, 0.0010536922859695262, 0.000906283037853861, 100.0, 1.0, 0.001, 0.001
62, 0.002497063484056811, 0.018804250818548286, 0.0010504108742355083, 0.0009066837603385612, 100.0, 1.0, 0.001, 0.001
63, 0.002500633197312264, 0.018223125695028878, 0.001047434122466926, 0.0009071519516331051, 100.0, 1.0, 0.001, 0.001
64, 0.0025006821574608974, 0.024278287105691954, 0.0010437561016075404, 0.0009079308537113257, 100.0, 1.0, 0.001, 0.001
65, 0.0024961499907079562, 0.016465503868434084, 0.0010391728769968045, 0.0009090037737533557, 100.0, 1.0, 0.001, 0.001
66, 0.0024892706892186353, 0.015284744233237717, 0.0010344201835754841, 0.0009101476763609772, 100.0, 1.0, 0.001, 0.001
67, 0.0024831118431390426, 0.02130376859763002, 0.0010302907691689246, 0.0009111787824876163, 100.0, 1.0, 0.001, 0.001
68, 0.0024789383583897835, 0.015499307323230115, 0.0010269807906628891, 0.0009120694306184091, 100.0, 1.0, 0.001, 0.001
69, 0.002475652992947045, 0.012928515961598186, 0.0010241327630447173, 0.0009129003479966629, 100.0, 1.0, 0.001, 0.001
70, 0.002471088470755497, 0.01728313581229762, 0.001021125956138963, 0.000913801651540939, 100.0, 1.0, 0.001, 0.001
71, 0.0024641710699620355, 0.014294464942413203, 0.0010175858076338553, 0.0009148601857507959, 100.0, 1.0, 0.001, 0.001
72, 0.0024559897912076905, 0.01182008508033896, 0.0010137248128200907, 0.0009160385299200587, 100.0, 1.0, 0.001, 0.001
73, 0.0024486505694303433, 0.014530590543099514, 0.001010055703526055, 0.0009172147284043178, 100.0, 1.0, 0.001, 0.001
74, 0.002443413660987087, 0.013797819577998232, 0.0010069280758789243, 0.0009182764639133112, 100.0, 1.0, 0.001, 0.001
75, 0.0024398975301945505, 0.011193288134215001, 0.001004326720781868, 0.0009191892298671662, 100.0, 1.0, 0.001, 0.001
76, 0.0024367380230362634, 0.011716376674616922, 0.0010019235079017994, 0.0009200199704952831, 100.0, 1.0, 0.001, 0.001
77, 0.002432936172709433, 0.012399546590757662, 0.0009993388743629622, 0.0009208858522450247, 100.0, 1.0, 0.001, 0.001
78, 0.002428662536225113, 0.010939929572098881, 0.0009964531823346472, 0.0009218502817555475, 100.0, 1.0, 0.001, 0.001
79, 0.0024248780581815664, 0.010283634669363231, 0.0009934814956885519, 0.0009228655391963969, 100.0, 1.0, 0.001, 0.001
80, 0.002422332643104813, 0.011221154665109853, 0.0009907535212873976, 0.0009238182039469726, 100.0, 1.0, 0.001, 0.001
81, 0.0024209852066071113, 0.010803682051278076, 0.000988445931232337, 0.0009246238274853271, 100.0, 1.0, 0.001, 0.001
82, 0.002420238399441437, 0.009444831925119449, 0.0009864880375243627, 0.000925286567105836, 100.0, 1.0, 0.001, 0.001
83, 0.002419534433918945, 0.009773266336945965, 0.0009846426461606475, 0.0009258887703629436, 100.0, 1.0, 0.001, 0.001
84, 0.0024187074017785553, 0.010233549126725187, 0.0009826827033285511, 0.0009265225215333286, 100.0, 1.0, 0.001, 0.001
85, 0.0024179004955004737, 0.009242904466094168, 0.0009805632385111146, 0.0009272131633415482, 100.0, 1.0, 0.001, 0.001
86, 0.0024172756356940777, 0.00894898890432363, 0.0009784391955026323, 0.0009279036416512996, 100.0, 1.0, 0.001, 0.001
87, 0.0024168541694067733, 0.009550440530041018, 0.0009765130798515447, 0.0009285115318978028, 100.0, 1.0, 0.001, 0.001
88, 0.0024165844518750923, 0.009182914405632688, 0.0009748809911803446, 0.0009289965586901252, 100.0, 1.0, 0.001, 0.001
89, 0.0024164406442649927, 0.008569996151746915, 0.0009734876413741287, 0.0009293842530081208, 100.0, 1.0, 0.001, 0.001
90, 0.0024163894008300533, 0.008803821311971315, 0.0009721774609463325, 0.0009297401093416544, 100.0, 1.0, 0.001, 0.001
91, 0.002416298051984007, 0.008867595187177644, 0.0009708067060379885, 0.0009301175792162755, 100.0, 1.0, 0.001, 0.001
92, 0.0024159531953504214, 0.008418189285587597, 0.0009693458518889135, 0.0009305195507088786, 100.0, 1.0, 0.001, 0.001
93, 0.0024152241971274477, 0.008321253012463661, 0.0009678845367444241, 0.0009309047991001345, 100.0, 1.0, 0.001, 0.001
94, 0.002414214201441183, 0.008516986269479002, 0.0009665457373870639, 0.0009312283050518409, 100.0, 1.0, 0.001, 0.001
95, 0.00241321191798748, 0.008426460523051783, 0.0009653943310314393, 0.0009314761959372692, 100.0, 1.0, 0.001, 0.001
96, 0.002412447756787899, 0.008180705287914812, 0.0009644001426733119, 0.0009316709211402373, 100.0, 1.0, 0.001, 0.001
97, 0.002411873670885552, 0.008140926203172168, 0.000963465816041862, 0.0009318503399881469, 100.0, 1.0, 0.001, 0.001
98, 0.002411186183780563, 0.008178514581558181, 0.0009624960507018157, 0.0009320402149723295, 100.0, 1.0, 0.001, 0.001
99, 0.0024100899461396152, 0.008042141130188056, 0.0009614601855301443, 0.0009322401951037491, 100.0, 1.0, 0.001, 0.001
100, 0.002408568993045035, 0.007929598829620816, 0.0009604037719333498, 0.0009324309358962839, 100.0, 1.0, 0.001, 0.001
101, 0.0024069157984161083, 0.008037715863437683, 0.0009594045069486719, 0.0009325931067565569, 100.0, 1.0, 0.001, 0.001
102, 0.002405488435550506, 0.00806562299493131, 0.0009585117301715111, 0.000932721619697036, 100.0, 1.0, 0.001, 0.001
103, 0.0024044148355120147, 0.00788463291180587, 0.0009577147665522179, 0.0009328263367643682, 100.0, 1.0, 0.001, 0.001
104, 0.0024035046066351626, 0.007817720044995926, 0.0009569544704020877, 0.0009329235447611807, 100.0, 1.0, 0.001, 0.001
105, 0.002402435336804124, 0.007866330422247526, 0.0009561642086045807, 0.000933026594485726, 100.0, 1.0, 0.001, 0.001
106, 0.002401038898611858, 0.007791561185998885, 0.0009553140009520825, 0.0009331402800217914, 100.0, 1.0, 0.001, 0.001
107, 0.002399436680851749, 0.007733261335414256, 0.0009544268434789572, 0.0009332605709745851, 100.0, 1.0, 0.001, 0.001
108, 0.0023979197280522683, 0.007803038027534603, 0.0009535549148183398, 0.0009333790469912909, 100.0, 1.0, 0.001, 0.001
109, 0.002396698092811468, 0.007789999945676668, 0.0009527380149369201, 0.0009334887121841036, 100.0, 1.0, 0.001, 0.001
110, 0.0023957427494139213, 0.007676689133744903, 0.0009519762731904226, 0.0009335883687865708, 100.0, 1.0, 0.001, 0.001
111, 0.002394840130710823, 0.007637953450895343, 0.0009512319489090765, 0.0009336842853324416, 100.0, 1.0, 0.001, 0.001
112, 0.0023937881824550775, 0.007642065700074188, 0.0009504568227849515, 0.0009337875465586729, 100.0, 1.0, 0.001, 0.001
113, 0.0023925551061264173, 0.007602924440329544, 0.0009496262761802882, 0.0009339072440531451, 100.0, 1.0, 0.001, 0.001
114, 0.002391276747163598, 0.00757637653771474, 0.0009487543818438034, 0.000934044094574425, 100.0, 1.0, 0.001, 0.001
115, 0.002390120121350671, 0.00758372713614897, 0.0009478793334978486, 0.0009341899529873054, 100.0, 1.0, 0.001, 0.001
116, 0.0023891462974826496, 0.007558326613951167, 0.0009470329277592729, 0.0009343341328773249, 100.0, 1.0, 0.001, 0.001
117, 0.0023882823571475618, 0.007494423394880518, 0.0009462178201611823, 0.0009344719151866095, 100.0, 1.0, 0.001, 0.001
118, 0.0023874026513824626, 0.007454347432100307, 0.0009454076444307808, 0.000934608576081204, 100.0, 1.0, 0.001, 0.001
119, 0.0023864320670116913, 0.007443993568910081, 0.0009445679993522842, 0.0009347553806841303, 100.0, 1.0, 0.001, 0.001
120, 0.0023853861496995763, 0.0074163123629627575, 0.0009436820479251894, 0.0009349204469311607, 100.0, 1.0, 0.001, 0.001
121, 0.002384333589748903, 0.007381039521251669, 0.0009427615264711734, 0.0009351020927631362, 100.0, 1.0, 0.001, 0.001
122, 0.0023833314524835257, 0.00736823595695689, 0.0009418354790104424, 0.0009352904362957679, 100.0, 1.0, 0.001, 0.001
123, 0.002382390020526487, 0.0073444231587868536, 0.0009409272115700034, 0.0009354756623681879, 100.0, 1.0, 0.001, 0.001
124, 0.0023814823234773004, 0.007295230356258649, 0.0009400381825327795, 0.0009356556696178435, 100.0, 1.0, 0.001, 0.001
125, 0.002380573164525941, 0.007262016375154808, 0.0009391495141523266, 0.0009358369328407031, 100.0, 1.0, 0.001, 0.001
126, 0.0023796386381274696, 0.007241829180497854, 0.0009382380247626012, 0.0009360283716674159, 100.0, 1.0, 0.001, 0.001
127, 0.0023786699894689195, 0.007205989767538423, 0.0009372941770105684, 0.0009362336501938642, 100.0, 1.0, 0.001, 0.001
128, 0.0023776724922317553, 0.007173872861538612, 0.0009363283539850889, 0.0009364484125278431, 100.0, 1.0, 0.001, 0.001
129, 0.0023766655231067337, 0.0071567003626397206, 0.0009353615383131262, 0.0009366643580169841, 100.0, 1.0, 0.001, 0.001
130, 0.0023756775071536885, 0.007129965472985628, 0.0009344093202852483, 0.0009368759943826242, 100.0, 1.0, 0.001, 0.001
131, 0.002374729437006145, 0.007092677519274069, 0.0009334718788856684, 0.0009370842330017617, 100.0, 1.0, 0.001, 0.001
132, 0.0023738157081100264, 0.007060563209283181, 0.0009325361636792418, 0.0009372944502420203, 100.0, 1.0, 0.001, 0.001
133, 0.00237290197755496, 0.007029666495920755, 0.0009315873408027867, 0.0009375113446399182, 100.0, 1.0, 0.001, 0.001
134, 0.0023719490207851, 0.0069964809986781135, 0.0009306203506820349, 0.0009377351076404429, 100.0, 1.0, 0.001, 0.001
135, 0.002370946178510702, 0.006969701958327259, 0.000929643020971867, 0.0009379617491197537, 100.0, 1.0, 0.001, 0.001
136, 0.002369924206482034, 0.006949241878853668, 0.0009286693987376458, 0.0009381866126478637, 100.0, 1.0, 0.001, 0.001
137, 0.002368932423626671, 0.006924229683181071, 0.0009277094149673077, 0.0009384077198683295, 100.0, 1.0, 0.001, 0.001
138, 0.0023679973863886326, 0.006890955359780594, 0.0009267627371288721, 0.0009386264157785296, 100.0, 1.0, 0.001, 0.001
139, 0.0023670992035366026, 0.006856613266044735, 0.0009258205920597585, 0.0009388454406655291, 100.0, 1.0, 0.001, 0.001
